Author,Political Orientation,Quotes
Yanis Varoufakis,Left,But this was not a bailout. Greece was never bailed out. Nor were the rest of Europe’s swine
Yanis Varoufakis,Left,"Few progressive Europeans would argue against a democratic United States of Europe, with a proper government elected on a pan-European ticket and answerable to a proper parliament vested with complete sovereignty over all decisions and matters. But this is pure wishful thinking. The sobering reality is that it is not in the European Union’s DNA naturally to evolve into a federation."
Yanis Varoufakis,Left,"And so it turns out that all talk of gradual moves toward a political union and toward more Europe are not first steps toward a European democratic federation but, rather, and ominously, a leap into an iron cage that prolongs the crisis and wrecks any prospect of a genuine federal European democracy in the future."
Yanis Varoufakis,Left,"In a move that will remain in Irish annals as a stigma comparable to the potato famine, the Dublin government succumbed to ECB blackmail: make the German creditors of Ireland’s commercial banks whole, even a bank that was closed down and thus no longer systemically important for Ireland’s financial sector, or else."
Yanis Varoufakis,Left,"In the case of the Irish banks, the private bonds that they had purchased were uninsured. In the case of Greek state bonds, their buyers also knew that these were Greek law contracts, meaning that they could be given a haircut (written down) by a future stressed Greek government. This is precisely why the interest rates were higher than in Germany. Higher risk, higher rewards. As long as the gamble was paying off, the German bankers reaped benefits that they shared with no one. But when the gambles turned bad, as Irish banks and the Greek state failed, they demanded that the taxpayers of Greece and Ireland pay up, as if they had bought insurance from them."
Yanis Varoufakis,Left,ALEXIS DE TOQUEVILLE once wrote that those who praise freedom only for the material benefits it offers have never kept it long.
Yanis Varoufakis,Left,"While it would have been straightforward, and perfectly legal, to allow Irish banks or the Greek state to default to their private creditors (so as to respect the no-bailout clause), the authorities’ guilty desire to bail out the German and French banks (without telling taxpayers that this was what they were doing) led to the need to violate the no-bailout rule by concocting another rule: the no-default rule, which was never part of Europe’s original set of rules. (...) Both the freshly minted no-default rule and the original no-bailout clause were political whims of the strong disguised as legal constraints upon the weak. In reality, the strong break their rules at will and concoct new rules whenever they think it suits them."
Yanis Varoufakis,Left,All dynamic societies founded their success on two production processes that unfolded in parallel: the manufacturing of a surplus and the manufacturing of consent (regarding its distribution).
Yanis Varoufakis,Left,"They are unanimous in their hate for me; and I welcome their hatred. (quoting FDR announcing the Second New Deal, 1936)"
Yanis Varoufakis,Left,"Rather, an authentic drama was afoot reminiscent of a play by Aeschylus or Shakespeare in which powerful schemers end up caught in a trap of their own making. In the real-life drama I was witnessing, Summers’s sacred rule of insiders kicked in the moment they recognized their powerlessness. The hatches were battened down, official denial prevailed, and the consequences of the tragic impasse they’d created were left to unfold on autopilot, imprisoning them yet further in a situation they detested for weakening their hold over events."
Yanis Varoufakis,Left,Count Coudenhove-Kalergi put it succinctly in one of his speeches when he declared his ambition that Europe supersedes democracy and that democracy be replaced by a social aristocracy of the spirit.52
Yanis Varoufakis,Left,"Most Europeans like to think that American bankruptocracy is worse than its European cousin, thanks to the power of Wall Street and the infamous revolving door between the US banks and the US government. They are very, very wrong. Europe’s banks were managed so atrociously in the years preceding 2008 that the inane bankers of Wall Street almost look good by comparison. When the crisis hit, the banks of France, Germany, the Netherlands and the UK had exposure in excess of $30 trillion, more than twice the United States national income, eight times the national income of Germany, and almost three times the national incomes of Britain, Germany, France and Holland put together.8 A Greek bankruptcy in 2010 would have immediately necessitated a bank bailout by the German, French, Dutch and British governments amounting to approximately $10,000 per child, woman and man living in those four countries. By comparison, a similar market turn against Wall Street would have required a relatively tiny bailout of no more than $258 per US citizen. If Wall Street deserved the wrath of the American public, Europe’s banks deserved 38.8 times that wrath. But"
Yanis Varoufakis,Left,"As I have frequently observed, there is a widespread belief in Europe’s north that the continent is populated by hard-working law-abiding ants on the one hand and lazy tax-avoiding grasshoppers on the other, and that all the ants live in the north while mysteriously the grasshoppers congregate in the south."
Yanis Varoufakis,Left,It is the mark of ancient societies that contemporary tribulations reinvent old fears.
Yanis Varoufakis,Left,"General Motors is alive and kicking today, it is because in 2009 President Obama’s administration wrote off 90 percent of its debt."
Yanis Varoufakis,Left,"Take, for example, Vlasic pickles, a well-known everyday brand. Walmart’s ‘innovation’ was to sell these pickles in one gallon (3.8 litre) jars for $2.97. Was this a shrewd retailer’s response to market demand? No it was not. Who would want to buy almost four litres of pickles? Few family fridges had the necessary room for such an item. So what was the selling point? It was the idea of a huge quantity at an ultra-low price. Walmart’s customers, in this sense, were not buying pickles as such. They were buying into the symbolic value of cheapness; into the notion of having appropriated so many pickles for so little money. Indeed, it made them feel as though they were Walmart’s accomplices – in association with an icon of American corporate might, they had forced"
Yanis Varoufakis,Left,"If you cannot imagine walking out of a negotiation, you should never enter it. If you cannot fathom the idea of an impasse you might as well confine yourself to the role of a supplicant who implores the despot to grant him several privileges"
Yanis Varoufakis,Left,"In reality, states never repay their debt. They roll it over, meaning they defer repayment endlessly, paying only the interest on the loans. As long as they can keep doing this, they remain solvent.10 It helps to think of public debt as a hole in the ground next to a mountain representing the nation’s total income. Day by day the hole gets steadily deeper as interest accrues on the debt, even if the state does not borrow more. But during the good times, as the economy grows, the income mountain is steadily getting taller. As long as the mountain rises faster than the debt hole deepens, the extra income added to the mountain’s summit can be shovelled into the adjacent hole, keeping its depth stable and the state solvent. Insolvency beckons when the economy stops growing or starts to contract: recession then eats into a country’s income mountain, doing nothing to slow the pace at which the debt hole continues to grow."
Yanis Varoufakis,Left,We were divided and ultimately we were ruled.
Yanis Varoufakis,Left,"Could the Crash of 2008, then, be nothing more than our periodic chance to realize how far we have allowed our will to be subjugated to capital? Was it a jolt that ought to awaken us to the reality that capital has become a ‘force we must submit to’, a power that developed ‘a cosmopolitan, universal energy which breaks through every limit and every bond and posits itself as the only policy, the only universality, the only limit and the only bond’?"
Yanis Varoufakis,Left,"And here lies a delicious paradox: consent grew more powerful the more economic life was financialized. And as finance grew in importance, the more prone our societies became to economic crises. Hence the interesting observation that modern societies tend to produce both more consent and more violent crises."
Yanis Varoufakis,Left,leverage – a fancy term for good old debt.
Yanis Varoufakis,Left,"Nothing prepares a people for authoritarianism better than defeat, followed closely by national humiliation and an economic implosion."
Yanis Varoufakis,Left,"Between them, the leaders of France and Germany had a stake of around €1 trillion in not allowing the Greek government to tell the truth; that is, to confess to its bankruptcy. Yet they still had to find a way to bail out their bankers a second time without telling their parliaments that this was what they were doing. As Jean-Claude Juncker, then prime minister of Luxembourg and later president of the European Commission, once said, ‘When it becomes serious, you have to lie."
Yanis Varoufakis,Left,"The 61.3 per cent who voted no had to be discredited as a people led astray by opportunists,"
Yanis Varoufakis,Left,"When a person believes one thing but chooses or is forced to advocate its opposite, the result is cognitive dissonance. Eventually, in order to endure the internal conflict, one is forced, like Orwell’s Winston Smith, to change one’s mind. But the emotional fallout from such stress must somehow be vented; someone else must take the blame. Since I had been chosen to perform the role of scapegoat by the victorious trinka, I was the obvious choice for my defeated comrades too."
Yanis Varoufakis,Left,Observing the European Union’s attempts to deal with the crisis is a bit like watching Othello – one wonders how our rulers can be so deluded
Yanis Varoufakis,Left,Bullies blame their victims. Clever bullies make their victims’ culpability seem self-evident.
Yanis Varoufakis,Left,"A cynical ploy that transferred hundreds of billions of losses from the books of the French and German banks to Europe’s taxpayers was presented to the world as the manifestation of European solidarity. What makes this transfer sinister, rather than just cynical, was that the Greek loan came not only from French and German taxpayers but also from the Portuguese, the Slovaks, the Irish taxpayers"
Yanis Varoufakis,Left,"If this sounds like a Ponzi scheme it is because it is the mother of all Ponzi schemes. A merry-go-round of Ponzi austerity which, interestingly, left both the insolvent banks and the insolvent Greek state a little more insolvent while, all along, the Greek population was sinking deeper and deeper into despair. And all so the European Union could pretend that its inane rules had been respected."
Yanis Varoufakis,Left,"In other words, the uninsured private bankers had to be bailed out illegally and utterly unethically. But the taxpayers who were forced to carry that can should not even be given better terms for repaying the odious, private debt they were forced to acquire in order to bail the bankers out."
Yanis Varoufakis,Left,"And so, the good people of Frankfurt pressured Ireland’s central bank to unload these bonds, to sell them to private bankers who would then, in the fullness of time, collect the interest from the Irish taxpayers. If anyone was to benefit, it ought to be the bankers and the hedge funds again. Never the citizens."
Yanis Varoufakis,Left,"Put differently, the state was not only allowing the bankers to remain in control of the banks they bankrupted, but it was also committing itself to passing on whatever benefit there was from an increase in bank share prices to the bankers. Heads the state lost, tails the bankers won. Simple!"
Yanis Varoufakis,Left,"By allowing for new shares to be issued at prices well below those that the Greek state had paid (during the injection of almost 40 billion euros into the banks), and at once banning the state from buying into these shares, the state’s shares lost value and its equity in the banks was diluted substantially. In short, the public was shortchanged, in ways not dissimilar to those that transpired in Ireland that very same week, when the Irish central bank was forced to unload the Irish government bonds it had received for its promissory notes. And what was the common thread between these fresh assaults on the Irish and the Greek people? Europe’s custodian of the euro, the defender of the monetary realm, the pursuer of Europe’s common interest: the European Central Bank."
Yanis Varoufakis,Left,"To cut a long story short, a great deal of believing must occur before QE delivers on its promise to boost the real economy. But given the state of self-confirming pessimism that prevails in the depths of a severe crisis, to expect that these beliefs will flood into the different agents’ minds at once is to believe in miracles. More likely, as we witnessed in Japan and in America, where QE was tried out with a vengeance, banks tend to lend the monies conjured up by the central bank not to other banks or to Jack and Jill but to companies. Except that these companies do not invest the borrowed money in machinery and workers, fearful that the demand will not be there for extra output produced. No, what they do is to buy back their own shares in the stock market in order to increase their shares’ price and collect a nice bonus for having added value to the company. While this process does boost, to some extent, high-end house prices and the demand for luxuries, the only genuine beneficiary is gross inequality."
Yanis Varoufakis,Left,"When in 2008 the vast pyramids of financial capital came crashing down, Europe’s social democrats did not have the mental tools, or the moral values, with which to counter the bankers or to subject the collapsing system to critical scrutiny."
Yanis Varoufakis,Left,"The combination of two impossibilities leaves a huge question mark hanging in midair regarding Europe’s future. On the one hand, there is the impossibility of the eurozone continuing with its present terrible architecture, constantly spewing different versions of Greece’s tragedy. On the other hand, there is the impossibility of forming a unitary, centralized state with Berlin and Frankfurt at the center and Paris taking its impotence on the chin, accepting vassal status once and for all."
Yanis Varoufakis,Left,But is there really no difference between a federation and an alliance of states or the Europe of nations? Of course there is. And it is the difference between democracy and despotism.
Yanis Varoufakis,Left,"Moreover, the Eurogroup, where all the important economic decisions are taken, is a body that does not even exist in European law, that operates on the basis that the strong do as they please while the weak suffer what they must, that keeps no minutes of its procedures and whose only rule is that its deliberations are confidential; that is, not to be shared with Europe’s citizenry. Put bluntly, it is a setup designed to preclude any sovereignty traceable back to the people of Europe."
Yanis Varoufakis,Left,"In the mid-1990s, European bankers and their political friends realized that something big was going on in the Anglosphere and Europe ought either to embrace it or to reject it. Except that European officialdom lacks the political courage to do either and is bereft of the analytical capacity to take a stand on anything controversial. Their natural tendency is to fudge; to try to do both at once; to have their cake and eat it. So Brussels did nothing. Instead of regulating Europe’s banks, to stop them from loading up on the toxic paper that they were buying in droves, they whistled in the wind."
Yanis Varoufakis,Left,"In brief, it is now clear that Europe’s religious dedication to rules is nothing but a veil under which the strong make up the rules as they go along to suit their own political agenda. Perhaps that would be fine if the said agenda was not quick-marching Europe and the global economy into an economic, political and moral morass."
Yanis Varoufakis,Left,"Europe has twice already in the past hundred years dragged the planet down into appalling quagmires. It can do so again. Europe (as the New Dealers understood in the 1940s) is too important to leave to us Europeans. The whole world has a stake in a victory for rationality, liberty, democracy and humanism in the birthplace of those ideas."
Yanis Varoufakis,Left,"When Gandhi was asked what he thought of Western civilization, he famously replied that it would be a very good idea."
Yanis Varoufakis,Left,Years of crisis have culminated in a Europe that has lost legitimacy with its own citizens and credibility with the rest of the world.
Yanis Varoufakis,Left,"But unlike Nevada, Ireland had to fend for itself when it came to propping up its banks and paying its unemployment benefits. Lacking a printing press, it had to go cap in hand to the money markets to borrow huge quantities of money that, in Nevada’s case, had been paid for at the federal level."
Yanis Varoufakis,Left,"Fixing exchange rates between disparate economic regions always brings benefits in the short term. But it resembles past invasions of Russia: a brisk beginning full of enthusiasm and hope, rapid progress that seems unstoppable, followed by a heart-wrenching slowdown as a Cruel Winter takes its toll, ending up with blood on the snow and ceaseless retributions thereafter."
Yanis Varoufakis,Left,"In effect, the eurozone’s central bank, whose Maastricht-era charter bans it from lending to member-state governments or to insolvent banks, was lending indirectly to the government of each deficit nation the money insolvent banks required to pretend they were not insolvent. The banks thus pretended to be solvent, the deficit states pretended they had the money to guarantee that the banks were solvent, and the ECB stood by pretending that these sad pairs of insolvent banks and insolvent states were perfectly solvent and, thus, eligible, under the ECB’s charter, for ECB liquidity."
Yanis Varoufakis,Left,"The reason Greece became the first eurozone country to go manifestly bankrupt was simple enough. From the moment it looked likely that the drachma was history and Greece’s place in the euro was safe, bankers like Franz went into a frenzy of lending for the reason he explained to me so eloquently as we were flying to New York."
Yanis Varoufakis,Left,A dark continent that once produced so much light now exports bleakness and recession to the rest of the world.
Yanis Varoufakis,Left,"This strategy, which was then used as the template for the rest of the European periphery, turning the majority of European states into what I jokingly refer to as Bailoutistan, was always going to backfire on the European economy. Tim Geithner and Jack Lew, his successor in the US Treasury Department, understood this well. They shared the concern that what started in Greece in 2010, with the combination of an absurd bailout and a hideous level of austerity, has put Europe into a position that undermines America’s recovery and threatens the prospects of China, Latin America, even India and Africa."
Yanis Varoufakis,Left,"There are few occasions in any argument where one side is completely right and the other comprehensively wrong. This is one of them. Jack Lew’s Treasury was spot on and the German response utterly ludicrous. The US Treasury Department’s underlying analysis was founded on basic macroeconomics that Berlin, and the Eurogroup (as I have personally witnessed), refuses to acknowledge."
Yanis Varoufakis,Left,"capital also instils illusions in our minds – above all, the illusion that, in serving it, we become worthy, exceptional, potent. We take pride in our relationship with it (either as financiers who ‘create’ millions in a single day, or as employers on whom a multitude of working families depend, or as labourers who enjoy privileged access to gleaming machinery or to puny services denied to illegal migrants), turning a blind eye to the tragic fact that it is capital which, in effect, owns us all, and that it is we who serve it."
Yanis Varoufakis,Left,"By year’s end, on 31 December, the New York stock exchange has lost more than 31 per cent of its total value since 1 January 2008."
Yanis Varoufakis,Left,"Loans and workers are necessary evils whose ‘services’ businesspeople hire only for what they can get out of them: profit. But then profit can only be envisaged if the level of overall (or aggregate) future demand is strong. Unfortunately, the future is unknowable. The only thing business folk know for sure is that demand is never strong for long at a time of falling wages and interest rates. The result is an interesting, albeit tragic, conundrum: at a time of recession, when there is a mounting glut of labour and uninvested savings, a reduction in wages and interest rates does not help. In fact, it deepens the recession."
Yanis Varoufakis,Left,"Question: Do the machines depicted in the economy of The Matrix produce value? The answer, of course, depends on what value means and how it differs from price. One definition of value is the price towards which the actual price tends under normal market conditions. Another derives from the idea that the value of things reflects the true costs of producing them. One thing is certain: just like love, poetry, porn and beauty, one knows value when one sees it, even if one finds it impossible to define it analytically."
Yanis Varoufakis,Left,"Very quickly, the Obama administration lost political momentum. The obscene sight of those who had played a major role in setting the scene for the Crash (men like Larry Summers, Tim Geithner, Ben Bernanke) effectively returning to the scene of the crime as ‘saviours’, wielding trillions of freshly minted or borrowed dollars to lavish upon their banker ‘mates’, was enough to turn off even the hardiest of Mr Obama’s supporters. The result was predictable: as often happens during a deflationary period (think of the 1930s, for example), those who gainpolitically do not come from the revolutionary Left; they come from the loony Right. In the United States it was the Tea Party that grew on the back of a disdain for bankers, 6 a denunciation of the Fed, a clarion call for ‘honest’, metal-backed money, 7 and a revulsion towards all government. Ironically, the rise of the Tea Party increased the interventions of the Fed that the movement denounced. The reason was simple: once the Obama administration had lost its way, and could not pass any meaningful bills through Congress that might have stimulated the economy, onlyone lever was left with which anyone could steer America’s macroeconomy – the Fed’s monetary policy. And since interest rates were dwelling in the nether world of the first liquidity trap to hit the United States since the 1930s8 (recall Chapter 2 here), the Fed decided that quantitative easing or QE – the strategy that Chapter 8 describes in the context of the 1990s’ ‘lost Japanese decade’ – was all that was left separating America from a repugnant depression."
Yanis Varoufakis,Left,"The first sin, which took the form of a mathematized rhetoric, lulled authorities and academics into a false belief that financial innovation had engineered risk out of the system; that the new instruments allowed a new form of debt with the properties of quicksilver. Once loans were originated, they were then sliced up into tiny pieces, blended together in packages that contained different degrees of risk,3 and sold all over the globe. By thus"
Yanis Varoufakis,Left,This book originally aimed at pressing a useful metaphor into the service of elucidating a troubled world; a world that could no longer be understood properly by means
Yanis Varoufakis,Left,"The Global Minotaur metaphor crept up on me in 2002, after endless conversations with friend, colleague and co-author Joseph Halevi."
Yanis Varoufakis,Left,I was beginning to gain a degree of notoriety in the Greek and international media as a doomsayer who believed that not only was Greece’s bankruptcy inevitable but that it was a precursor of the euro-zone’s unravelling as well. Only
Yanis Varoufakis,Left,"How can a radical scepticism about the state be squared with a religious dedication to the notion that market outcomes are, by definition, optimal?"
Yanis Varoufakis,Left,"Alas, this was an open invitation to print one’s own money! No wonder Warren Buffet took one look at the fabled CDOs and described"
Yanis Varoufakis,Left,"Debtors’ prisons were ultimately abandoned because, despite their cruelty, they neither deterred the accumulation of new bad debts nor helped creditors get their money back. For capitalism to advance in the nineteenth century, the absurd notion that all debts are sacred had to be ditched and replaced with the notion of limited liability. After all, if all debts are guaranteed, why should lenders lend responsibly? And why should some debts carry a higher interest rate than other debts, reflecting the higher risk of going bad? Bankruptcy and debt write-downs became for capitalism what hell had always been for Christian dogma – unpleasant yet essential – but curiously bankruptcy-denial was revived in the twenty-first century to deal with the Greek state’s insolvency."
Yanis Varoufakis,Left,"After the press conference I would return to an empty sixth floor to engage in battle with the world’s most powerful creditors without secretaries, staff or indeed a computer. Thankfully, I had my trusty laptop in my rucksack. But who would furnish me with the Wi-Fi password?"
Yanis Varoufakis,Left,"Whenever a politician in the know gives a journalist an exclusive in exchange for a particular spin that is in the politician’s interest, the journalist is appended, however unconsciously, to a network of insiders. Whenever a journalist refuses to slant their story in the politician’s favour, they risk losing a valuable source and being excluded from that network. This is how networks of power control the flow of information: through co-opting outsiders and excluding those who refuse to play ball."
Yanis Varoufakis,Left,"Once caught in this web of power it takes an heroic disposition to turn whistle-blower, especially when one cannot hear oneself think amid the cacophony of so much money-making. And those few who do break ranks end up like shooting stars, quickly forgotten by a distracted world."
Yanis Varoufakis,Left,"Fascinatingly, many insiders, especially those only loosely attached to the network, are oblivious to the web that they reinforce, courtesy of having relatively few contacts with it. Similarly, those embedded in the very heart of the network are usually too far inside to notice that there is an outside at all."
Yanis Varoufakis,Left,Larry Summers is one such rare insider. His question to me was in fact an invocation to reject the lure of the outside. Underpinning his belief system was the conviction that the world can only be made better from within the black box.
Yanis Varoufakis,Left,"worse was dealing with creditors who did not really want their money back. Negotiating with them, trying to reason with them, was like negotiating a peace treaty with generals hell-bent on continuing a war safe in the knowledge that they, their sons and their daughters are out of harm’s way."
Yanis Varoufakis,Left,"Unaware of the fact that they were actually paying for the mistakes of French and German bankers, the Slovaks and the Finns, like the Germans and the French, believed they were having to shoulder another country’s debts. Thus, in the name of solidarity with the insufferable Greeks, the Franco-German axis planted the seeds of loathing between proud peoples."
Yanis Varoufakis,Left,"Upton Sinclair once said, ‘It is difficult to get a man to understand something when his salary depends upon his not understanding it."
Yanis Varoufakis,Left,John Kenneth Galbraith: ‘There are times in politics when you must be on the right side and lose.
Yanis Varoufakis,Left,only when the weak have decent reasons to defend the system that reproduces their subservience does the empire of the powerful
Yanis Varoufakis,Left,"I was told once by a leftwing scholar that as a Marxist, you have to do two things: always be optimistic and always have a view about everything. That advice still sounds good to me."
Yanis Varoufakis,Left,"There are two kinds of politicians,’ he said: ‘insiders and outsiders. The outsiders prioritize their freedom to speak their version of the truth. The price of their freedom is that they are ignored by the insiders, who make the important decisions. The insiders, for their part, follow a sacrosanct rule: never turn against other insiders and never talk to outsiders about what insiders say or do. Their reward? Access to inside information and a chance, though no guarantee, of influencing powerful people and outcomes."
Yanis Varoufakis,Left,What power have you got? Where did you get it from? In whose interests do you exercise it? To whom are you accountable? And how can we get rid of you?32 Ever
Yanis Varoufakis,Left,"A speech on March 18, 1947, by Herbert Hoover, President Roosevelt’s predecessor, flagged America’s new policy on Europe. There is an illusion, Hoover said, that the New Germany . . . can be reduced to a pastoral state. It cannot be done unless we exterminate or remove 25 million people out of it.33"
Yanis Varoufakis,Left,"Taking her cue from the points I had made, Christine seconded my appeals for debt relief and lower tax rates as prerequisites for a Greek recovery. Then she addressed me with calm and gentle honesty: You are of course right, Yanis. These targets that they insist on can’t work. But, you must understand that we have put too much into this programme. We cannot go back on it. Your credibility depends on accepting and working within this programme.2 So, there I had it. The head of the IMF was telling the finance minister of a bankrupt government that the policies imposed upon his country couldn’t work. Not that it would be hard to make them work. Not that the probability of them working was low. No, she was acknowledging that, come hell or high water, they couldn’t work. With"
Yanis Varoufakis,Left,"German officials knew it in 1964, as they knew it in 1992: for the French elites, a common currency with Germany was an attempt to neuter Germany, indeed to conquer the Bundesbank without firing a single shot. German decision makers, especially Bundesbank officials, would never allow themselves to forget that. But"
Yanis Varoufakis,Left,"The triangle of sin was complete: the insolvent media were kept in a zombified condition by the zombie banks, which were maintained in their undead condition by a bankrupt government, itself preserved in a condition of permanent bankruptcy by the EU and the IMF’s bailout loans. Is it any wonder that the Bailoutistan media extolled the benefits of the bailout and portrayed its bankers as victims of an unreliable state, while demonizing anyone who dared reveal what was really going on?"
Yanis Varoufakis,Left,"Unlike those corporations that focused on building a particular brand (e.g. Coca-Cola or Marlboro), or companies that created a wholly new sector by means of some invention (e.g. Edison with the light bulb, Microsoft with its Windows software, Sony with the Walkman, or Apple with the iPod/iPhone/iTunes package), Walmart did something no one had ever thought of before: it packaged a new ideology of cheapness into a brand that was meant to appeal to the financially stressed American working and lower-middle classes."
Yanis Varoufakis,Left,"Once their gaze turned back toward Europe, the puzzle dissolved: West Germany was the obvious equivalent and, indeed, a splendid candidate for the role of the global plan’s European shock-absorbing pillar"
Yanis Varoufakis,Left,"In 1950 the European Union was officially born in the form of a German-dominated cartel of coal and steel, run of course by a cross-border French-dominated administration located in Brussels. Its name? The European Steel and Coal Community."
Yanis Varoufakis,Left,Germany’s reindustrialization happened only because the United States chose to make it happen.
Yanis Varoufakis,Left,"He knew that the eurozone’s economic policies were not just atrocious for Greece but terrible for Europe and, by extension, for the United States too. And he knew that Greece was merely the laboratory where these failed policies were being tested and developed before their implementation everywhere across Europe."
Yanis Varoufakis,Left,"The cynic would be almost right.8 Except it would not be the whole story. As I departed that day, I was not leaving behind me a Machiavellian dictator; I was leaving behind a sunken heart, a man ostensibly more powerful than almost anyone in Europe who nevertheless felt utterly powerless to do what he knew was right. As the great tragedians have taught us, nothing causes greater wretchedness than the combination of supreme authority and wholesale powerlessness."
Yanis Varoufakis,Left,Forcing new loans upon the bankrupt on condition that they shrink their income is nothing short of cruel and unusual punishment. Greece was never bailed out.
Yanis Varoufakis,Left,"When inordinate weight is loaded onto a flimsily constructed bridge, the weakest beam will break first."
Yanis Varoufakis,Left,"Thinking that it had successfully diffused risk, our financialized world created so much that it was consumed by it."
Yanis Varoufakis,Left,"Corporations are forced, by competition and by the fear of predators, to try to turn workers into machine-like production units; to make the hiring of a worker no different from the hiring of an electricity generator. And yet, however hard they try to turn humans into machines and to extract output from their ‘work’ (in the same way as they extract effort from a horse or electricity from a generator), it is an impossible task. The worker cannot discard her innate human quirks, rebelliousness, indeterminateness – not even if she honestly wants to. All the things that make her contribution to production inherently unpredictable are part of who she is. Independently of her will, one moment she is capable of sloth and the next of brilliant creativity (which no machine can ever understand)."
Yanis Varoufakis,Left,"John Maynard Keynes made the most audacious proposal that has ever reached the bargaining table of a major international conference: to create an International Currency Union (ICU), a single currency (which he even named – the bancor) for the whole capitalist world, with its own international central bank and matching institutions. Keynes’ proposal was not as impudent as it seemed. In fact, it has withstood the test of time quite well. In a recent BBC interview, Dominique Strauss-Kahn, the IMF’s then managing director, called for a return to Keynes’ original idea as the only solution to the troubles of the post-2008 world economy."
Yanis Varoufakis,Left,"The ancient Greek word for money, for currency, is 'nomisma.' It comes from the verb 'to imagine.'So money has value to the extent that we imagine that it has value, according to the ancient Greeks. They knew that more than 2,000 years ago, and we kind of forget that simple, important notion at times."
Yanis Varoufakis,Left,"I assured them that our government was not going to be ideological about this: if I was asked whether I was in favour of or against privatization, my answer would be, ‘It depends on the asset in question – a port, a railway, a beach, an electricity company?’ Beaches I would never sell, I told them, just as I would never sell the Parthenon. And the privatization of electricity grids reliably leads to environmentally and socially suboptimal outcomes. But when it came to ports and airports, I would form a view based on four criteria: how much the buyer was committing to invest in the asset; the buyer’s commitment to workers’ rights to union representation and decent wages and conditions; environmental standards; and the extent to which the buyer would be obliged to leave room for and encourage the benefit of small and medium local businesses."
Yanis Varoufakis,Left,"Fellow economists get very cross with me when I tell them that we face a choice: we can keep pretending we are scientists, like astrologists do, or admit that we are more like philosophers, who will never know the meaning of life for sure, no matter how wisely and rationally they argue. But were we to confess that we are at best worldly philosophers, it is unlikely we would continue to be so handsomely rewarded by the ruling class of a market society whose legitimacy we provide by pretending to be scientists."
Yanis Varoufakis,Left,"Try mentally to travel to a faraway place, if not necessarily in order to move your world – though how splendid that would be! – but to see it clearly for what it is. Doing so will grant you the opportunity to retain your freedom. And to remain a free spirit as you grow up and make your way in this world, it is essential that you cultivate a rare but crucial freedom: the liberty that comes from knowing how the economy works and from the capacity to answer the trillion-dollar question: ‘Who does what to whom around your neck of the woods and further afield?"
Yanis Varoufakis,Left,"the accusation was false, and although doubts still slithered through my mind like restless serpents"
