Quotes,Author,Political Orientation
"The American model – democracy – must be regarded as a historical error, economically as well as morally. Democracy promotes shortsightedness, capital waste, irresponsibility, and moral relativism. It leads to permanent compulsory income and wealth redistribution and legal uncertainty. It is counterproductive. It promotes demagoguery and egalitarianism. It is aggressive and potentially totalitarian internally, vis-à-vis its own population, as well as externally. In sum, it leads to a dramatic growth of state power, as manifested by the amount of parasitically – by means of taxation and expropriation – appropriated government income and wealth in relation to the amount of productively – through market exchange – acquired private income and wealth, and by the range and invasiveness of state legislation. Democracy is doomed to collapse, just as Soviet communism was doomed to collapse.",Hans-Hermann Hoppe,Right
"Essentially, economic analysis consists of: (1) an understanding of the categories of action and an understanding of the meaning of a change in values, costs, technological knowledge, etc.; (2) a description of a situation in which these categories assume concrete meaning, where definite people are identified as actors with definite objects specified as their means of action, with definite goals identified as values and definite things specified as costs; and (3) a deduction of the consequences that result from the performance of some specified action in this situation, or of the consequences that result for an actor if this situation is changed in a specified way. And this deduction must yield a priori-valid conclusions, provided there is no flaw in the very process of deduction and the situation and the change introduced into it being given, and a priori—valid conclusions about reality if the situation and situation—change, as described, can themselves be identified as real, because then their validity would ultimately go back to the indisputable validity of the categories of action.",Hans-Hermann Hoppe,Right
"As for the moral status of majority rule, it must be pointed out that it allows for A and B to band together to rip off C, C and A in turn joining to rip off B, and then B and C conspiring against A, and so on.",Hans-Hermann Hoppe,Right
"...bums and inferior people will likely support his egalitarian policies, whereas geniuses and superior people will not. For [this] reason...a democratic ruler undertakes little to actively expel those people whose presence within the country constitutes a negative externality (human trash which drives individual property values down).",Hans-Hermann Hoppe,Right
"A member of the human race who is completely incapable of understanding the higher productivity of labor performed under a division of labor based on private property is not properly speaking a person… but falls instead into the same moral category as an animal – of either the harmless sort (to be domesticated and employed as a producer or consumer good, or to be enjoyed as a “free good”) or the wild and dangerous one (to be fought as a pest). On the other hand, there are members of the human species who are capable of understanding the [value of the division of labor] but...who knowingly act wrongly… [B]esides having to be tamed or even physically defeated [they] must also be punished… to make them understand the nature of their wrongdoings and hopefully teach them a lesson for the future.",Hans-Hermann Hoppe,Right
"Families, authority, communities, and social ranks are the empirical-sociological concretization of the abstract philosophical-praxeological categories and concepts of property, production, exchange, and contract. Property and property relations do not exist apart from families and kinship relations.",Hans-Hermann Hoppe,Right
"Private property capitalism and egalitarian multiculturalism are as unlikely a combination as socialism and cultural conservatism. And in trying to combine what cannot be combined, much of the modern libertarian movement actually contributed to the further erosion of private property rights (just as much of contemporary conservatism contributed to the erosion of families and traditional morals). What the countercultural libertarians failed to recognize, and what true libertarians cannot emphasize enough, is that the restoration of private property rights and laissez-faire economics implies a sharp and drastic increase in social “discrimination” and will swiftly eliminate most if not all of the multicultural-egalitarian life style experiments so close to the heart of left libertarians. In other words, libertarians must be radical and uncompromising conservatives.",Hans-Hermann Hoppe,Right
"Egalitarianism, in every form and shape, is incompatible with the idea of private property. Private property implies exclusivity, inequality, and difference. And cultural relativism is incompatible with the fundamental----indeed foundational----fact of families and intergenerational kinship relations. Families and kinship relations imply cultural absolutism.",Hans-Hermann Hoppe,Right
"In a covenant...among proprietor and community tenants for the purpose of protecting their private property, no such thing as a right to free (unlimited) speech exists, not even to unlimited speech on one’s own tenant-property. One may say innumerable things and promote almost any idea under the sun, but naturally no one is permitted to advocate ideas contrary to the very covenant of preserving and protecting private property, such as democracy and communism. There can be no tolerance toward democrats and communists in a libertarian social order. They will have to be physically separated and removed from society.",Hans-Hermann Hoppe,Right
"[O]ur existence is due to the fact that we do not, indeed cannot accept a norm outlawing property in other scarce resources next to and in addition to that of one's physical body. Hence, the right to acquire such goods must be assumed to exist.",Hans-Hermann Hoppe,Right
"[The] property right in one's own body must be said to be justified a priori, for anyone who would try to justify any norm whatsoever would already have to presuppose the exclusive right to control over his body as a valid norm simply in order to say ""I propose such in such.""",Hans-Hermann Hoppe,Right
