,Author,Quotes,Contain,Political Orientation
1680,Noam Chomsky,"If you look at history, even recent history, you see that there is indeed progress. . . . Over time, the cycle is clearly, generally upwards. And it doesn't happen by laws of nature. And it doesn't happen by social laws. . . . It happens as a result of hard work by dedicated people who are willing to look at problems honestly, to look at them without illusions, and to go to work chipping away at them, with no guarantee of success",no,Left
1681,Noam Chomsky,"Goebbels was in favor of free speech for views he liked. So was Stalin. If you’re really in favor of free speech, then you’re in favor of freedom of speech for precisely the views you despise. Otherwise, you’re not in favor of free speech.",no,Left
1683,Noam Chomsky,"If it's wrong when they do it, it's wrong when we do it.",no,Left
1684,Noam Chomsky,"When I was in high school I asked myself at one point: Why do I care if my high school's team wins the football game? I don't know anybody on the team, they have nothing to do with me... why am I here and applaud? It does not make any sense. But the point is, it does make sense: It's a way of building up irrational attitudes of submission to authority and group cohesion behind leadership elements. In fact it's training in irrational jingoism. That's also a feature of competitive sports.",no,Left
1685,Noam Chomsky,"The key element of social control is the strategy of distraction that is to divert public attention from important issues and changes decided by political and economic elites, through the technique of flood or flooding continuous distractions and insignificant information.",no,Left
1686,Noam Chomsky,The number of people killed by the sanctions in Iraq is greater than the total number of people killed by all weapons of mass destruction in all of history.,no,Left
1687,Noam Chomsky,"We still name our military helicopter gunships after victims of genocide. Nobody bats an eyelash about that: Blackhawk. Apache. And Comanche. If the Luftwaffe named its military helicopters Jew and Gypsy, I suppose people would notice.",no,Left
1688,Noam Chomsky,"If the Nuremberg laws were applied, then every post-war American president would have been hanged.",no,Left
1689,Noam Chomsky,"The beauty of our system is that it isolates everybody. Each person is sitting alone in front of the tube, you know. It's very hard to have ideas or thoughts under those circumstances. You can't fight the world alone.",no,Left
1690,Noam Chomsky,"If anybody thinks they should listen to me because I'm a professor at MIT, that's nonsense. You should decide whether something makes sense by its content, not by the letters after the name of the person who says it.",no,Left
1691,Noam Chomsky,"Language is a process of free creation; its laws and principles are fixed, but the manner in which the principles of generation are used is free and infinitely varied. Even the interpretation and use of words involves a process of free creation.",no,Left
1692,Noam Chomsky,"Hamas is regularly described as 'Iranian-backed Hamas, which is dedicated to the destruction of Israel.' One will be hard put to find something like 'democratically elected Hamas, which has long been calling for a two-state settlement in accord with the international consensus'",no,Left
1693,Noam Chomsky,People who call themselves supporters of Israel are actually supporters of its moral degeneration and ultimate destruction.,no,Left
1694,Noam Chomsky,"Since Jimmy Carter, religious fundamentalists play a major role in elections. He was the first president who made a point of exhibiting himself as a born again Christian. That sparked a little light in the minds of political campaign managers: Pretend to be a religious fanatic and you can pick up a third of the vote right away. Nobody asked whether Lyndon Johnson went to church every day. Bill Clinton is probably about as religious as I am, meaning zero, but his managers made a point of making sure that every Sunday morning he was in the Baptist church singing hymns.",no,Left
1695,Noam Chomsky,"We need not stride resolutely towards catastrophe, merely because those are the marching orders.",no,Left
1696,Noam Chomsky,The very design of neoliberal principles is a direct attack on democracy.,no,Left
1697,Noam Chomsky,"In my own professional work I have touched on a variety of different fields. I’ve done work in mathematical linguistics, for example, without any professional credentials in mathematics; in this subject I am completely self-taught, and not very well taught. But I’ve often been invited by universities to speak on mathematical linguistics at mathematics seminars and colloquia. No one has ever asked me whether I have the appropriate credentials to speak on these subjects; the mathematicians couldn’t care less. What they want to know is what I have to say. No one has ever objected to my right to speak, asking whether I have a doctor’s degree in mathematics, or whether I have taken advanced courses in the subject. That would never have entered their minds. They want to know whether I am right or wrong, whether the subject is interesting or not, whether better approaches are possible… the discussion dealt with the subject, not with my right to discuss it. But on the other hand, in discussion or debate concerning social issues or American foreign policy…. The issue is constantly raised, often with considerable venom. I’ve repeatedly been challenged on grounds of credentials, or asked, what special training do I have that entitles you to speak on these matters. The assumption is that people like me, who are outsiders from a professional viewpoint, are not entitled to speak on such things. Compare mathematics and the political sciences… it’s quite striking. In mathematics, in physics, people are concerned with what you say, not with your certification. But in order to speak about social reality, you must have the proper credentials, particularly if you depart from the accepted framework of thinking. Generally speaking, it seems fair to say that the richer the intellectual substance of a field, the less there is a concern for credentials, and the greater is the concern for content.",no,Left
1698,Noam Chomsky,"No honest journalist should be willing to describe himself or herself as 'embedded.' To say, 'I'm an embedded journalist' is to say, 'I'm a government Propagandist.",no,Left
1699,Noam Chomsky,"The intellectual tradition is one of servility to power, and if I didn't betray it I'd be ashamed of myself.",no,Left
2520,Noam Chomsky,"The kind of work that should be the main part of life is the kind of work you would want to do if you weren't being paid for it. It's work that comes out of your own internal needs, interests and concerns.",no,Left
2521,Noam Chomsky,"In the US, there is basically one party - the business party. It has two factions, called Democrats and Republicans, which are somewhat different but carry out variations on the same policies. By and large, I am opposed to these policies. As is most of the population.",no,Left
2522,Noam Chomsky,This Sarah Palin phenomenon is very curious. I think somebody watching us from Mars,no,Left
2523,Noam Chomsky,"The war against working people should be understood to be a real war…. Specifically in the U.S., which happens to have a highly class-conscious business class…. And they have long seen themselves as fighting a bitter class war, except they don’t want anybody else to know about it.",no,Left
2524,Noam Chomsky,Hope is essential to any political struggle for radical change when the overall social climate promotes disillusionment and despair.,no,Left
2525,Noam Chomsky,"Israel's demonstration of its military prowess in 1967 confirmed its status as a 'strategic asset,' as did its moves to prevent Syrian intervention in Jordan in 1970 in support of the PLO. Under the Nixon doctrine, Israel and Iran were to be 'the guardians of the Gulf,' and after the fall of the Shah, Israel's perceived role was enhanced. Meanwhile, Israel has provided subsidiary services elsewhere, including Latin America, where direct US support for the most murderous regimes has been impeded by Congress. While there has been internal debate and some fluctuation in US policy, much exaggerated in discussion here, it has been generally true that US support for Israel's militarization and expansion reflected the estimate of its power in the region.The effect has been to turn Israel into a militarized state completely dependent on US aid, willing to undertake tasks that few can endure, such as participation in Guatemalan genocide. For Israel, this is a moral disaster and will eventually become a physical disaster as well. For the Palestinians and many others, it has been a catastrophe, as it may sooner or later be for the entire world, with the growing danger of superpower confrontation.",no,Left
2527,Noam Chomsky,"State propaganda, when supported by the educated classes and when no deviation is permitted from it, can have a big effect. It was a lesson learned by Hitler and many others, and it has been pursued to this day.",no,Left
2528,Noam Chomsky,"You can find things in the traditional religions which are very benign and decent and wonderful and so on, but I mean, the Bible is probably the most genocidal book in the literary canon. The God of the Bible - not only did He order His chosen people to carry out literal genocide - I mean, wipe out every Amalekite to the last man, woman, child, and, you know, donkey and so on, because hundreds of years ago they got in your way when you were trying to cross the desert - not only did He do things like that, but, after all, the God of the Bible was ready to destroy every living creature on earth because some humans irritated Him. That's the story of Noah. I mean, that's beyond genocide - you don't know how to describe this creature. Somebody offended Him, and He was going to destroy every living being on earth? And then He was talked into allowing two of each species to stay alive - that's supposed to be gentle and wonderful.",no,Left
2529,Noam Chomsky,"The two main criminals are France and the United States. They owe Haiti enormous reparations because of actions going back hundreds of years. If we could ever get to the stage where somebody could say, 'We're sorry we did it,' that would be nice. But if that just assuages guilt, it's just another crime. To become minimally civilized, we would have to say, 'We carried out and benefited from vicious crimes. A large part of the wealth of France comes from the crimes we committed against Haiti, and the United States gained as well. Therefore we are going to pay reparations to the Haitian people.' Then you will see the beginnings of civilization.",no,Left
2530,Noam Chomsky,"Passivity may be the easy course, but it is hardly the honorable one.",no,Left
2531,Noam Chomsky,"Peace is preferable to war. But it’s not an absolute value, and so we always ask, What kind of peace?",no,Left
2532,Noam Chomsky," Education must provide the opportunities for self-fulfillment; it can at best provide a rich and challenging environment for the individual to explore, in his own way.",no,Left
2533,Noam Chomsky,Don't be obsessed with tactics but with purpose. Tactics have a half life.,no,Left
2534,Noam Chomsky,"There are few genuine conservatives within the U.S. political system, and it is a sign of the intellectual corruption of the age that the honorable term 'conservatism' can be appropriated to disguise the advocacy of a powerful, lawless, aggressive and violent state, a welfare state for the rich dedicated to a lunatic form of Keynesian economic intervention that enhances state and private power while mortgaging the country's future.",no,Left
2535,Noam Chomsky,The new crimes that the US and Israel were committing in Gaza as 2009 opened do not fit easily into any standard category,no,Left
2536,Noam Chomsky,"In many respects, the United States is a great country. Freedom of speech is protected more than in any other country. It is also a very free society. In America, the professor talks to the mechanic. They are in the same category.",no,Left
2537,Noam Chomsky,As soon as questions of will or decision or reason or choice of action arise human science is at a loss.,no,Left
2538,Noam Chomsky,Discovery is the ability to be puzzled by simple things.,no,Left
2539,Noam Chomsky,"Bolivia is a striking example. The mostly white, Europeanized elite, which is a minority, happens to be sitting on most of the hydrocarbon reserves. For the first time Bolivia is becoming democratic. So it's therefore bitterly hated by the West, which despises democracy, because it's much too dangerous.",no,Left
3360,Noam Chomsky,"..reading a book doesn’t mean just turning the pages. It means thinking about it, identifying parts that you want to go back to, asking how to place it in a broader context, pursuing the ideas. There’s no point in reading a book if you let it pass before your eyes and then forget about it ten minutes later. Reading a book is an intellectual exercise, which stimulates thought, questions, imagination.",no,Left
3361,Noam Chomsky,Religion is based on the idea that God is an imbecile.,no,Left
3362,Noam Chomsky,"The mass media serve as a system for communicating messages and symbols to the general populace. It is their function to amuse, entertain, and inform, and to inculcate individuals with the values, beliefs, and codes of behavior that will integrate them into the institutional structures of the larger society. In a world of concentrated wealth and major conflicts of class interest, to fulfil this role requires systematic propaganda.",no,Left
3363,Noam Chomsky,"Karl Marx said, The task is not just to understand the world but to change it. A variant to keep in mind is that if you want to change the world you’d better try to understand it. That doesn’t mean listening to a talk or reading a book, though that’s helpful sometimes. You learn from participating. You learn from others. You learn from the people you’re trying to organize. We all have to gain the understanding and the experience to formulate and implement ideas.",no,Left
3364,Noam Chomsky,"Look, part of the whole technique of disempowering people is to make sure that the real agents of change fall out of history, and are never recognized in the culture for what they are. So it's necessary to distort history and make it look as if Great Men did everything - that's part of how you teach people they can't do anything, they're helpless, they just have to wait for some Great Man to come along and do it for them.",no,Left
3365,Noam Chomsky,"...if you ask me whether or not I'm an atheist, I wouldn't even answer. I would first want an explanation of what it is that I'm supposed not to believe in, and I've never seen an explanation.",no,Left
3366,Noam Chomsky,You don't get to be a respected intellectual by uttering truisms in monosyllables.,no,Left
3367,Noam Chomsky,"Of course all such conclusions about appropriate actions against the rich and powerful are based on a fundamental flaw: This is us, and that is them. This crucial principle, deeply embedded in Western culture, suffices to undermine even the most precise analogy and the most impeccable reasoning.",no,Left
3368,Noam Chomsky,"There are growing domestic social and economic problems, in fact, maybe catastrophes. Nobody in power has any intention of doing anything about them. If you look at the domestic programs of the administrations of the past ten years-I include here the Democratic opposition-there's really no serious proposal about what to do about the severe problems of health, education, homelessness, joblessness, crime, soaring criminal populations, jails, deterioration in the inner cities - the whole raft of problems... In such circumstances you've got to divert the bewildered herd, because if they start noticing this they may not like it, since they're the ones suffering from it. Just having them watch the Superbowl and the sitcoms may not be enough. You have to whip them up into fear of enemies. In the 1930s Hitler whipped them into fear of the Jews and gypsies. You had to crush them to defend yourselves. We have our ways, too. Over the last ten years, every year ot two, some major monster is constructed that we have to defend ourselves against.",no,Left
3369,Noam Chomsky,"Hitherto, the Palestinians had been relatively immune to this Allahu Akhbar style. I thought this was a hugely retrograde development. I said as much to Edward. To reprint Nazi propaganda and to make a theocratic claim to Spanish soil was to be a protofascist and a supporter of 'Caliphate' imperialism: it had nothing at all to do with the mistreatment of the Palestinians. Once again, he did not exactly disagree. But he was anxious to emphasize that the Israelis had often encouraged Hamas as a foil against Fatah and the PLO. This I had known since seeing the burning out of leftist Palestinians by Muslim mobs in Gaza as early as 1981. Yet once again, it seemed Edward could only condemn Islamism if it could somehow be blamed on either Israel or the United States or the West, and not as a thing in itself. He sometimes employed the same sort of knight's move when discussing other Arabist movements, excoriating Saddam Hussein's Ba'ath Party, for example, mainly because it had once enjoyed the support of the CIA. But when Saddam was really being attacked, as in the case of his use of chemical weapons on noncombatants at Halabja, Edward gave second-hand currency to the falsified story that it had 'really' been the Iranians who had done it. If that didn't work, well, hadn't the United States sold Saddam the weaponry in the first place? Finally, and always",no,Left
3370,Noam Chomsky,"I am not too happy with terms like the left, to be honest. And I don’t use it much….if by the left you mean people who are committed to peace and justice and freedom and so on, there can’t be elements of the left opposed to workers’ movement, at least under that definition.",no,Left
3371,Noam Chomsky,"If by 'intellectual' you mean people who are a special class who are in the business of imposing thoughts and forming ideas for people in power, and telling people what they should believe...they're really more a kind of secular priesthood, whose task it is to uphold the doctrinal truths of the society. And the population SHOULD be anti-intellectual in that repect.",no,Left
3372,Noam Chomsky,"French intellectual life has, in my opinion, been turned into something cheap and meretricious by the 'star' system. It is like Hollywood. Thus we go from one absurdity to another - Stalinism, existentialism. Lacan, Derrida - some of them obscene ( Stalinism), some simply infantile and ridiculous ( Lacan, Derrida). What is striking, however, is the pomposity and self-importance, at each stage.",no,Left
3374,Noam Chomsky,"Over the last 25 years, the major popular movements that have had significant impact on the general society and have changed it, that have had a major civilizing effect – the feminist movement, the environmental movement, and so on – these are mostly developments of the ‘70s and ‘80s. Their roots might be in the activism of the ‘60s, but the movements themselves developed and extended later. The same is true of the changes in respect for other cultures, rights of oppressed people, and so on. These are quite significant changes. If you compare the United States now to what it was, say, 35 years ago, the changes are quite dramatic. These are changes in popular consciousness that are quite deeply embedded.",no,Left
3375,Noam Chomsky,"Before I went to college I read two books. I read a book Moral Mazes by Robert Jackall which is a study of how corporations work, and it’s actually a fascinating book, this sociologist, he just picks a corporation at random and just goes and studies the middle managers, not the people who do any of the grunt work and not the big decision makers, just the people whose job is to make sure that things day to day get done, and he shows how even though they’re all perfectly reasonable people, perfectly nice people you’d be happy to meet any of them, all the things that they were accomplishing were just incredibly evil. So you have these people in this average corporation, they were making decisions to blow out their worker’s eardrums in the factory, to poison the lakes and the lagoons nearby, to make these products that are filled with toxic chemicals that poisoned their customers, not because any of them were bad people and wanted to kill their workers and their neighbourhood and their customers, but just because that was the logic of the situation they were in.Another book I read was a book Understanding Power by Noam Chomsky which kind of took the same sort of analysis but applied it to wider society which you know we’re in a situation where it may be filled with perfectly good people but they’re in these structures that cause them to continually do evil, to invade countries, to bomb people, to take money from poor people and give it to rich people, to do all these things that are wrong. These books really opened my eyes about just how bad the society we were living in really is.",no,Left
3376,Noam Chomsky,"A very, in a sense, terrifying aspect of our society, and other societies, is the equanimity and the detachment with which sane, reasonable, sensible people can observe [war]. I think that's more terrifying than the occasional Hitler or LeMay or other that crops up. These people would not be able to operate were it not for this apathy and equanimity...and therefore I think that it's, in some sense, the sane and reasonable and tolerant people who share a very serious burden of guilt that they very easily throw on the shoulders of others who seem more extreme and violent.",no,Left
3377,Noam Chomsky,"...the qualifications that I have to speak on world affairs are exactly the same ones Henry Kissinger has, and Walt Rostow has, or anybody in the Political Science Department, professional historians",no,Left
3378,Noam Chomsky,"Wanton killing of innocent civilians is terrorism, not a war against terrorism.",no,Left
3379,Noam Chomsky,"To begin with, we have to be more clear about what we mean by patriotic feelings. For a time when I was in high school, I cheered for the school athletic teams. That's a form of patriotism",no,Left
4200,Noam Chomsky,People tend to rally around power.,no,Left
4201,Noam Chomsky,Anarchists try to identify power structures. They urge those exercising power to justify themselves. This justification does not succeed most of the time.,no,Left
4202,Noam Chomsky,"[Israel's military occupation is] in gross violation of international law and has been from the outset. And that much, at least, is fully recognized, even by the United States, which has overwhelming and, as I said, unilateral responsibility for these crimes. So George Bush No. 1, when he was the U.N. ambassador, back in 1971, he officially reiterated Washington's condemnation of Israel's actions in the occupied territories. He happened to be referring specifically to occupied Jerusalem. In his words, actions in violation of the provisions of international law governing the obligations of an occupying power, namely Israel. He criticized Israel's failure to acknowledge its obligations under the Fourth Geneva Convention as well as its actions which are contrary to the letter and spirit of this Convention. [...] However, by that time, late 1971, a divergence was developing, between official policy and practice. The fact of the matter is that by then, by late 1971, the United States was already providing the means to implement the violations that Ambassador Bush deplored. [...] on December 5th [2001], there had been an important international conference, called in Switzerland, on the 4th Geneva Convention. Switzerland is the state that's responsible for monitoring and controlling the implementation of them. The European Union all attended, even Britain, which is virtually a U.S. attack dog these days. They attended. A hundred and fourteen countries all together, the parties to the Geneva Convention. They had an official declaration, which condemned the settlements in the occupied territories as illegal, urged Israel to end its breaches of the Geneva Convention, some grave breaches, including willful killing, torture, unlawful deportation, unlawful depriving of the rights of fair and regular trial, extensive destruction and appropriation of property not justified by military necessity and carried out unlawfully and wantonly. Grave breaches of the Geneva Convention, that's a serious term, that means serious war crimes. The United States is one of the high contracting parties to the Geneva Convention, therefore it is obligated, by its domestic law and highest commitments, to prosecute the perpetrators of grave breaches of the conventions. That includes its own leaders. Until the United States prosecutes its own leaders, it is guilty of grave breaches of the Geneva Convention, that means war crimes. And it's worth remembering the context. It is not any old convention. These are the conventions established to criminalize the practices of the Nazis, right after the Second World War. What was the U.S. reaction to the meeting in Geneva? The U.S. boycotted the meeting [..] and that has the usual consequence, it means the meeting is null and void, silence in the media.",no,Left
4203,Noam Chomsky,"..people would like to think there's somebody up there who knows what he's doing. Since we don't participate, we don't control and we don't even think about the questions of crucial importance, we hope somebody is paying attention who has some competence. Let's hope the ship has a captain, in other words, since we're not taking in deciding what's going on. I think that's a factor. But also, it is an important feature of the ideological system to impose on people the feeling that they are incompetent to deal with these complex and important issues; they'd better leave it to the captain. One device is to develop a star system, an array of figures who are often media creations or creations of the academic propaganda establishment, whose deep insights we are supposed to admire and to whom we must happily and confidently assign the right to control our lives and control international affairs.",no,Left
4204,Noam Chomsky,"My intellectual achievement was retarded when I went to high school. I sort of sank into a black hole because I had to go to the high-achieving, academic public high school.",no,Left
4205,Noam Chomsky,"That war [Bosnian war] in the early 1990s changed a lot for me. I never thought I would see, in Europe, a full-dress reprise of internment camps, the mass murder of civilians, the reinstiutution of torture and rape as acts of policy. And I didn't expect so many of my comrades to be indifferent - or even take the side of the fascists. It was a time when many people on the left were saying 'Don't intervene, we'll only make things worse' or, 'Don't intervene, it might destabilise the region. And I thought - destabilisation of fascist regimes is a good thing. Why should the left care about the stability of undemocratic regimes? Wasn't it a good thing to destabilise the regime of General Franco? It was a time when the left was mostly taking the conservative, status quo position - leave the Balkans alone, leave Milosevic alone, do nothing. And that kind of conservatism can easily mutate into actual support for the aggressors. Weimar-style conservatism can easily mutate into National Socialism. So you had people like Noam Chomsky's co-author Ed Herman go from saying 'Do nothing in the Balkans', to actually supporting Milosevic, the most reactionary force in the region. That's when I began to first find myself on the same side as the neocons. I was signing petitions in favour of action in Bosnia, and I would look down the list of names and I kept finding, there's Richard Perle. There's Paul Wolfowitz. That seemed interesting to me. These people were saying that we had to act. Before, I had avoided them like the plague, especially because of what they said about General Sharon and about Nicaragua. But nobody could say they were interested in oil in the Balkans, or in strategic needs, and the people who tried to say that - like Chomsky - looked ridiculous. So now I was interested.",no,Left
4206,Noam Chomsky,"As long as the general population is passive, apathetic, diverted to consumerism or hatred of the vulnerable, then the powerful can do as they please, and those who survive will be left to contemplate the outcome.",no,Left
4207,Noam Chomsky,"The general population doesn't know what's happening, and it doesn't even know that it doesn't know.",no,Left
4209,Noam Chomsky,"I do not feel that we should set up people as models; rather actions, thoughts, principles.",no,Left
4210,Noam Chomsky,"The beauty of the system, however, is that such dissent and inconvenient information are kept within bounds and at the margins, so that while their presence shows that the system is not monolithic, they are not large enough to interfere unduly with the domination of the official agenda.",no,Left
4211,Noam Chomsky,"If we do not believe in freedom of expression for people we despise, we do not believe in it at all.",no,Left
4212,Noam Chomsky,Historical amnesia is a dangerous phenomenon not only because it undermines moral and intellectual integrity but also because it lays the groundwork for crimes that still lie ahead.,no,Left
4213,Noam Chomsky,Amusing and perfectly self-conscious charlatans.,no,Left
4214,Noam Chomsky,One of the greatest difficulties the left faces in reaching out to masses of people in America is its profound disrespect of spirituality and religious life…people on the left need to acknowledge – we need to grapple with – the question of religion.,no,Left
4215,Noam Chomsky,"The times are too difficult and the crisis too severe to indulge in schadenfreude. Looking at it in perspective, the fact that there would be a financial crisis was perfectly predictable: its general nature, if not its magnitude. Markets are always inefficient.",no,Left
4216,Noam Chomsky,"The social system is taking on a form in which finding out what you want to do is less and less of an option because your life is too structured, organised, controlled and disciplined.",no,Left
4217,Noam Chomsky,"If you claim to have a theory that deduces unexpected consequences from nontrivial principles, let's see it.",no,Left
4218,Noam Chomsky,"So what the media do, in effect, is to take the set of assumptions which express the basic ideas of the propaganda system, whether about the Cold War or the economic system or the national interest and so on, and then present a range of debate within that framework",no,Left
4219,Noam Chomsky,"My guess is that you would find that the intellectual elite is the most heavily indoctrinated sector [of society], for good reasons. It's their role as a secular priesthood to really believe the nonsense that they put forth. Other people can repeat it, but it's not that crucial that they really believe it. But for the intellectual elite themselves, it's crucial that they believe it because, after all, they are the guardians of the faith. Except for a very rare person who's an outright liar, it's hard to be a convincing exponent of the faith unless you've internalized it and come to believe it.",no,Left
5041,Noam Chomsky,"As in the past, the costs and risks of the coming phases of the industrial economy were to be socialized, with eventual profits privatized ...",no,Left
5042,Noam Chomsky,The European reaction to Obama is a European delusion.,no,Left
5043,Noam Chomsky,"With regard to freedom of speech there are basically two positions: you defend it vigorously for views you hate, or you reject it and prefer Stalinist/fascist standards. It is unfortunate that it remains necessary to stress these simple truths.",no,Left
5044,Noam Chomsky,The point of advertising is to destroy markets.,no,Left
