,Author,Contain,Political Orientation,Quotes,Unnamed: 0,auto,rep,texicity
34,Yanis Varoufakis,no,Left,"The 61.3 per cent who voted no had to be discredited as a people led astray by opportunists,",35601.0,0.0,1.0,  per cent voted discredited people led astray opportunists
35,Yanis Varoufakis,no,Left,"When a person believes one thing but chooses or is forced to advocate its opposite, the result is cognitive dissonance. Eventually, in order to endure the internal conflict, one is forced, like Orwell’s Winston Smith, to change one’s mind. But the emotional fallout from such stress must somehow be vented; someone else must take the blame. Since I had been chosen to perform the role of scapegoat by the victorious trinka, I was the obvious choice for my defeated comrades too.",35602.0,0.0,1.0,person believes one thing chooses forced advocate opposite result cognitive dissonance eventually order endure internal conflict one forced like orwell winston smith change one mind emotional fallout stress must somehow vented someone else must take blame since chosen perform role scapegoat victorious trinka obvious choice defeated comrades
36,Yanis Varoufakis,no,Left,Observing the European Union’s attempts to deal with the crisis is a bit like watching Othello – one wonders how our rulers can be so deluded,35603.0,0.0,1.0,observing european union attempts deal crisis bit like watching othello one wonders rulers deluded
37,Yanis Varoufakis,no,Left,Bullies blame their victims. Clever bullies make their victims’ culpability seem self-evident.,35604.0,0.0,1.0,bullies blame victims clever bullies make victims culpability seem self evident
38,Yanis Varoufakis,no,Left,"A cynical ploy that transferred hundreds of billions of losses from the books of the French and German banks to Europe’s taxpayers was presented to the world as the manifestation of European solidarity. What makes this transfer sinister, rather than just cynical, was that the Greek loan came not only from French and German taxpayers but also from the Portuguese, the Slovaks, the Irish taxpayers",35605.0,0.0,1.0,cynical ploy transferred hundreds billions losses books french german banks europe taxpayers presented world manifestation european solidarity makes transfer sinister rather cynical greek loan came french german taxpayers also portuguese slovaks irish taxpayers
39,Yanis Varoufakis,no,Left,"If this sounds like a Ponzi scheme it is because it is the mother of all Ponzi schemes. A merry-go-round of Ponzi austerity which, interestingly, left both the insolvent banks and the insolvent Greek state a little more insolvent while, all along, the Greek population was sinking deeper and deeper into despair. And all so the European Union could pretend that its inane rules had been respected.",35606.0,0.0,1.0,sounds like ponzi scheme mother ponzi schemes merry go round ponzi austerity interestingly left insolvent banks insolvent greek state little insolvent along greek population sinking deeper deeper despair european union could pretend inane rules respected
40,Yanis Varoufakis,no,Left,"In other words, the uninsured private bankers had to be bailed out illegally and utterly unethically. But the taxpayers who were forced to carry that can should not even be given better terms for repaying the odious, private debt they were forced to acquire in order to bail the bankers out.",35607.0,0.0,1.0,words uninsured private bankers bailed illegally utterly unethically taxpayers forced carry even given better terms repaying odious private debt forced acquire order bail bankers
41,Yanis Varoufakis,no,Left,"And so, the good people of Frankfurt pressured Ireland’s central bank to unload these bonds, to sell them to private bankers who would then, in the fullness of time, collect the interest from the Irish taxpayers. If anyone was to benefit, it ought to be the bankers and the hedge funds again. Never the citizens.",35608.0,0.0,1.0,good people frankfurt pressured ireland central bank unload bonds sell private bankers would fullness time collect interest irish taxpayers anyone benefit ought bankers hedge funds never citizens
42,Yanis Varoufakis,no,Left,"Put differently, the state was not only allowing the bankers to remain in control of the banks they bankrupted, but it was also committing itself to passing on whatever benefit there was from an increase in bank share prices to the bankers. Heads the state lost, tails the bankers won. Simple!",35609.0,0.0,1.0,put differently state allowing bankers remain control banks bankrupted also committing passing whatever benefit increase bank share prices bankers heads state lost tails bankers simple
43,Yanis Varoufakis,no,Left,"By allowing for new shares to be issued at prices well below those that the Greek state had paid (during the injection of almost 40 billion euros into the banks), and at once banning the state from buying into these shares, the state’s shares lost value and its equity in the banks was diluted substantially. In short, the public was shortchanged, in ways not dissimilar to those that transpired in Ireland that very same week, when the Irish central bank was forced to unload the Irish government bonds it had received for its promissory notes. And what was the common thread between these fresh assaults on the Irish and the Greek people? Europe’s custodian of the euro, the defender of the monetary realm, the pursuer of Europe’s common interest: the European Central Bank.",35610.0,0.0,1.0,allowing new shares issued prices well greek state paid injection almost  billion euros banks banning state buying shares state shares lost value equity banks diluted substantially short public shortchanged ways dissimilar transpired ireland week irish central bank forced unload irish government bonds received promissory notes common thread fresh assaults irish greek people europe custodian euro defender monetary realm pursuer europe common interest european central bank
44,Yanis Varoufakis,no,Left,"To cut a long story short, a great deal of believing must occur before QE delivers on its promise to boost the real economy. But given the state of self-confirming pessimism that prevails in the depths of a severe crisis, to expect that these beliefs will flood into the different agents’ minds at once is to believe in miracles. More likely, as we witnessed in Japan and in America, where QE was tried out with a vengeance, banks tend to lend the monies conjured up by the central bank not to other banks or to Jack and Jill but to companies. Except that these companies do not invest the borrowed money in machinery and workers, fearful that the demand will not be there for extra output produced. No, what they do is to buy back their own shares in the stock market in order to increase their shares’ price and collect a nice bonus for having added value to the company. While this process does boost, to some extent, high-end house prices and the demand for luxuries, the only genuine beneficiary is gross inequality.",35611.0,0.0,1.0,cut long story short great deal believing must occur qe delivers promise boost real economy given state self confirming pessimism prevails depths severe crisis expect beliefs flood different agents minds believe miracles likely witnessed japan america qe tried vengeance banks tend lend monies conjured central bank banks jack jill companies except companies invest borrowed money machinery workers fearful demand extra output produced buy back shares stock market order increase shares price collect nice bonus added value company process boost extent high end house prices demand luxuries genuine beneficiary gross inequality
45,Yanis Varoufakis,no,Left,"When in 2008 the vast pyramids of financial capital came crashing down, Europe’s social democrats did not have the mental tools, or the moral values, with which to counter the bankers or to subject the collapsing system to critical scrutiny.",35612.0,0.0,1.0, vast pyramids financial capital came crashing europe social democrats mental tools moral values counter bankers subject collapsing system critical scrutiny
46,Yanis Varoufakis,no,Left,"The combination of two impossibilities leaves a huge question mark hanging in midair regarding Europe’s future. On the one hand, there is the impossibility of the eurozone continuing with its present terrible architecture, constantly spewing different versions of Greece’s tragedy. On the other hand, there is the impossibility of forming a unitary, centralized state with Berlin and Frankfurt at the center and Paris taking its impotence on the chin, accepting vassal status once and for all.",35613.0,0.0,1.0,combination two impossibilities leaves huge question mark hanging midair regarding europe future one hand impossibility eurozone continuing present terrible architecture constantly spewing different versions greece tragedy hand impossibility forming unitary centralized state berlin frankfurt center paris taking impotence chin accepting vassal status
47,Yanis Varoufakis,no,Left,But is there really no difference between a federation and an alliance of states or the Europe of nations? Of course there is. And it is the difference between democracy and despotism.,35614.0,0.0,1.0,really difference federation alliance states europe nations course difference democracy despotism
48,Yanis Varoufakis,no,Left,"Moreover, the Eurogroup, where all the important economic decisions are taken, is a body that does not even exist in European law, that operates on the basis that the strong do as they please while the weak suffer what they must, that keeps no minutes of its procedures and whose only rule is that its deliberations are confidential; that is, not to be shared with Europe’s citizenry. Put bluntly, it is a setup designed to preclude any sovereignty traceable back to the people of Europe.",35615.0,0.0,1.0,moreover eurogroup important economic decisions taken body even exist european law operates basis strong please weak suffer must keeps minutes procedures whose rule deliberations confidential shared europe citizenry put bluntly setup designed preclude sovereignty traceable back people europe
49,Yanis Varoufakis,no,Left,"In the mid-1990s, European bankers and their political friends realized that something big was going on in the Anglosphere and Europe ought either to embrace it or to reject it. Except that European officialdom lacks the political courage to do either and is bereft of the analytical capacity to take a stand on anything controversial. Their natural tendency is to fudge; to try to do both at once; to have their cake and eat it. So Brussels did nothing. Instead of regulating Europe’s banks, to stop them from loading up on the toxic paper that they were buying in droves, they whistled in the wind.",35616.0,0.0,1.0,mid s european bankers political friends realized something big going anglosphere europe ought either embrace reject except european officialdom lacks political courage either bereft analytical capacity take stand anything controversial natural tendency fudge try cake eat brussels nothing instead regulating europe banks stop loading toxic paper buying droves whistled wind
50,Yanis Varoufakis,no,Left,"In brief, it is now clear that Europe’s religious dedication to rules is nothing but a veil under which the strong make up the rules as they go along to suit their own political agenda. Perhaps that would be fine if the said agenda was not quick-marching Europe and the global economy into an economic, political and moral morass.",35617.0,0.0,1.0,brief clear europe religious dedication rules nothing veil strong make rules go along suit political agenda perhaps would fine said agenda quick marching europe global economy economic political moral morass
51,Yanis Varoufakis,no,Left,"Europe has twice already in the past hundred years dragged the planet down into appalling quagmires. It can do so again. Europe (as the New Dealers understood in the 1940s) is too important to leave to us Europeans. The whole world has a stake in a victory for rationality, liberty, democracy and humanism in the birthplace of those ideas.",35618.0,0.0,1.0,europe twice already past hundred years dragged planet appalling quagmires europe new dealers understood s important leave us europeans whole world stake victory rationality liberty democracy humanism birthplace ideas
52,Yanis Varoufakis,no,Left,"When Gandhi was asked what he thought of Western civilization, he famously replied that it would be a very good idea.",35619.0,0.0,1.0,gandhi asked thought western civilization famously replied would good idea
53,Yanis Varoufakis,no,Left,Years of crisis have culminated in a Europe that has lost legitimacy with its own citizens and credibility with the rest of the world.,35760.0,0.0,1.0,years crisis culminated europe lost legitimacy citizens credibility rest world
54,Yanis Varoufakis,no,Left,"But unlike Nevada, Ireland had to fend for itself when it came to propping up its banks and paying its unemployment benefits. Lacking a printing press, it had to go cap in hand to the money markets to borrow huge quantities of money that, in Nevada’s case, had been paid for at the federal level.",35761.0,0.0,1.0,unlike nevada ireland fend came propping banks paying unemployment benefits lacking printing press go cap hand money markets borrow huge quantities money nevada case paid federal level
55,Yanis Varoufakis,no,Left,"Fixing exchange rates between disparate economic regions always brings benefits in the short term. But it resembles past invasions of Russia: a brisk beginning full of enthusiasm and hope, rapid progress that seems unstoppable, followed by a heart-wrenching slowdown as a Cruel Winter takes its toll, ending up with blood on the snow and ceaseless retributions thereafter.",35762.0,0.0,1.0,fixing exchange rates disparate economic regions always brings benefits short term resembles past invasions russia brisk beginning full enthusiasm hope rapid progress seems unstoppable followed heart wrenching slowdown cruel winter takes toll ending blood snow ceaseless retributions thereafter
56,Yanis Varoufakis,no,Left,"In effect, the eurozone’s central bank, whose Maastricht-era charter bans it from lending to member-state governments or to insolvent banks, was lending indirectly to the government of each deficit nation the money insolvent banks required to pretend they were not insolvent. The banks thus pretended to be solvent, the deficit states pretended they had the money to guarantee that the banks were solvent, and the ECB stood by pretending that these sad pairs of insolvent banks and insolvent states were perfectly solvent and, thus, eligible, under the ECB’s charter, for ECB liquidity.",35763.0,0.0,1.0,effect eurozone central bank whose maastricht era charter bans lending member state governments insolvent banks lending indirectly government deficit nation money insolvent banks required pretend insolvent banks thus pretended solvent deficit states pretended money guarantee banks solvent ecb stood pretending sad pairs insolvent banks insolvent states perfectly solvent thus eligible ecb charter ecb liquidity
57,Yanis Varoufakis,no,Left,"The reason Greece became the first eurozone country to go manifestly bankrupt was simple enough. From the moment it looked likely that the drachma was history and Greece’s place in the euro was safe, bankers like Franz went into a frenzy of lending for the reason he explained to me so eloquently as we were flying to New York.",35764.0,0.0,1.0,reason greece became first eurozone country go manifestly bankrupt simple enough moment looked likely drachma history greece place euro safe bankers like franz went frenzy lending reason explained eloquently flying new york
58,Yanis Varoufakis,no,Left,A dark continent that once produced so much light now exports bleakness and recession to the rest of the world.,35765.0,0.0,1.0,dark continent produced much light exports bleakness recession rest world
59,Yanis Varoufakis,no,Left,"This strategy, which was then used as the template for the rest of the European periphery, turning the majority of European states into what I jokingly refer to as Bailoutistan, was always going to backfire on the European economy. Tim Geithner and Jack Lew, his successor in the US Treasury Department, understood this well. They shared the concern that what started in Greece in 2010, with the combination of an absurd bailout and a hideous level of austerity, has put Europe into a position that undermines America’s recovery and threatens the prospects of China, Latin America, even India and Africa.",35766.0,0.0,1.0,strategy used template rest european periphery turning majority european states jokingly refer bailoutistan always going backfire european economy tim geithner jack lew successor us treasury department understood well shared concern started greece  combination absurd bailout hideous level austerity put europe position undermines america recovery threatens prospects china latin america even india africa
60,Yanis Varoufakis,no,Left,"There are few occasions in any argument where one side is completely right and the other comprehensively wrong. This is one of them. Jack Lew’s Treasury was spot on and the German response utterly ludicrous. The US Treasury Department’s underlying analysis was founded on basic macroeconomics that Berlin, and the Eurogroup (as I have personally witnessed), refuses to acknowledge.",35767.0,0.0,1.0,occasions argument one side completely right comprehensively wrong one jack lew treasury spot german response utterly ludicrous us treasury department underlying analysis founded basic macroeconomics berlin eurogroup personally witnessed refuses acknowledge
61,Yanis Varoufakis,no,Left,"capital also instils illusions in our minds – above all, the illusion that, in serving it, we become worthy, exceptional, potent. We take pride in our relationship with it (either as financiers who ‘create’ millions in a single day, or as employers on whom a multitude of working families depend, or as labourers who enjoy privileged access to gleaming machinery or to puny services denied to illegal migrants), turning a blind eye to the tragic fact that it is capital which, in effect, owns us all, and that it is we who serve it.",35771.0,0.0,1.0,capital also instils illusions minds illusion serving become worthy exceptional potent take pride relationship either financiers create millions single day employers multitude working families depend labourers enjoy privileged access gleaming machinery puny services denied illegal migrants turning blind eye tragic fact capital effect owns us serve
62,Yanis Varoufakis,no,Left,"By year’s end, on 31 December, the New York stock exchange has lost more than 31 per cent of its total value since 1 January 2008.",35772.0,0.0,1.0,year end  december new york stock exchange lost  per cent total value since  january 
