,Author,Quotes,Political Orientation,auto,texicity,rep
647,Thomas Sowell,While greed is one of the most popular,Conservative,0,greed one popular,1
648,Thomas Sowell,"The history of which peoples, nations, or civilizations have conquered or enslaved which other peoples, nations, or civilizations has been largely a history of who has been in a position to do so.",Conservative,0,history peoples nations civilizations conquered enslaved peoples nations civilizations largely history position,1
649,Thomas Sowell,No one chooses which culture to be born into or can be blamed for how that culture evolved in past centuries.,Conservative,0,one chooses culture born blamed culture evolved past centuries,1
650,Thomas Sowell,"Have you gone crazy, Lefty? No. On the contrary, I have become educated. Sometimes that’s worse, these days.",Conservative,0,gone crazy lefty contrary become educated sometimes worse days,1
651,Thomas Sowell,"The really painful surprise is that so many people based their hopes on his words, rather than on the record of his deeds. What that means is that, even if we somehow manage to survive this man’s reckless economic policies at home and his potentially fatal foreign policy actions and inactions, the gullibility and fecklessness of those voters who put him in the White House will still be there to be exploited by the next master of glib demagoguery and emotional images, who can lead us into another vortex of dangers, from which there is no guarantee that we will emerge as a free people or even as a viable society.",Conservative,0,really painful surprise many people based hopes words rather record deeds means even somehow manage survive man reckless economic policies home potentially fatal foreign policy actions inactions gullibility fecklessness voters put white house still exploited next master glib demagoguery emotional images lead us another vortex dangers guarantee emerge free people even viable society,1
652,Thomas Sowell,"Electric cars may be fun at amusement parks, where they don’t have to go very far or very fast. But if the consuming public wanted electric cars for regular use, Detroit would be manufacturing them by the millions. Only people infatuated with their own wonderful specialness would think that their job is to coerce both the manufacturers and the consuming public into something that neither of them wants.",Conservative,0,electric cars may fun amusement parks go far fast consuming public wanted electric cars regular use detroit would manufacturing millions people infatuated wonderful specialness would think job coerce manufacturers consuming public something neither wants,1
653,Thomas Sowell,"Nowhere in the world do you find this evenness that people use as a norm. And I find it fascinating that they will hold up as a norm something that has never been seen on this planet, and regard as an anomaly something that is seen in country after country.",Conservative,0,nowhere world find evenness people use norm find fascinating hold norm something never seen planet regard anomaly something seen country country,1
654,Thomas Sowell,"Price controls almost invariably produce black markets, where prices are not only higher than the legally permitted prices, but also higher than they would be in a free market, since the legal risks must also be compensated. While small-scale black markets may function in secrecy, large-scale black markets usually require bribes to officials to look the other way.",Conservative,0,price controls almost invariably produce black markets prices higher legally permitted prices also higher would free market since legal risks must also compensated small scale black markets may function secrecy large scale black markets usually require bribes officials look way,1
655,Thomas Sowell,". . ideology. . . is an instrument of power; a defense mechanism against information; a pretext for eluding moral constraints in doing or approving evil with a clean conscience; and finally, a way of banning the criterion of experience, that is, of completely eliminating or indefinitely postponing the pragmatic criteria of success and failure.",Conservative,0,ideology instrument power defense mechanism information pretext eluding moral constraints approving evil clean conscience finally way banning criterion experience completely eliminating indefinitely postponing pragmatic criteria success failure,1
656,Thomas Sowell,"Failure is part of the natural cycle of business. Companies are born, companies die, capitalism moves forward. Fortunemagazine{115}",Conservative,0,failure part natural cycle business companies born companies die capitalism moves forward fortunemagazine ,1
657,Thomas Sowell,The term liberal originally referred politically to those who wanted to liberate people,Conservative,0,term liberal originally referred politically wanted liberate people,1
658,Thomas Sowell,"As a young Marxist in college during the 1950s heyday of the anti-Communist crusade led by Senator Joseph McCarthy, I had more freedom to express my views in class, without fear of retaliation, than conservative students have on many campuses today.",Conservative,0,young marxist college s heyday anti communist crusade led senator joseph mccarthy freedom express views class without fear retaliation conservative students many campuses today,1
659,Thomas Sowell,"Many have blamed the gasoline shortages and long lines at filling stations in 1973 on the Arab Oil embargo of that year. However, the shortages and long lines began months before the Arab oil embargo, right after price controls were imposed.",Conservative,0,many blamed gasoline shortages long lines filling stations  arab oil embargo year however shortages long lines began months arab oil embargo right price controls imposed,1
660,Thomas Sowell,"Misconceptions of business are almost inevitable in a society where most people have neither studied nor run businesses. In a society where most people are employees and consumers, it is easy to think of businesses as them – as impersonal organizations, whose internal operations are largely unknown and whose sums of money may sometimes be so huge as to be unfathomable.",Conservative,0,misconceptions business almost inevitable society people neither studied run businesses society people employees consumers easy think businesses impersonal organizations whose internal operations largely unknown whose sums money may sometimes huge unfathomable,1
661,Thomas Sowell,"What is called planning in political rhetoric is the government’s suppression of other people’s plans by superimposing on them a collective plan, created by third parties, armed with the power of government and exempted from paying the costs that these collective plans impose on others.",Conservative,0,called planning political rhetoric government suppression people plans superimposing collective plan created third parties armed power government exempted paying costs collective plans impose others,1
662,Thomas Sowell,…the very commonness of common sense makes it unlikely to have any appeal to the anointed. How can they be wiser and nobler than everyone else while agreeing with everyone else?,Conservative,0,commonness common sense makes unlikely appeal anointed wiser nobler everyone else agreeing everyone else,1
663,Thomas Sowell,"Despite widespread misconceptions in the United States today that the institution of slavery was based on race, for most of the thousands of years in which slavery existed around the world, it was based on whoever was vulnerable to enslavement and within striking distance. Thus Europeans enslaved other Europeans, just as Asians enslaved other Asians and Africans enslaved other Africans, while Polynesians enslaved other Polynesians and the indigenous peoples of the Western Hemisphere enslaved other indigenous peoples of the Western Hemisphere. The very word slave derived from the word for Slavs, who were enslaved by fellow Europeans for centuries before Africans began to be brought in chains to the Western Hemisphere. Africans were not singled out by a race for ownership by Europeans, they were resorted to after the rise of nation-states with armies and navies in other parts of the world which reduced the number of places that could be raided for slaves without great costs and risks. Slave-raiding continued in Africa, primarily by Africans enslaving other Africans and then, in West Africa, selling some of their slaves to whites to take to the Western Hemisphere. Meanwhile, the growing range of ships and the growing wealth of nations eventually made economically feasible the transportation of vast numbers of slaves from one continent to another, creating racial differences between the enslaved and their owners as a dominant pattern in the Western Hemisphere. Such a pattern was by no means limited to Europeans owning non-Europeans, however. There were many examples of the reverse, quite aside from vast regions of the earth where neither the slaves nor their owners were either black or white.",Conservative,0,despite widespread misconceptions united states today institution slavery based race thousands years slavery existed around world based whoever vulnerable enslavement within striking distance thus europeans enslaved europeans asians enslaved asians africans enslaved africans polynesians enslaved polynesians indigenous peoples western hemisphere enslaved indigenous peoples western hemisphere word slave derived word slavs enslaved fellow europeans centuries africans began brought chains western hemisphere africans singled race ownership europeans resorted rise nation states armies navies parts world reduced number places could raided slaves without great costs risks slave raiding continued africa primarily africans enslaving africans west africa selling slaves whites take western hemisphere meanwhile growing range ships growing wealth nations eventually made economically feasible transportation vast numbers slaves one continent another creating racial differences enslaved owners dominant pattern western hemisphere pattern means limited europeans owning non europeans however many examples reverse quite aside vast regions earth neither slaves owners either black white,1
664,Thomas Sowell,Suppose you are wrong? How would you know? How would you test for that possibility?,Conservative,0,suppose wrong would know would test possibility,1
665,Thomas Sowell,People who want special taxes or subsidies for particular things seem not to understand that what they are really asking for is for the prices to misstate the relative scarcities of things and the relative values that the users of these things put on them. One,Conservative,0,people want special taxes subsidies particular things seem understand really asking prices misstate relative scarcities things relative values users things put one,1
666,Thomas Sowell,It is usually futile to try to talk facts and analysis to people who are enjoying a sense of moral superiority in their ignorance.,Conservative,0,usually futile try talk facts analysis people enjoying sense moral superiority ignorance,1
667,Thomas Sowell,"The media are less a window on reality, than a stage on which officials and journalists perform self-scripted, self-serving fictions.",Conservative,0,media less window reality stage officials journalists perform self scripted self serving fictions,1
668,Thomas Sowell,"Should a professor of accounting or chemistry be fired for using up class time to sound off about homelessness or the war in Iraq? Yes! There is no high moral principle that prevents it. What prevents it are tenure rules that have saddled so many colleges with so many self-indulgent prima donnas who seem to think that they are philosopher kings, when in fact they are often grossly ignorant or misinformed outside the narrow confines of their particular specialty.",Conservative,0,professor accounting chemistry fired using class time sound homelessness war iraq yes high moral principle prevents prevents tenure rules saddled many colleges many self indulgent prima donnas seem think philosopher kings fact often grossly ignorant misinformed outside narrow confines particular specialty,1
669,Thomas Sowell,"One of the many signs of verbal virtuosity among intellectuals is the repackaging of words to mean things that are not only different from, but sometimes the direct opposite of, their original meanings. 'Freedom' and 'power' are among the most common of these repackaged words. The basic concept of freedom as not being subjected to other people's restrictions, and of power as the ability to restrict other people's options have both been stood on their heads in some of the repackaging of these words by intellectuals discussing economic issues. Thus business enterprises who expand the public's options, either quantitatively (through lower prices) or qualitatively (through better products) are often spoken of as 'controlling' the market, whenever this results in a high percentage of consumers choosing to purchase their particular products rather than the competing products of other enterprises.In other words, when consumers decide that particular brands of products are either cheaper or better than competing brands of those products, third parties take it upon themselves to depict those who produced these particular brands as having exercised 'power' or 'control.' If, at a given time, three-quarters of the consumers prefer to buy the Acme brand of widgets to any other brand, then Acme Inc. will be said to 'control' three-quarters of the market, even though consumers control 100 percent of the market, since they can switch to another brand of widgets tomorrow if someone else comes up with a better widget, or stop buying widgets altogether if a new product comes along that makes widgets obsolete. ....by saying that businesses have 'power' because they have 'control' of their markets, this verbal virtuosity opens the way to saying that government needs to exercise its 'countervailing power' (John Kenneth Galbraith's phrase) in order to protect the public. Despite the verbal parallels, government power is in fact power, since individuals do not have a free choice as to whether or not to obey government laws and regulations, while consumers are free to ignore the products marketed by even the biggest and supposedly most 'powerful' corporations in the world.",Conservative,0,one many signs verbal virtuosity among intellectuals repackaging words mean things different sometimes direct opposite original meanings freedom power among common repackaged words basic concept freedom subjected people restrictions power ability restrict people options stood heads repackaging words intellectuals discussing economic issues thus business enterprises expand public options either quantitatively lower prices qualitatively better products often spoken controlling market whenever results high percentage consumers choosing purchase particular products rather competing products enterprises words consumers decide particular brands products either cheaper better competing brands products third parties take upon depict produced particular brands exercised power control given time three quarters consumers prefer buy acme brand widgets brand acme inc said control three quarters market even though consumers control  percent market since switch another brand widgets tomorrow someone else comes better widget stop buying widgets altogether new product comes along makes widgets obsolete saying businesses power control markets verbal virtuosity opens way saying government needs exercise countervailing power john kenneth galbraith phrase order protect public despite verbal parallels government power fact power since individuals free choice whether obey government laws regulations consumers free ignore products marketed even biggest supposedly powerful corporations world,1
670,Thomas Sowell,Minimum wage laws appear to give low-income workers something for nothing,Conservative,0,minimum wage laws appear give low income workers something nothing,1
671,Thomas Sowell,"President Obama keeps telling us that he is creating jobs. But more and more Americans have no jobs. The unemployment rate has declined slightly, but only because many people have stopped looking for jobs. You are only counted as unemployed if you are still looking for a job.",Conservative,0,president obama keeps telling us creating jobs americans jobs unemployment rate declined slightly many people stopped looking jobs counted unemployed still looking job,1
672,Thomas Sowell,Free-loading at emergency rooms,Conservative,0,free loading emergency rooms,1
673,Thomas Sowell,"It would be very heard, for example, a basketball owner, no matter how racist he was, to try to operate without Blacks. It would be suicidal.",Conservative,0,would heard example basketball owner matter racist try operate without blacks would suicidal,1
674,Thomas Sowell,"In short, numbers are accepted as evidence when they agree with preconceptions, but not when they don’t.",Conservative,0,short numbers accepted evidence agree preconceptions,1
675,Thomas Sowell,"isolation is a recurring factor in poverty and backwardness around the world, whether that is physical isolation or cultural isolation, for any number of particular reasons",Conservative,0,isolation recurring factor poverty backwardness around world whether physical isolation cultural isolation number particular reasons,1
676,Thomas Sowell,teachers who pander to minority students by turning their courses into rap sessions and ethnic navel-gazing exercises capture their interest and allegiance.,Conservative,0,teachers pander minority students turning courses rap sessions ethnic navel gazing exercises capture interest allegiance,1
677,Thomas Sowell,"Nothing is easier than to get peaceful people to renounce violence, even when they provide no concrete ways to prevent violence from others.",Conservative,0,nothing easier get peaceful people renounce violence even provide concrete ways prevent violence others,1
678,Thomas Sowell,"Gun control zealots compare the United States and England to show that murder rates are lower where restrictions on ownership of firearms are more severe. But you could just as easily compare Switzerland and Germany, the Swiss having lower murder rates than the Germans, even though gun ownership is three times higher in Switzerland. Other countries with high rates of gun ownership and low murder rates include Israel, New Zealand, and Finland.",Conservative,0,gun control zealots compare united states england show murder rates lower restrictions ownership firearms severe could easily compare switzerland germany swiss lower murder rates germans even though gun ownership three times higher switzerland countries high rates gun ownership low murder rates include israel new zealand finland,1
679,Thomas Sowell,"Today, there are more people of Irish ancestry in the United States than in Ireland, more Jews than in Israel, more blacks than in most African countries. There are more people of Polish ancestry in Detroit than in most of the leading cities in Poland, and more than twice as many people of Italian ancestry in New York as in Venice.",Conservative,0,today people irish ancestry united states ireland jews israel blacks african countries people polish ancestry detroit leading cities poland twice many people italian ancestry new york venice,1
680,Thomas Sowell,People who have time on their hands will inevitably waste the time of people who have work to do.,Conservative,0,people time hands inevitably waste time people work,1
681,Thomas Sowell,No-one is equal to anything. Even the same man is not equal to himself on different days.,Conservative,0,one equal anything even man equal different days,1
682,Thomas Sowell,Many on the political left are so entranced by the beauty of their vision that they cannot see the ugly reality they are creating in the real world.,Conservative,0,many political left entranced beauty vision cannot see ugly reality creating real world,1
683,Thomas Sowell,"Just as ancient tyrants gave the people bread and circuses, in exchanged for their loyalty, so visions can acquire a tyrannical sway over people’s minds by offering them an exalted sense of themselves in exchange for their loyalty to the vision through all the vicissitudes of facts to the contrary. This self-exaltation can take on many forms on many issues.Whether the particular issue is crime, automobile safety, income statistics, military defense, or overpopulation theories, the one consistency among them is that the conclusions reached exalt those who share the vision over the great unwashed who do not.",Conservative,0,ancient tyrants gave people bread circuses exchanged loyalty visions acquire tyrannical sway people minds offering exalted sense exchange loyalty vision vicissitudes facts contrary self exaltation take many forms many issues whether particular issue crime automobile safety income statistics military defense overpopulation theories one consistency among conclusions reached exalt share vision great unwashed,1
684,Thomas Sowell,Looking at old photographs makes it hard for me to believe that I was ever that thin physically. And remembering some of the things I did in those days makes it hard to believe that I was ever that thin mentally.,Conservative,0,looking old photographs makes hard believe ever thin physically remembering things days makes hard believe ever thin mentally,1
685,Thomas Sowell,"There have always been ignorant people, but they haven't always had college degrees to make them unaware of their ignorance. Some people imagine that they are well informed because they have memorized a whole galaxy of trendy dogmas and fashionable attitudes.",Conservative,0,always ignorant people always college degrees make unaware ignorance people imagine well informed memorized whole galaxy trendy dogmas fashionable attitudes,1
686,Thomas Sowell,"To be sensitive, as ideologically defined, requires that one not merely accept but affirm other people’s way of life or even celebrate diversity in general. Like other demands for sensitivity, this demand offers no reason",Conservative,0,sensitive ideologically defined requires one merely accept affirm people way life even celebrate diversity general like demands sensitivity demand offers reason,1
687,Thomas Sowell,"The results show how unreliable peer consensus can be, even when it is a peer consensus of highly intellectual people, if those people share a very similar vision of the world and treat its conclusions as axioms, rather than as hypotheses that need to be checked against facts.",Conservative,0,results show unreliable peer consensus even peer consensus highly intellectual people people share similar vision world treat conclusions axioms rather hypotheses need checked facts,1
688,Thomas Sowell,"1:THE CRISIS: Although Chief Judge Bazelon said in 1960 that we desperately need all the help we can get from modern behavioral scientists69 in dealing with the criminal law, the cold facts suggest no such desperation or crisis. Since the most reliable long-term crime data are on murder, what was the murder rate at that point? The number of murders committed in the United States in 1960 was less than in 1950, 1940, or 1930",Conservative,0, crisis although chief judge bazelon said  desperately need help get modern behavioral scientists dealing criminal law cold facts suggest desperation crisis since reliable long term crime data murder murder rate point number murders committed united states  less   ,1
689,Thomas Sowell,"While the Obama administration in Washington is not the root cause of the ominous dangers that face this country, at home and abroad, it is the embodiment, the personification and the culmination of dangerous trends that began decades ago. Moreover, it has escalated those dangers to what may be a point of no return. The specifics of the missteps and the misdeeds of this administration are among the things chronicled, here and there, in the essays that follow, which were first published as my syndicated newspaper columns.",Conservative,0,obama administration washington root cause ominous dangers face country home abroad embodiment personification culmination dangerous trends began decades ago moreover escalated dangers may point return specifics missteps misdeeds administration among things chronicled essays follow first published syndicated newspaper columns,1
690,Thomas Sowell,"The monumental tragedies of the 20th century -- a world-wide Great Depression, two devastating World Wars, the Holocaust, famines killing millions in the Soviet Union and tens of millions in China -- should leave us with a sobering sense of the threats to any society. But this generation's ignorance of history leaves them free to be frivolous -- until the next catastrophe strikes, and catches them completely by surprise.",Conservative,0,monumental tragedies th century world wide great depression two devastating world wars holocaust famines killing millions soviet union tens millions china leave us sobering sense threats society generation ignorance history leaves free frivolous next catastrophe strikes catches completely surprise,1
691,Thomas Sowell,"In an age of artificial intelligence, too many of our schools and colleges are producing artificial stupidity.",Conservative,0,age artificial intelligence many schools colleges producing artificial stupidity,1
692,Thomas Sowell,"The fundamental confusion that makes income bracket data and individual income data seem mutually contradictory is the implicit assumption that people in particular income brackets at a given time are an enduring class at that level. If that were true, then trends over time in comparisons between income brackets would be the same as trends over time between individuals. Because that is not the case, the two sets of statistics lead not only to different conclusions but even opposite conclusions.",Conservative,0,fundamental confusion makes income bracket data individual income data seem mutually contradictory implicit assumption people particular income brackets given time enduring class level true trends time comparisons income brackets would trends time individuals case two sets statistics lead different conclusions even opposite conclusions,1
693,Thomas Sowell,"Guns are completely inappropriate for the kind of sheep-like people the anointed envision or the orderly, prepackaged world in which they are to live. When you are in mortal danger, you are supposed to dial 911, so that the police can arrive on the scene some time later, identify your body, and file reports in triplicate.",Conservative,0,guns completely inappropriate kind sheep like people anointed envision orderly prepackaged world live mortal danger supposed dial  police arrive scene time later identify body file reports triplicate,1
694,Thomas Sowell,Only in the light of this agenda does it make sense that so-called sex education should be advocated to take place throughout the school years,Conservative,0,light agenda make sense called sex education advocated take place throughout school years,1
695,Thomas Sowell,"If you are serious about education, then you need to start a lot earlier than fifteen years old to give each child a decent shot at life in the real world, as distinguished from make-believe equality while in school. Ability grouping or tracking",Conservative,0,serious education need start lot earlier fifteen years old give child decent shot life real world distinguished make believe equality school ability grouping tracking,1
696,Thomas Sowell,"There are many who find a good alibi far more attractive than an achievement. For an achievement does not settle anything permanently. We still have to prove our worth anew each day: we have to prove that we are as good today as we were yesterday. But when we have a valid alibi for not achieving anything we are fixed, so to speak, for life.288",Conservative,0,many find good alibi far attractive achievement achievement settle anything permanently still prove worth anew day prove good today yesterday valid alibi achieving anything fixed speak life ,1
697,Thomas Sowell,"Although Adam Smith is today often regarded as a conservative figure, he in fact attacked some of the dominant ideas and interests of his own times. Moreover, the idea of a spontaneously self-equilibrating system",Conservative,0,although adam smith today often regarded conservative figure fact attacked dominant ideas interests times moreover idea spontaneously self equilibrating system,1
698,Thomas Sowell,"Perhaps the most important thing about risk is its inescapability. Particular individuals, groups, or institutions may be sheltered from risk - but only at the cost of having someone else bear that risk. For a society as a whole, there is no someone else.",Conservative,0,perhaps important thing risk inescapability particular individuals groups institutions may sheltered risk cost someone else bear risk society whole someone else,1
699,Thomas Sowell,prices are not costs. Prices are what pay for costs.,Conservative,0,prices costs prices pay costs,1
700,Thomas Sowell,"Differences in habits and attitudes are differences in human capital, just as much as differences in knowledge and skills",Conservative,0,differences habits attitudes differences human capital much differences knowledge skills,1
701,Thomas Sowell,External explanations of black-white differences,Conservative,0,external explanations black white differences,1
702,Thomas Sowell,"Lamenting the vagaries of fate may leave us with a galling sense of helpless frustration, which many escape by transforming the tragedy of the human condition into the specific sins of specific societies. This turns an insoluble problem of cosmic justice into an apparently manageable issue of social justice. Since the sins of human beings are virtually inexhaustible, there is seldom a lack of examples of wrongdoing to which intergroup differences can be attributed, rightly or wrongly. Where the quest for injustice is over-riding, among the things it over-rides are logic and evidence.",Conservative,0,lamenting vagaries fate may leave us galling sense helpless frustration many escape transforming tragedy human condition specific sins specific societies turns insoluble problem cosmic justice apparently manageable issue social justice since sins human beings virtually inexhaustible seldom lack examples wrongdoing intergroup differences attributed rightly wrongly quest injustice riding among things rides logic evidence,1
703,Thomas Sowell,"If we wanted to be serious about evidence, we might compare where blacks stood a hundred years after the end of slavery with where they stood after 30 years of the liberal welfare state. In other words, we could compare hard evidence on the legacy of slavery with hard evidence on the legacy of liberals.Despite the grand myth that black economic progress began or accelerated with the passage of the civil rights laws and war on poverty programs of the 1960s, the cold fact is that the poverty rate among blacks fell from 87 percent in 1940 to 47 percent by 1960. This was before any of those programs began.Over the next 20 years, the poverty rate among blacks fell another 18 percentage points, compared to the 40-point drop in the previous 20 years. This was the continuation of a previous economic trend, at a slower rate of progress, not the economic grand deliverance proclaimed by liberals and self-serving black leaders.Nearly a hundred years of the supposed legacy of slavery found most black children [78%] being raised in two-parent families in 1960. But thirty years after the liberal welfare state found the great majority of black children being raised by a single parent [66%]. Public housing projects in the first half of the 20th century were clean, safe places, where people slept outside on hot summer nights, when they were too poor to afford air conditioning. That was before admissions standards for public housing projects were lowered or abandoned, in the euphoria of liberal non-judgmental notions. And it was before the toxic message of victimhood was spread by liberals. We all know what hell holes public housing has become in our times. The same toxic message produced similar social results among lower-income people in England, despite an absence of a legacy of slavery there.If we are to go by evidence of social retrogression, liberals have wreaked more havoc on blacks than the supposed legacy of slavery they talk about.",Conservative,0,wanted serious evidence might compare blacks stood hundred years end slavery stood  years liberal welfare state words could compare hard evidence legacy slavery hard evidence legacy liberals despite grand myth black economic progress began accelerated passage civil rights laws war poverty programs s cold fact poverty rate among blacks fell  percent   percent  programs began next  years poverty rate among blacks fell another  percentage points compared  point drop previous  years continuation previous economic trend slower rate progress economic grand deliverance proclaimed liberals self serving black leaders nearly hundred years supposed legacy slavery found black children  raised two parent families  thirty years liberal welfare state found great majority black children raised single parent  public housing projects first half th century clean safe places people slept outside hot summer nights poor afford air conditioning admissions standards public housing projects lowered abandoned euphoria liberal non judgmental notions toxic message victimhood spread liberals know hell holes public housing become times toxic message produced similar social results among lower income people england despite absence legacy slavery go evidence social retrogression liberals wreaked havoc blacks supposed legacy slavery talk,1
704,Thomas Sowell,"As in the general society, fertility tends to be greatest where people are poorest: The rich get richer, and the poor have children. In",Conservative,0,general society fertility tends greatest people poorest rich get richer poor children,1
705,Thomas Sowell,"When people are presented with the alternatives of hating themselves for their failure or hating others for their success, they seldom choose to hate themselves.",Conservative,0,people presented alternatives hating failure hating others success seldom choose hate,1
706,Thomas Sowell,"The purpose of education is to give the student the intellectual tools to analyze, whether verbally or numerically, and to reach conclusions based on logic and evidence.",Conservative,0,purpose education give student intellectual tools analyze whether verbally numerically reach conclusions based logic evidence,1
707,Thomas Sowell,"Is diversity our strength? Or anybody’s strength, anywhere in the world? Does Japan’s homogeneous population cause the Japanese to suffer? Have the Balkans been blessed by their heterogeneity",Conservative,0,diversity strength anybody strength anywhere world japan homogeneous population cause japanese suffer balkans blessed heterogeneity,1
708,Thomas Sowell,The massive ethnic communities that make up the mosaic of American society cannot be adequately described as minorities. There is no majority.,Conservative,0,massive ethnic communities make mosaic american society cannot adequately described minorities majority,1
709,Thomas Sowell,"The cavemen had the same natural resources at their disposal as we have today, and the difference between their standard of living and ours is a difference between the knowledge they could bring to bear on those resources and the knowledge used today.",Conservative,0,cavemen natural resources disposal today difference standard living difference knowledge could bring bear resources knowledge used today,1
710,Thomas Sowell,"Freedom must be distinguished from democracy, with which it is often confused.",Conservative,0,freedom must distinguished democracy often confused,1
711,Thomas Sowell,Justice at all costs' is not justice.,Conservative,0,justice costs justice,1
712,Thomas Sowell,"The history of black workers in the United States illustrates the point. As already noted, from the late nineteenth-century on through the middle of the twentieth century, the labor force participation rate of American blacks was slightly higher than that of American whites. In other words, blacks were just as employable at the wages they received as whites were at their very different wages. The minimum wage law changed that. Before federal minimum wage laws were instituted in the 1930s, the black unemployment rate was slightly lower than the white unemployment rate in 1930. But then followed the Davis-Bacon Act of 1931, the National Industrial Recovery Act of 1933 and the Fair Labor Standards Act of 1938",Conservative,0,history black workers united states illustrates point already noted late nineteenth century middle twentieth century labor force participation rate american blacks slightly higher american whites words blacks employable wages received whites different wages minimum wage law changed federal minimum wage laws instituted s black unemployment rate slightly lower white unemployment rate  followed davis bacon act  national industrial recovery act  fair labor standards act ,1
713,Thomas Sowell,"White liberals, instead of comparing what has happened to the black family since the liberal welfare state policies of the 1960s were put into practice, compare black families to white families and conclude that the higher rates of broken homes and unwed motherhood among blacks are due to a legacy of slavery. But why the large-scale disintegration of the black family should have begun a hundred years after slavery is left unexplained. Whatever the situation of the black family relative to the white family, in the past or the present, it is clear that broken homes were far more common among blacks at the end of the twentieth century than they were in the middle of that century or at the beginning of that century",Conservative,0,white liberals instead comparing happened black family since liberal welfare state policies s put practice compare black families white families conclude higher rates broken homes unwed motherhood among blacks due legacy slavery large scale disintegration black family begun hundred years slavery left unexplained whatever situation black family relative white family past present clear broken homes far common among blacks end twentieth century middle century beginning century,1
714,Thomas Sowell,"We do not have a choice whether or not to discuss history. History has always been invoked in contemporary controversies.The only choice is between discussing what actually happened in the past and discussing notions projected into the past for present purposes. History is the memory of the human race. For an individual to wake up some morning with no memory would be devastating. In addition to the emotional trauma of suddenly finding everything and everybody unknown and unfathomable, there would be no way to carry out the practical necessities of work or managing a home, much less maintaining or establishing relations with other human beings. It would not be much better to wake up some morning with a false memory, induced in you by some means by some other person",Conservative,0,choice whether discuss history history always invoked contemporary controversies choice discussing actually happened past discussing notions projected past present purposes history memory human race individual wake morning memory would devastating addition emotional trauma suddenly finding everything everybody unknown unfathomable would way carry practical necessities work managing home much less maintaining establishing relations human beings would much better wake morning false memory induced means person,1
715,Thomas Sowell,"Epithets like fascist and imperialist stooge became common currency, along with unbridled expressions of tribal chauvinism.",Conservative,0,epithets like fascist imperialist stooge became common currency along unbridled expressions tribal chauvinism,1
716,Thomas Sowell,"Where beliefs are not checked against facts, but instead facts must meet the test of consonance with the prevailing vision, we are in the process of sealing ourselves off from feedback from reality.Heedless of the past, we are flying blind into the future.",Conservative,0,beliefs checked facts instead facts must meet test consonance prevailing vision process sealing feedback reality heedless past flying blind future,1
717,Thomas Sowell,"The prevalence and power of a vision is shown, not by what its evidence or logic can prove, but precisely by its exemption from any need to provide evidence or logic--by the number of things that can be successfully asserted because they fit the vision, without having to meet the test of fitting the facts.",Conservative,0,prevalence power vision shown evidence logic prove precisely exemption need provide evidence logic number things successfully asserted fit vision without meet test fitting facts,1
718,Thomas Sowell,"He talks about the way in which the American academy assigns an official group identity to students, eliminating the distinction between voluntary association and imposed group identity. For example, a Jewish student who is totally assimilated",Conservative,0,talks way american academy assigns official group identity students eliminating distinction voluntary association imposed group identity example jewish student totally assimilated,1
