,Author,Quotes,Political Orientation,auto,texicity
10,Jonathan Haidt,Our moral thinking is much more like a politician searching for votes than a scientist searching for truth.,Moderate,0,moral thinking much like politician searching votes scientist searching truth
11,Jonathan Haidt,"Understanding the simple fact that morality differs around the world, and even within societies, is the first step toward understanding your righteous mind.",Moderate,0,understanding simple fact morality differs around world even within societies first step toward understanding righteous mind
12,Jonathan Haidt,People who devote their lives to studying something often come to believe that the object of their fascination is the key to understanding everything.,Moderate,0,people devote lives studying something often come believe object fascination key understanding everything
14,Jonathan Haidt,"The omnivore's dilemma (a term coined by Paul Rozin) is that omnivores must seek out and explore new potential foods while remaining wary of them until they are proven safe. Omnivores therefore go through life with two competing motives: neophilia (an attraction to new things) and neophobia (a fear of new things). People vary in terms of which motive is stronger, and this variation will come back to help us in later chapters: Liberals score higher on measures of neophilia (also known as openness to experience), not just for new foods but also for new people, music, and ideas. Conservatives are higher on neophobia; they prefer to stick with what's tried and true, and they care a lot more about guarding borders, boundaries, and traditions.",Moderate,0,omnivore dilemma term coined paul rozin omnivores must seek explore new potential foods remaining wary proven safe omnivores therefore go life two competing motives neophilia attraction new things neophobia fear new things people vary terms motive stronger variation come back help us later chapters liberals score higher measures neophilia also known openness experience new foods also new people music ideas conservatives higher neophobia prefer stick tried true care lot guarding borders boundaries traditions
15,Jonathan Haidt,"There is nothing either good or bad, but thinking makes it so.",Moderate,0,nothing either good bad thinking makes
16,Jonathan Haidt,Groups create supernatural beings not to explain the universe but to order their societies.,Moderate,0,groups create supernatural beings explain universe order societies
17,Jonathan Haidt,"If you really want to change someone’s mind on a moral or political matter, you’ll need to see things from that person’s angle as well as your own. And if you do truly see it the other person’s way",Moderate,0,really want change someone mind moral political matter need see things person angle well truly see person way
18,Jonathan Haidt,The rider evolved to serve to the elephant.,Moderate,0,rider evolved serve elephant
20,Jonathan Haidt,"Work on your strengths, not your weaknesses. How many of your New Year’s resolutions have been about fixing a flaw? And how many of those resolutions have you made several years in a row? It’s difficult to change any aspect of your personality by sheer force of will, and if it is a weakness you choose to work on, you probably won’t enjoy the process. If you don’t find pleasure or reinforcement along the way, then",Moderate,0,work strengths weaknesses many new year resolutions fixing flaw many resolutions made several years row difficult change aspect personality sheer force weakness choose work probably enjoy process find pleasure reinforcement along way
21,Jonathan Haidt,"The word coherence literally means holding or sticking together, but it is usually used to refer to a system, an idea, or a worldview whose parts fit together in a consistent and efficient way. Coherent things work well: A coherent worldview can explain almost anything, while an incoherent worldview is hobbled by internal contradictions. …Whenever a system can be analyzed at multiple levels, a special kind of coherence occurs when the levels mesh and mutually interlock. We saw this cross-level coherence in the analysis of personality: If your lower-level traits match up with your coping mechanisms, which in turn are consistent with your life story, your personality is well integrated and you can get on with the business of living. When these levels do not cohere, you are likely to be torn by internal contradictions and neurotic conflicts. You might need adversity to knock yourself into alignment. And if you do achieve coherence, the moment when things come together may be one of the most profound of your life. … Finding coherence across levels feels like enlightenment, and it is crucial for answering the question of purpose within life.People are multilevel systems in another way: We are physical objects (bodies and brains) from which minds somehow emerge; and from our minds, somehow societies and cultures form. To understand ourselves fully we must study all three levels",Moderate,0,word coherence literally means holding sticking together usually used refer system idea worldview whose parts fit together consistent efficient way coherent things work well coherent worldview explain almost anything incoherent worldview hobbled internal contradictions whenever system analyzed multiple levels special kind coherence occurs levels mesh mutually interlock saw cross level coherence analysis personality lower level traits match coping mechanisms turn consistent life story personality well integrated get business living levels cohere likely torn internal contradictions neurotic conflicts might need adversity knock alignment achieve coherence moment things come together may one profound life finding coherence across levels feels like enlightenment crucial answering question purpose within life people multilevel systems another way physical objects bodies brains minds somehow emerge minds somehow societies cultures form understand fully must study three levels
23,Jonathan Haidt,...human beings are 90 percent chimp and 10 percent bee.,Moderate,0,human beings  percent chimp  percent bee
24,Jonathan Haidt,"Letting off steam makes people angrier, not calmer. Pennebaker discovered that it’s not about steam; it’s about sense making. The people in his studies who used their writing time to vent got no benefit. The people who showed deep insight into the causes and consequences of the event on their first day of writing got no benefit, either: They had already made sense of things. It was the people who made progress across the four days, who showed increasing insight; they were the ones whose health improved over the next year.",Moderate,0,letting steam makes people angrier calmer pennebaker discovered steam sense making people studies used writing time vent got benefit people showed deep insight causes consequences event first day writing got benefit either already made sense things people made progress across four days showed increasing insight ones whose health improved next year
25,Jonathan Haidt,"Everyone cares about fairness, but there are two major kinds. On the left, fairness often implies equality, but on the right it means proportionality",Moderate,0,everyone cares fairness two major kinds left fairness often implies equality right means proportionality
26,Jonathan Haidt,Reasoning can take you wherever you want to go.,Moderate,0,reasoning take wherever want go
27,Jonathan Haidt,"Moral matrices bind people together and blind them to the coherence, or even existence, of other matrices. This makes it very difficult for people to consider the possibility that there might really be more than one form of moral truth, or more than one valid framework for judging people or running a society.",Moderate,0,moral matrices bind people together blind coherence even existence matrices makes difficult people consider possibility might really one form moral truth one valid framework judging people running society
28,Jonathan Haidt,"Words of wisdom, the meaning of life,perhaps even the answer sought by Borges's librarians",Moderate,0,words wisdom meaning life perhaps even answer sought borges librarians
29,Jonathan Haidt,"I have striven not to laugh at human actions, not to weep at them, not to hate them, but to understand them.",Moderate,0,striven laugh human actions weep hate understand
30,Jonathan Haidt,"Do people believe in human rights because such rights actually exist, like mathematical truths, sitting on a cosmic shelf next to the Pythagorean theorem just waiting to be discovered by Platonic reasoners? Or do people feel revulsion and sympathy when they read accounts of torture, and then invent a story about universal rights to help justify their feelings?",Moderate,0,people believe human rights rights actually exist like mathematical truths sitting cosmic shelf next pythagorean theorem waiting discovered platonic reasoners people feel revulsion sympathy read accounts torture invent story universal rights help justify feelings
31,Jonathan Haidt,"Creating gods who can see everything, and who hate cheaters and oath breakers, turns out to be a good way to reduce cheating and oath breaking.",Moderate,0,creating gods see everything hate cheaters oath breakers turns good way reduce cheating oath breaking
32,Jonathan Haidt,"Societies that exclude the exoskeleton of religion should reflect carefully to what will happen to them over several generations. We don’t really know, because the first atheistic societies have only emerged in Europe in the last few decades. They are the least efficient societies ever known at turning resources (of which they have a lot) into offspring (of which they have few).",Moderate,0,societies exclude exoskeleton religion reflect carefully happen several generations really know first atheistic societies emerged europe last decades least efficient societies ever known turning resources lot offspring
33,Jonathan Haidt,"Finding fault with yourself is also the key to overcoming the hypocrisy and judgmentalism that damage so many valuable relationships. The instant you see some contribution you made to a conflict, your anger softens",Moderate,0,finding fault also key overcoming hypocrisy judgmentalism damage many valuable relationships instant see contribution made conflict anger softens
34,Jonathan Haidt,"If you want to change people's minds, you've got to talk to their elephants.",Moderate,0,want change people minds got talk elephants
35,Jonathan Haidt,"The mind is divided, like a rider on an elephant, and the rider's job is to serve the elephant.",Moderate,0,mind divided like rider elephant rider job serve elephant
36,Jonathan Haidt,"If you think that moral reasoning is something we do to figure out the truth, you’ll be constantly frustrated by how foolish, biased, and illogical people become when they disagree with you. But if you think about moral reasoning as a skill we humans evolved to further our social agendas",Moderate,0,think moral reasoning something figure truth constantly frustrated foolish biased illogical people become disagree think moral reasoning skill humans evolved social agendas
37,Jonathan Haidt,"An important dictum of cultural psychology is that each culture develops expertise in some aspects of human existence, but no culture can be expert in all aspects. The same goes for the two ends of the political spectrum. My research3 confirms the common perception that liberals are experts in thinking about issues of victimization, equality, autonomy, and the rights of individuals, particularly those of minorities and nonconformists. Conservatives, on the other hand, are experts in thinking about loyalty to the group, respect for authority and tradition, and sacredness.4 When one side overwhelms the other, the results are likely to be ugly. A society without liberals would be harsh and oppressive to many individuals. A society without conservatives would lose many of the social structures and constraints that Durkheim showed are so valuable. Anomie would increase along with freedom. A good place to look for wisdom, therefore, is where you least expect to find it: in the minds of your opponents. You already know the ideas common on your own side. If you can take off the blinders of the myth of pure evil, you might see some good ideas for the first time.",Moderate,0,important dictum cultural psychology culture develops expertise aspects human existence culture expert aspects goes two ends political spectrum research confirms common perception liberals experts thinking issues victimization equality autonomy rights individuals particularly minorities nonconformists conservatives hand experts thinking loyalty group respect authority tradition sacredness  one side overwhelms results likely ugly society without liberals would harsh oppressive many individuals society without conservatives would lose many social structures constraints durkheim showed valuable anomie would increase along freedom good place look wisdom therefore least expect find minds opponents already know ideas common side take blinders myth pure evil might see good ideas first time
38,Jonathan Haidt,"What we are today comes from our thoughts of yesterday, and our present thoughts build our life of tomorrow: our life is the creation of our mind.",Moderate,0,today comes thoughts yesterday present thoughts build life tomorrow life creation mind
39,Jonathan Haidt,"The social psychologist Tom Gilovich studies the cognitive mechanisms of strange beliefs. His simple formulation is that when we want to believe something, we ask ourselves, Can I believe it?28 Then (as Kuhn and Perkins found), we search for supporting evidence, and if we find even a single piece of pseudo-evidence, we can stop thinking. We now have permission to believe. We have a justification, in case anyone asks. In contrast, when we don’t want to believe something, we ask ourselves, Must I believe it? Then we search for contrary evidence, and if we find a single reason to doubt the claim, we can dismiss it.",Moderate,0,social psychologist tom gilovich studies cognitive mechanisms strange beliefs simple formulation want believe something ask believe  kuhn perkins found search supporting evidence find even single piece pseudo evidence stop thinking permission believe justification case anyone asks contrast want believe something ask must believe search contrary evidence find single reason doubt claim dismiss
40,Jonathan Haidt,conflicts in relationships,Moderate,0,conflicts relationships
41,Jonathan Haidt,"We’re not always selfish hypocrites. We also have the ability, under special circumstances, to shut down our petty selves and become like cells in a larger body, or like bees in a hive, working for the good of the group. These experiences are often among the most cherished of our lives, although our hivishness can blind us to other moral concerns. Our bee-like nature facilitates altruism, heroism, war, and genocide.",Moderate,0,always selfish hypocrites also ability special circumstances shut petty selves become like cells larger body like bees hive working good group experiences often among cherished lives although hivishness blind us moral concerns bee like nature facilitates altruism heroism war genocide
42,Jonathan Haidt,"The president is the high priest of what sociologist Robert Bellah calls the 'American civil religion.' The president must invoke the name of God (though not Jesus), glorify America's heroes and history,quote its sacred texts (the Declaration of Independence and the Constitution), and perform the transubstantiation of pluribus unum.",Moderate,0,president high priest sociologist robert bellah calls american civil religion president must invoke name god though jesus glorify america heroes history quote sacred texts declaration independence constitution perform transubstantiation pluribus unum
43,Jonathan Haidt,"If the only effect of these rampant esteem-inflating biases was to make people feel good about themselves, they would not be a problem. In fact, evidence shows that people who hold pervasive positive illusions about themselves, their abilities, and their future prospects are mentally healthier, happier, and better liked than people who lack such illusions.20 But such biases can make people feel that they deserve more than they do, thereby setting the stage for endless disputes with other people who feel equally over-entitled.",Moderate,0,effect rampant esteem inflating biases make people feel good would problem fact evidence shows people hold pervasive positive illusions abilities future prospects mentally healthier happier better liked people lack illusions  biases make people feel deserve thereby setting stage endless disputes people feel equally entitled
44,Jonathan Haidt,"You can see the rider serving the elephant when people are morally dumbfounded. They have strong gut feelings about what is right and wrong, and they struggle to construct post hoc justifications for those feelings. Even when the servant (reasoning) comes back empty-handed, the master (intuition) doesn't change his judgment.",Moderate,0,see rider serving elephant people morally dumbfounded strong gut feelings right wrong struggle construct post hoc justifications feelings even servant reasoning comes back empty handed master intuition change judgment
45,Jonathan Haidt,The emotion of disgust evolved initially to optimize responses to the omnivore's dilemma. Individuals who had a properly calibrated sense of disgust were able to consume more calories than their overly disgustable cousins while consuming fewer dangerous microbes than their insufficiently disgustable cousins.,Moderate,0,emotion disgust evolved initially optimize responses omnivore dilemma individuals properly calibrated sense disgust able consume calories overly disgustable cousins consuming fewer dangerous microbes insufficiently disgustable cousins
46,Jonathan Haidt,"With all foreign travel, you learn as much about where you're from as what you're visiting.",Moderate,0,foreign travel learn much visiting
47,Jonathan Haidt,"let’s imagine that 95 percent of the food on Earth magically disappears tonight, guaranteeing that almost all of us will starve to death within two months. Law and order collapse. Chaos and mayhem ensue. Who among us will still be alive a year from now? Will it be the biggest, strongest, and most violent individuals in each town? Or will it be the people who manage to work together in groups to monopolize, hide, and share the remaining food supplies among themselves?",Moderate,0,let imagine  percent food earth magically disappears tonight guaranteeing almost us starve death within two months law order collapse chaos mayhem ensue among us still alive year biggest strongest violent individuals town people manage work together groups monopolize hide share remaining food supplies among
48,Jonathan Haidt,"it would explain why extreme partisans are so stubborn, closed-minded, and committed to beliefs that often seem bizarre or paranoid. Like rats that cannot stop pressing a button, partisans may be simply unable to stop believing weird things. The partisan brain has been reinforced so many times for performing mental contortions that free it from unwanted beliefs. Extreme partisanship may be literally addictive.",Moderate,0,would explain extreme partisans stubborn closed minded committed beliefs often seem bizarre paranoid like rats cannot stop pressing button partisans may simply unable stop believing weird things partisan brain reinforced many times performing mental contortions free unwanted beliefs extreme partisanship may literally addictive
49,Jonathan Haidt,"The point of these studies is that moral judgment is like aesthetic judgment. When you see a painting, you usually know instantly and automatically whether you like it. If someone asks you to explain your judgment, you confabulate. You don’t really know why you think something is beautiful, but your interpreter module (the rider) is skilled at making up reasons, as Gazzaniga found in his split-brain studies. You search for a plausible reason for liking the painting, and you latch on to the first reason that makes sense (maybe something vague about color, or light, or the reflection of the painter in the clown’s shiny nose). Moral arguments are much the same: Two people feel strongly about an issue, their feelings come first, and their reasons are invented on the fly, to throw at each other. When you refute a person’s argument, does she generally change her mind and agree with you? Of course not, because the argument you defeated was not the cause of her position; it was made up after the judgment was already made.",Moderate,0,point studies moral judgment like aesthetic judgment see painting usually know instantly automatically whether like someone asks explain judgment confabulate really know think something beautiful interpreter module rider skilled making reasons gazzaniga found split brain studies search plausible reason liking painting latch first reason makes sense maybe something vague color light reflection painter clown shiny nose moral arguments much two people feel strongly issue feelings come first reasons invented fly throw refute person argument generally change mind agree course argument defeated cause position made judgment already made
50,Jonathan Haidt,"life is much like a movie we walk into well after its opening scene, and we will have to step out long before most of the story lines reach their conclusions. We are acutely aware that we need to know a great deal if we are to understand the few confusing minutes that we do watch. Of course, we don’t know exactly what it is that we don’t know, so we can’t frame the question well. We ask, What is the meaning of life?",Moderate,0,life much like movie walk well opening scene step long story lines reach conclusions acutely aware need know great deal understand confusing minutes watch course know exactly know frame question well ask meaning life
51,Jonathan Haidt,"It is easy to see the faults of others, but difficult to see one’s own faults. One shows the faults of others like chaff winnowed in the wind, but one conceals one’s own faults as a cunning gambler conceals his dice.5",Moderate,0,easy see faults others difficult see one faults one shows faults others like chaff winnowed wind one conceals one faults cunning gambler conceals dice 
52,Jonathan Haidt,"Religions are moral exoskeletons. If you live in a religious community, you are enmeshed in a set of norms, relationships, and institutions that work primarily on the elephant to influence your behavior. But if you are an atheist living in a looser community with a less binding moral matrix, you might have to rely somewhat more on an internal moral compass, read by the rider. That might sound appealing to rationalists, but it is also a recipe for anomie",Moderate,0,religions moral exoskeletons live religious community enmeshed set norms relationships institutions work primarily elephant influence behavior atheist living looser community less binding moral matrix might rely somewhat internal moral compass read rider might sound appealing rationalists also recipe anomie
53,Jonathan Haidt,"Does helping others really confer happiness or prosperity on the helper? I know of no evidence showing that altruists gain money from their altruism, but the evidence suggests that they often gain happiness. People who do volunteer work are happier and healthier than those who don’t; but, as always, we have to contend with the problem of reverse correlation: Congenitally happy people are just plain nicer to begin with,24 so their volunteer work may be a consequence of their happiness, not a cause. The happiness-as-cause hypothesis received direct support when the psychologist Alice Isen25 went around Philadelphia leaving dimes in pay phones. The people who used those phones and found the dimes were then more likely to help a person who dropped a stack of papers (carefully timed to coincide with the phone caller’s exit), compared with people who used phones that had empty coin-return slots. Isen has done more random acts of kindness than any other psychologist: She has distributed cookies, bags of candy, and packs of stationery; she has manipulated the outcome of video games (to let people win); and she has shown people happy pictures, always with the same finding: Happy people are kinder and more helpful than those in the control group.",Moderate,0,helping others really confer happiness prosperity helper know evidence showing altruists gain money altruism evidence suggests often gain happiness people volunteer work happier healthier always contend problem reverse correlation congenitally happy people plain nicer begin  volunteer work may consequence happiness cause happiness cause hypothesis received direct support psychologist alice isen went around philadelphia leaving dimes pay phones people used phones found dimes likely help person dropped stack papers carefully timed coincide phone caller exit compared people used phones empty coin return slots isen done random acts kindness psychologist distributed cookies bags candy packs stationery manipulated outcome video games let people win shown people happy pictures always finding happy people kinder helpful control group
54,Jonathan Haidt,Focusing on effective leadership without focusing on a willingness to follow is like studying clapping by studying only the left hand.,Moderate,0,focusing effective leadership without focusing willingness follow like studying clapping studying left hand
55,Jonathan Haidt,"With such a vast and wonderful library spread out before us, we often skim books or read just the reviews. We might already have encountered the Greatest Idea, the insight that would have transformed us had we savored it, taken it to heart, and worked it into our lives.",Moderate,0,vast wonderful library spread us often skim books read reviews might already encountered greatest idea insight would transformed us savored taken heart worked lives
56,Jonathan Haidt,"When bad things happen to good people, we have a problem. We know consciously that life is unfair, but unconsciously we see the world through the lens of reciprocity. The downfall of an evil man (in our biased and moralistic assessment) is no puzzle: He had it coming to him. But when the victim was virtuous, we struggle to make sense of his tragedy. At an intuitive level, we all believe in karma, the Hindu notion that people reap what they sow. The psychologist Mel Lerner has demonstrated that we are so motivated to believe that people get what they deserve and deserve what they get that we often blame the victim of a tragedy, particularly when we can’t achieve justice by punishing a perpetrator or compensating the victim.",Moderate,0,bad things happen good people problem know consciously life unfair unconsciously see world lens reciprocity downfall evil man biased moralistic assessment puzzle coming victim virtuous struggle make sense tragedy intuitive level believe karma hindu notion people reap sow psychologist mel lerner demonstrated motivated believe people get deserve deserve get often blame victim tragedy particularly achieve justice punishing perpetrator compensating victim
57,Jonathan Haidt,"So now you know where to shop. Stop trying to keep up with the Joneses. Stop wasting your money on conspicuous consumption. As a first step, work less, earn less, accumulate less, and consume more family time, vacations, and other enjoyable activities.",Moderate,0,know shop stop trying keep joneses stop wasting money conspicuous consumption first step work less earn less accumulate less consume family time vacations enjoyable activities
58,Jonathan Haidt,"Leo Tolstoy wrote: One can live magnificently in this world, if one knows how to work and how to love, to work for the person one loves and to love one’s work.19",Moderate,0,leo tolstoy wrote one live magnificently world one knows work love work person one loves love one work 
59,Jonathan Haidt,"When I was a teenager I wished for world peace, but now I yearn for a world in which competing ideologies are kept in balance, systems of accountability keep us all from getting away with too much, and fewer people believe that righteous ends justify violent means. Not a very romantic wish, but one that we might actually achieve.",Moderate,0,teenager wished world peace yearn world competing ideologies kept balance systems accountability keep us getting away much fewer people believe righteous ends justify violent means romantic wish one might actually achieve
60,Jonathan Haidt,But the fact is that we care a lot about what others think of us. The only people known to have no sociometer are psychopaths.,Moderate,0,fact care lot others think us people known sociometer psychopaths
61,Jonathan Haidt,"We humans have an extraordinary ability to care about things beyond ourselves, to circle around those things with other people, and in the process to bind ourselves into teams that can pursue larger projects. That’s what religion is all about.",Moderate,0,humans extraordinary ability care things beyond circle around things people process bind teams pursue larger projects religion
62,Jonathan Haidt,"Do not seek to have events happen as you want them to, but instead want them to happen as they do happen, and your life will go well.",Moderate,0,seek events happen want instead want happen happen life go well
63,Jonathan Haidt,"If thinking is confirmatory rather than exploratory in these dry and easy cases, then what chance is there that people will think in an open-minded, exploratory way when self-interest, social identity, and strong emotions make them want or even need to reach a preordained conclusion? 3. WE LIE, CHEAT, AND JUSTIFY SO WELL THAT WE HONESTLY BELIEVE WE ARE HONEST",Moderate,0,thinking confirmatory rather exploratory dry easy cases chance people think open minded exploratory way self interest social identity strong emotions make want even need reach preordained conclusion  lie cheat justify well honestly believe honest
64,Jonathan Haidt,"changing an institution’s environment to increase the sense of control among its workers, students, patients, or other users was one of the most effective possible ways to increase their sense of engagement, energy, and happiness.",Moderate,0,changing institution environment increase sense control among workers students patients users one effective possible ways increase sense engagement energy happiness
65,Jonathan Haidt,"Schwitzgebel even scrounged up the missing-book lists from dozens of libraries and found that academic books on ethics, which are presumably borrowed mostly by ethicists, are more likely to be stolen or just never returned than books in other areas of philosophy.49 In other words, expertise in moral reasoning does not seem to improve moral behavior, and it might even make it worse (perhaps by making the rider more skilled at post hoc justification).",Moderate,0,schwitzgebel even scrounged missing book lists dozens libraries found academic books ethics presumably borrowed mostly ethicists likely stolen never returned books areas philosophy  words expertise moral reasoning seem improve moral behavior might even make worse perhaps making rider skilled post hoc justification
66,Jonathan Haidt,"The mind is divided into parts that sometimes conflict. Like a rider on the back of an elephant, the conscious reasoning part of the mind has only limited control of what the elephant does.",Moderate,0,mind divided parts sometimes conflict like rider back elephant conscious reasoning part mind limited control elephant
67,Jonathan Haidt,"Loyalty, respect for authority and some degree of sanctification create a more binding social order that places some limits on individualism and egoism.",Moderate,0,loyalty respect authority degree sanctification create binding social order places limits individualism egoism
70,Jonathan Haidt,"I had escaped from my prior partisan mind-set (reject first, ask rhetorical questions later) and began to think about liberal and conservative policies as manifestations of deeply conflicting but equally heartfelt visions of the good society.28",Moderate,0,escaped prior partisan mind set reject first ask rhetorical questions later began think liberal conservative policies manifestations deeply conflicting equally heartfelt visions good society 
71,Jonathan Haidt,"The effectance motive helps explain the progress principle: We get more pleasure from making progress toward our goals than we do from achieving them because, as Shakespeare said, Joy’s soul lies in the doing.",Moderate,0,effectance motive helps explain progress principle get pleasure making progress toward goals achieving shakespeare said joy soul lies
72,Jonathan Haidt,"In Wegner’s studies, participants are asked to try hard not to think about something, such as a white bear, or food, or a stereotype. This is hard to do. More important, the moment one stops trying to suppress a thought, the thought comes flooding in and becomes even harder to banish. In other words, Wegner creates minor obsessions in his lab by instructing people not to obsess. Wegner explains this effect as an ironic process of mental control. 32 When controlled processing tries to influence thought (Don’t think about a white bear!), it sets up an explicit goal. And whenever one pursues a goal, a part of the mind automatically monitors progress, so that it can order corrections or know when success has been achieved. When that goal is an action in the world (such as arriving at the airport on time), this feedback system works well. But when the goal is mental, it backfires. Automatic processes continually check: Am I not thinking about a white bear? As the act of monitoring for the absence of the thought introduces the thought, the person must try even harder to divert consciousness. Automatic and controlled processes end up working at cross purposes, firing each other up to ever greater exertions. But because controlled processes tire quickly, eventually the inexhaustible automatic processes run unopposed, conjuring up herds of white bears. Thus, the attempt to remove an unpleasant thought can guarantee it a place on your frequent-play list of mental ruminations.",Moderate,0,wegner studies participants asked try hard think something white bear food stereotype hard important moment one stops trying suppress thought thought comes flooding becomes even harder banish words wegner creates minor obsessions lab instructing people obsess wegner explains effect ironic process mental control  controlled processing tries influence thought think white bear sets explicit goal whenever one pursues goal part mind automatically monitors progress order corrections know success achieved goal action world arriving airport time feedback system works well goal mental backfires automatic processes continually check thinking white bear act monitoring absence thought introduces thought person must try even harder divert consciousness automatic controlled processes end working cross purposes firing ever greater exertions controlled processes tire quickly eventually inexhaustible automatic processes run unopposed conjuring herds white bears thus attempt remove unpleasant thought guarantee place frequent play list mental ruminations
73,Jonathan Haidt,to really get a mass atrocity going you need idealism,Moderate,0,really get mass atrocity going need idealism
74,Jonathan Haidt,People who are told that they have performed poorly on a test of social intelligence think extra hard to find reasons to discount the test; people who are asked to read a study showing that one of their habits,Moderate,0,people told performed poorly test social intelligence think extra hard find reasons discount test people asked read study showing one habits
75,Jonathan Haidt,"Religiosity developed because successful religions made groups more efficient at turning resources into offspring. (including art, cathedrals, cities, earthworks, etc?)",Moderate,0,religiosity developed successful religions made groups efficient turning resources offspring including art cathedrals cities earthworks etc
76,Jonathan Haidt,"It might feel, at least to some of us, that our opinions about issues such as abortion and the death penalty are the products of careful deliberation and that our specific moral acts, such as deciding to give to charity or visit a friend in the hospital",Moderate,0,might feel least us opinions issues abortion death penalty products careful deliberation specific moral acts deciding give charity visit friend hospital
77,Jonathan Haidt,"So the next time a salesman gives you a free gift or consultation, or makes a concession of any sort, duck. Don’t let him press your reciprocity button. The best way out, Cialdini advises, is to fight reciprocity with reciprocity. If you can reappraise the salesman’s move for what it is",Moderate,0,next time salesman gives free gift consultation makes concession sort duck let press reciprocity button best way cialdini advises fight reciprocity reciprocity reappraise salesman move
