,Author,Political Orientation,Quotes,language
865,Tony Judt,Progressive,"When Communism fell in 1989, the temptation for Western commentators to gloat triumphantly proved irresistible. This, it was declared, marked the end of History. Henceforth, the world belonged to liberal capitalism – there was no alternative – and we would all march forward in unison towards a future shaped by peace, democracy and free markets. Twenty years on this assertion looks threadbare.	There can be no question that the fall of the Berlin Wall and the domino-like collapse of Communism states from the suburbs of Vienna to the shores of the Pacific marked a very significant transition: one in which millions of men and women were liberated from a dismal and defunct ideology and its authoritarian institutions. But no one could credibly assert that what replaced Communism was an era of idyllic tranquility. There was no peace in post-Communist Yugoslavia, and precious little democracy in any of the successor states of the Soviet Union.	As for free markets, they surely flourished, but it is not clear for whom. The West – Europe and the United States above all – missed a once-in-a-century opportunity to re-shape the world around agreed and improved international institutions and practices. Instead, we sat back and congratulated ourselves upon having won the Cold War: a sure way to lose the peace. The years from 1989 to 2009 were consumed by locusts.",en
866,Tony Judt,Progressive,"Those who got the twentieth century right, whether in anticipation [..] or as contemporary observations, had to be able to imagine a world for which there was no precedent.",en
867,Tony Judt,Progressive,We must distinguish better than some of our predecessors between desirable ends and unacceptable means.,en
868,Tony Judt,Progressive,"Thinking ‘economistically’, as we have done now for thirty years, is not intrinsic to humans.",en
869,Tony Judt,Progressive,"dialectics, as a veteran communist explained . . . 'is the art and technique of always landing on your feet.",en
870,Tony Judt,Progressive,"All modern U.S. presidents are perforce politicians, prisoners of their past pronouncements, their party, their constituency, and their colleagues.",en
871,Tony Judt,Progressive,the welfare states of western Europe were not politically divisive. They were socially re-distributive in general intent (some more than others) but not at all revolutionary,en
873,Tony Judt,Progressive,"Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest: indeed, this very pursuit now constitutes whatever remains of our sense of collective purpose. We know what things cost but have no idea what they are worth. We no longer ask of a judicial ruling or a legislative act: is it good? Is it fair? Is it just? Is it right? Will it help bring about a better society or a better world? Those used to be the political questions, even if they invited no easy answers. We must learn once again to pose them. The materialistic and selfish quality of contemporary life is not inherent in the human condition. Much of what appears ‘natural’ today dates from the 1980s: the obsession with wealth creation, the cult of privatization and the private sector, the growing disparities of rich and poor. And above all, the rhetoric which accompanies these: uncritical admiration for unfettered markets, disdain for the public sector, the delusion of endless growth. We cannot go on living like this.",en
874,Tony Judt,Progressive,Inequality is corrosive. It rots societies from within.,en
875,Tony Judt,Progressive,"What, then, should we have learned from 1989? Perhaps, above all, that nothing is either necessary or inevitable.",en
876,Tony Judt,Progressive,"The only thing worse than too much government is too little: in failed states, people suffer at least as much violence and injustice as under authoritarian rule, and in addition their trains do not run on time.",en
877,Tony Judt,Progressive,"We are all familiar with intellectuals who speak only on behalf of their country, class, religion, 'race,' 'gender,' or 'sexual orientation,' and who shape their opinions according to what they take to be the interest of their affinity of birth or predilection. But the distinctive feature of the liberal intellectual in past times was precisely the striving for universality; not the unworldly or disingenuous denial of sectional identification but the sustained effort to transcend that identification in search of truth or the general interest. . . . In today's America, neoconservatives generate brutish policies for which liberals provide the ethical fig leaf. There really is no other diifference between them.",en
878,Tony Judt,Progressive,Finding a homeland is not the same as dwelling in the place where our ancestors once used to live.,en
879,Tony Judt,Progressive,"in a constitutionally ordered state, where laws are derived from broad principles of right and wrong and where those principles are enshrined and protected by agreed upon procedures and practices, it can never be in the long-term interest of the state or its citizens to flout those procedures at home or associate too closely overseas with the enemies of your founding ideals.",en
881,Tony Judt,Progressive,the military system of a nation is not an independent section of the social system but an aspect of its totality.,en
882,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest.,en
883,Tony Judt,Progressive,"Today, neither Left nor Right can find their footing.",en
885,Tony Judt,Progressive,"When Communism fell in 1989, the temptation for Western commentators to gloat triumphantly proved irresistible. This, it was declared, marked the end of History. Henceforth, the world belonged to liberal capitalism – there was no alternative – and we would all march forward in unison towards a future shaped by peace, democracy and free markets. Twenty years on this assertion looks threadbare.	There can be no question that the fall of the Berlin Wall and the domino-like collapse of Communism states from the suburbs of Vienna to the shores of the Pacific marked a very significant transition: one in which millions of men and women were liberated from a dismal and defunct ideology and its authoritarian institutions. But no one could credibly assert that what replaced Communism was an era of idyllic tranquility. There was no peace in post-Communist Yugoslavia, and precious little democracy in any of the successor states of the Soviet Union.	As for free markets, they surely flourished, but it is not clear for whom. The West – Europe and the United States above all – missed a once-in-a-century opportunity to re-shape the world around agreed and improved international institutions and practices. Instead, we sat back and congratulated ourselves upon having won the Cold War: a sure way to lose the peace. The years from 1989 to 2009 were consumed by locusts.",en
886,Tony Judt,Progressive,"Those who got the twentieth century right, whether in anticipation [..] or as contemporary observations, had to be able to imagine a world for which there was no precedent.",en
887,Tony Judt,Progressive,We must distinguish better than some of our predecessors between desirable ends and unacceptable means.,en
888,Tony Judt,Progressive,"Thinking ‘economistically’, as we have done now for thirty years, is not intrinsic to humans.",en
890,Tony Judt,Progressive,"All modern U.S. presidents are perforce politicians, prisoners of their past pronouncements, their party, their constituency, and their colleagues.",en
891,Tony Judt,Progressive,the welfare states of western Europe were not politically divisive. They were socially re-distributive in general intent (some more than others) but not at all revolutionary,en
892,Tony Judt,Progressive,"The absence of trust is clearly inimical to a well-run society. The great Jane Jacobs noted as much with respect to the very practical business of urban life and the maintenance of cleanliness and civility on city streets. If we don't trust each other, our towns will look horrible and be nasty places to live. Moreover, she observed, you cannot institutionalize trust. Once corroded, it is virtually impossible to restore.",en
894,Tony Judt,Progressive,Inequality is corrosive. It rots societies from within.,en
895,Tony Judt,Progressive,"What, then, should we have learned from 1989? Perhaps, above all, that nothing is either necessary or inevitable.",en
896,Tony Judt,Progressive,"The only thing worse than too much government is too little: in failed states, people suffer at least as much violence and injustice as under authoritarian rule, and in addition their trains do not run on time.",en
897,Tony Judt,Progressive,"We are all familiar with intellectuals who speak only on behalf of their country, class, religion, 'race,' 'gender,' or 'sexual orientation,' and who shape their opinions according to what they take to be the interest of their affinity of birth or predilection. But the distinctive feature of the liberal intellectual in past times was precisely the striving for universality; not the unworldly or disingenuous denial of sectional identification but the sustained effort to transcend that identification in search of truth or the general interest. . . . In today's America, neoconservatives generate brutish policies for which liberals provide the ethical fig leaf. There really is no other diifference between them.",en
898,Tony Judt,Progressive,Finding a homeland is not the same as dwelling in the place where our ancestors once used to live.,en
900,Tony Judt,Progressive,ask . . . what it is about all-embracing 'systems' of thought that leads inexorably to all-embracing 'systems' of rule.,en
902,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest.,en
903,Tony Judt,Progressive,"Today, neither Left nor Right can find their footing.",en
904,Tony Judt,Progressive,"Love, it seems to me, is the condition in which one is most contentedly oneself.",en
905,Tony Judt,Progressive,"When Communism fell in 1989, the temptation for Western commentators to gloat triumphantly proved irresistible. This, it was declared, marked the end of History. Henceforth, the world belonged to liberal capitalism – there was no alternative – and we would all march forward in unison towards a future shaped by peace, democracy and free markets. Twenty years on this assertion looks threadbare.	There can be no question that the fall of the Berlin Wall and the domino-like collapse of Communism states from the suburbs of Vienna to the shores of the Pacific marked a very significant transition: one in which millions of men and women were liberated from a dismal and defunct ideology and its authoritarian institutions. But no one could credibly assert that what replaced Communism was an era of idyllic tranquility. There was no peace in post-Communist Yugoslavia, and precious little democracy in any of the successor states of the Soviet Union.	As for free markets, they surely flourished, but it is not clear for whom. The West – Europe and the United States above all – missed a once-in-a-century opportunity to re-shape the world around agreed and improved international institutions and practices. Instead, we sat back and congratulated ourselves upon having won the Cold War: a sure way to lose the peace. The years from 1989 to 2009 were consumed by locusts.",en
906,Tony Judt,Progressive,"Those who got the twentieth century right, whether in anticipation [..] or as contemporary observations, had to be able to imagine a world for which there was no precedent.",en
907,Tony Judt,Progressive,We must distinguish better than some of our predecessors between desirable ends and unacceptable means.,en
908,Tony Judt,Progressive,"Thinking ‘economistically’, as we have done now for thirty years, is not intrinsic to humans.",en
909,Tony Judt,Progressive,"dialectics, as a veteran communist explained . . . 'is the art and technique of always landing on your feet.",en
910,Tony Judt,Progressive,"All modern U.S. presidents are perforce politicians, prisoners of their past pronouncements, their party, their constituency, and their colleagues.",en
911,Tony Judt,Progressive,the welfare states of western Europe were not politically divisive. They were socially re-distributive in general intent (some more than others) but not at all revolutionary,en
914,Tony Judt,Progressive,Inequality is corrosive. It rots societies from within.,en
915,Tony Judt,Progressive,"What, then, should we have learned from 1989? Perhaps, above all, that nothing is either necessary or inevitable.",en
916,Tony Judt,Progressive,"The only thing worse than too much government is too little: in failed states, people suffer at least as much violence and injustice as under authoritarian rule, and in addition their trains do not run on time.",en
917,Tony Judt,Progressive,"We are all familiar with intellectuals who speak only on behalf of their country, class, religion, 'race,' 'gender,' or 'sexual orientation,' and who shape their opinions according to what they take to be the interest of their affinity of birth or predilection. But the distinctive feature of the liberal intellectual in past times was precisely the striving for universality; not the unworldly or disingenuous denial of sectional identification but the sustained effort to transcend that identification in search of truth or the general interest. . . . In today's America, neoconservatives generate brutish policies for which liberals provide the ethical fig leaf. There really is no other diifference between them.",en
918,Tony Judt,Progressive,Finding a homeland is not the same as dwelling in the place where our ancestors once used to live.,en
919,Tony Judt,Progressive,"in a constitutionally ordered state, where laws are derived from broad principles of right and wrong and where those principles are enshrined and protected by agreed upon procedures and practices, it can never be in the long-term interest of the state or its citizens to flout those procedures at home or associate too closely overseas with the enemies of your founding ideals.",en
920,Tony Judt,Progressive,ask . . . what it is about all-embracing 'systems' of thought that leads inexorably to all-embracing 'systems' of rule.,en
921,Tony Judt,Progressive,the military system of a nation is not an independent section of the social system but an aspect of its totality.,en
922,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest.,en
923,Tony Judt,Progressive,"Today, neither Left nor Right can find their footing.",en
924,Tony Judt,Progressive,"Love, it seems to me, is the condition in which one is most contentedly oneself.",en
925,Tony Judt,Progressive,"When Communism fell in 1989, the temptation for Western commentators to gloat triumphantly proved irresistible. This, it was declared, marked the end of History. Henceforth, the world belonged to liberal capitalism – there was no alternative – and we would all march forward in unison towards a future shaped by peace, democracy and free markets. Twenty years on this assertion looks threadbare.	There can be no question that the fall of the Berlin Wall and the domino-like collapse of Communism states from the suburbs of Vienna to the shores of the Pacific marked a very significant transition: one in which millions of men and women were liberated from a dismal and defunct ideology and its authoritarian institutions. But no one could credibly assert that what replaced Communism was an era of idyllic tranquility. There was no peace in post-Communist Yugoslavia, and precious little democracy in any of the successor states of the Soviet Union.	As for free markets, they surely flourished, but it is not clear for whom. The West – Europe and the United States above all – missed a once-in-a-century opportunity to re-shape the world around agreed and improved international institutions and practices. Instead, we sat back and congratulated ourselves upon having won the Cold War: a sure way to lose the peace. The years from 1989 to 2009 were consumed by locusts.",en
926,Tony Judt,Progressive,"Those who got the twentieth century right, whether in anticipation [..] or as contemporary observations, had to be able to imagine a world for which there was no precedent.",en
927,Tony Judt,Progressive,We must distinguish better than some of our predecessors between desirable ends and unacceptable means.,en
928,Tony Judt,Progressive,"Thinking ‘economistically’, as we have done now for thirty years, is not intrinsic to humans.",en
931,Tony Judt,Progressive,the welfare states of western Europe were not politically divisive. They were socially re-distributive in general intent (some more than others) but not at all revolutionary,en
932,Tony Judt,Progressive,"The absence of trust is clearly inimical to a well-run society. The great Jane Jacobs noted as much with respect to the very practical business of urban life and the maintenance of cleanliness and civility on city streets. If we don't trust each other, our towns will look horrible and be nasty places to live. Moreover, she observed, you cannot institutionalize trust. Once corroded, it is virtually impossible to restore.",en
934,Tony Judt,Progressive,Inequality is corrosive. It rots societies from within.,en
935,Tony Judt,Progressive,"What, then, should we have learned from 1989? Perhaps, above all, that nothing is either necessary or inevitable.",en
936,Tony Judt,Progressive,"The only thing worse than too much government is too little: in failed states, people suffer at least as much violence and injustice as under authoritarian rule, and in addition their trains do not run on time.",en
938,Tony Judt,Progressive,Finding a homeland is not the same as dwelling in the place where our ancestors once used to live.,en
940,Tony Judt,Progressive,ask . . . what it is about all-embracing 'systems' of thought that leads inexorably to all-embracing 'systems' of rule.,en
942,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest.,en
943,Tony Judt,Progressive,"Today, neither Left nor Right can find their footing.",en
944,Tony Judt,Progressive,"Love, it seems to me, is the condition in which one is most contentedly oneself.",en
945,Tony Judt,Progressive,"When Communism fell in 1989, the temptation for Western commentators to gloat triumphantly proved irresistible. This, it was declared, marked the end of History. Henceforth, the world belonged to liberal capitalism – there was no alternative – and we would all march forward in unison towards a future shaped by peace, democracy and free markets. Twenty years on this assertion looks threadbare.	There can be no question that the fall of the Berlin Wall and the domino-like collapse of Communism states from the suburbs of Vienna to the shores of the Pacific marked a very significant transition: one in which millions of men and women were liberated from a dismal and defunct ideology and its authoritarian institutions. But no one could credibly assert that what replaced Communism was an era of idyllic tranquility. There was no peace in post-Communist Yugoslavia, and precious little democracy in any of the successor states of the Soviet Union.	As for free markets, they surely flourished, but it is not clear for whom. The West – Europe and the United States above all – missed a once-in-a-century opportunity to re-shape the world around agreed and improved international institutions and practices. Instead, we sat back and congratulated ourselves upon having won the Cold War: a sure way to lose the peace. The years from 1989 to 2009 were consumed by locusts.",en
946,Tony Judt,Progressive,"Those who got the twentieth century right, whether in anticipation [..] or as contemporary observations, had to be able to imagine a world for which there was no precedent.",en
947,Tony Judt,Progressive,We must distinguish better than some of our predecessors between desirable ends and unacceptable means.,en
948,Tony Judt,Progressive,"Thinking ‘economistically’, as we have done now for thirty years, is not intrinsic to humans.",en
949,Tony Judt,Progressive,"dialectics, as a veteran communist explained . . . 'is the art and technique of always landing on your feet.",en
950,Tony Judt,Progressive,"All modern U.S. presidents are perforce politicians, prisoners of their past pronouncements, their party, their constituency, and their colleagues.",en
951,Tony Judt,Progressive,the welfare states of western Europe were not politically divisive. They were socially re-distributive in general intent (some more than others) but not at all revolutionary,en
952,Tony Judt,Progressive,"The absence of trust is clearly inimical to a well-run society. The great Jane Jacobs noted as much with respect to the very practical business of urban life and the maintenance of cleanliness and civility on city streets. If we don't trust each other, our towns will look horrible and be nasty places to live. Moreover, she observed, you cannot institutionalize trust. Once corroded, it is virtually impossible to restore.",en
953,Tony Judt,Progressive,"Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest: indeed, this very pursuit now constitutes whatever remains of our sense of collective purpose. We know what things cost but have no idea what they are worth. We no longer ask of a judicial ruling or a legislative act: is it good? Is it fair? Is it just? Is it right? Will it help bring about a better society or a better world? Those used to be the political questions, even if they invited no easy answers. We must learn once again to pose them. The materialistic and selfish quality of contemporary life is not inherent in the human condition. Much of what appears ‘natural’ today dates from the 1980s: the obsession with wealth creation, the cult of privatization and the private sector, the growing disparities of rich and poor. And above all, the rhetoric which accompanies these: uncritical admiration for unfettered markets, disdain for the public sector, the delusion of endless growth. We cannot go on living like this.",en
954,Tony Judt,Progressive,Inequality is corrosive. It rots societies from within.,en
955,Tony Judt,Progressive,"What, then, should we have learned from 1989? Perhaps, above all, that nothing is either necessary or inevitable.",en
956,Tony Judt,Progressive,"The only thing worse than too much government is too little: in failed states, people suffer at least as much violence and injustice as under authoritarian rule, and in addition their trains do not run on time.",en
957,Tony Judt,Progressive,"We are all familiar with intellectuals who speak only on behalf of their country, class, religion, 'race,' 'gender,' or 'sexual orientation,' and who shape their opinions according to what they take to be the interest of their affinity of birth or predilection. But the distinctive feature of the liberal intellectual in past times was precisely the striving for universality; not the unworldly or disingenuous denial of sectional identification but the sustained effort to transcend that identification in search of truth or the general interest. . . . In today's America, neoconservatives generate brutish policies for which liberals provide the ethical fig leaf. There really is no other diifference between them.",en
958,Tony Judt,Progressive,Finding a homeland is not the same as dwelling in the place where our ancestors once used to live.,en
959,Tony Judt,Progressive,"in a constitutionally ordered state, where laws are derived from broad principles of right and wrong and where those principles are enshrined and protected by agreed upon procedures and practices, it can never be in the long-term interest of the state or its citizens to flout those procedures at home or associate too closely overseas with the enemies of your founding ideals.",en
960,Tony Judt,Progressive,ask . . . what it is about all-embracing 'systems' of thought that leads inexorably to all-embracing 'systems' of rule.,en
961,Tony Judt,Progressive,the military system of a nation is not an independent section of the social system but an aspect of its totality.,en
963,Tony Judt,Progressive,"Today, neither Left nor Right can find their footing.",en
964,Tony Judt,Progressive,"Love, it seems to me, is the condition in which one is most contentedly oneself.",en
965,Tony Judt,Progressive,"When Communism fell in 1989, the temptation for Western commentators to gloat triumphantly proved irresistible. This, it was declared, marked the end of History. Henceforth, the world belonged to liberal capitalism – there was no alternative – and we would all march forward in unison towards a future shaped by peace, democracy and free markets. Twenty years on this assertion looks threadbare.	There can be no question that the fall of the Berlin Wall and the domino-like collapse of Communism states from the suburbs of Vienna to the shores of the Pacific marked a very significant transition: one in which millions of men and women were liberated from a dismal and defunct ideology and its authoritarian institutions. But no one could credibly assert that what replaced Communism was an era of idyllic tranquility. There was no peace in post-Communist Yugoslavia, and precious little democracy in any of the successor states of the Soviet Union.	As for free markets, they surely flourished, but it is not clear for whom. The West – Europe and the United States above all – missed a once-in-a-century opportunity to re-shape the world around agreed and improved international institutions and practices. Instead, we sat back and congratulated ourselves upon having won the Cold War: a sure way to lose the peace. The years from 1989 to 2009 were consumed by locusts.",en
966,Tony Judt,Progressive,"Those who got the twentieth century right, whether in anticipation [..] or as contemporary observations, had to be able to imagine a world for which there was no precedent.",en
967,Tony Judt,Progressive,We must distinguish better than some of our predecessors between desirable ends and unacceptable means.,en
968,Tony Judt,Progressive,"Thinking ‘economistically’, as we have done now for thirty years, is not intrinsic to humans.",en
969,Tony Judt,Progressive,"dialectics, as a veteran communist explained . . . 'is the art and technique of always landing on your feet.",en
970,Tony Judt,Progressive,"All modern U.S. presidents are perforce politicians, prisoners of their past pronouncements, their party, their constituency, and their colleagues.",en
971,Tony Judt,Progressive,the welfare states of western Europe were not politically divisive. They were socially re-distributive in general intent (some more than others) but not at all revolutionary,en
972,Tony Judt,Progressive,"The absence of trust is clearly inimical to a well-run society. The great Jane Jacobs noted as much with respect to the very practical business of urban life and the maintenance of cleanliness and civility on city streets. If we don't trust each other, our towns will look horrible and be nasty places to live. Moreover, she observed, you cannot institutionalize trust. Once corroded, it is virtually impossible to restore.",en
973,Tony Judt,Progressive,"Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest: indeed, this very pursuit now constitutes whatever remains of our sense of collective purpose. We know what things cost but have no idea what they are worth. We no longer ask of a judicial ruling or a legislative act: is it good? Is it fair? Is it just? Is it right? Will it help bring about a better society or a better world? Those used to be the political questions, even if they invited no easy answers. We must learn once again to pose them. The materialistic and selfish quality of contemporary life is not inherent in the human condition. Much of what appears ‘natural’ today dates from the 1980s: the obsession with wealth creation, the cult of privatization and the private sector, the growing disparities of rich and poor. And above all, the rhetoric which accompanies these: uncritical admiration for unfettered markets, disdain for the public sector, the delusion of endless growth. We cannot go on living like this.",en
974,Tony Judt,Progressive,Inequality is corrosive. It rots societies from within.,en
975,Tony Judt,Progressive,"What, then, should we have learned from 1989? Perhaps, above all, that nothing is either necessary or inevitable.",en
976,Tony Judt,Progressive,"The only thing worse than too much government is too little: in failed states, people suffer at least as much violence and injustice as under authoritarian rule, and in addition their trains do not run on time.",en
977,Tony Judt,Progressive,"We are all familiar with intellectuals who speak only on behalf of their country, class, religion, 'race,' 'gender,' or 'sexual orientation,' and who shape their opinions according to what they take to be the interest of their affinity of birth or predilection. But the distinctive feature of the liberal intellectual in past times was precisely the striving for universality; not the unworldly or disingenuous denial of sectional identification but the sustained effort to transcend that identification in search of truth or the general interest. . . . In today's America, neoconservatives generate brutish policies for which liberals provide the ethical fig leaf. There really is no other diifference between them.",en
978,Tony Judt,Progressive,Finding a homeland is not the same as dwelling in the place where our ancestors once used to live.,en
979,Tony Judt,Progressive,"in a constitutionally ordered state, where laws are derived from broad principles of right and wrong and where those principles are enshrined and protected by agreed upon procedures and practices, it can never be in the long-term interest of the state or its citizens to flout those procedures at home or associate too closely overseas with the enemies of your founding ideals.",en
980,Tony Judt,Progressive,ask . . . what it is about all-embracing 'systems' of thought that leads inexorably to all-embracing 'systems' of rule.,en
981,Tony Judt,Progressive,the military system of a nation is not an independent section of the social system but an aspect of its totality.,en
982,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest.,en
983,Tony Judt,Progressive,"Today, neither Left nor Right can find their footing.",en
