,Author,Quotes,Contain,Political Orientation,auto,texicity,rep
35,Bill Moyers,"The question, then, is not about changing people; it's about reaching people. I'm not speaking simply of better information, a sharper and clearer factual presentation to disperse the thick fogs generated by today's spin machines. Of course, we always need stronger empirical arguments to back up our case. It would certainly help if at least as many people who believe, say, in a literal devil or that God sent George W. Bush to the White House also knew that the top 1 percent of households now have more wealth than the bottom 90 percent combined. Yes, people need more information than they get from the media conglomerates with their obsession for nonsense, violence and pap. And we need, as we keep hearing, new ideas. But we are at an extraordinary moment. The conservative movement stands intellectually and morally bankrupt while Democrats talk about a new direction without convincing us they know the difference between a weather vane and a compass. The right story will set our course for a generation to come.",no,Progressive,0,question changing people reaching people speaking simply better information sharper clearer factual presentation disperse thick fogs generated today spin machines course always need stronger empirical arguments back case would certainly help least many people believe say literal devil god sent george w bush white house also knew top number percent households wealth bottom number percent combined yes people need information get media conglomerates obsession nonsense violence pap need keep hearing new ideas extraordinary moment conservative movement stands intellectually morally bankrupt democrats talk new direction without convincing us know difference weather vane compass right story set course generation come,1.0
36,Bill Moyers,Democracy belongs to those who exercise it.,no,Progressive,0,democracy belongs exercise,1.0
37,Bill Moyers,Why are record numbers of Americans on food stamps? Because record numbers of Americans are in poverty. Why are people falling through the cracks? Because there are cracks to fall through.,no,Progressive,0,record numbers americans food stamps record numbers americans poverty people falling cracks cracks fall,1.0
38,Bill Moyers,secrecy is the freedom tyrants dream of,no,Progressive,0,secrecy freedom tyrants dream,2.0
41,Bill Moyers,"When language fails, violence becomes a language.",no,Progressive,0,language fails violence becomes language,1.0
42,Bill Moyers,Our media and political system has turned into a mutual protection racket.,no,Progressive,0,media political system turned mutual protection racket,1.0
43,Bill Moyers,A free press is one where it’s ok to state the conclusion you’re led to by the evidence.,no,Progressive,0,free press one ok state conclusion led evidence,1.0
44,Paul Krugman,"I believe in a relatively equal society, supported by institutions that limit extremes of wealth and poverty. I believe in democracy, civil liberties, and the rule of law. That makes me a liberal, and I’m proud of it.",no,Progressive,0,believe relatively equal society supported institutions limit extremes wealth poverty believe democracy civil liberties rule law makes liberal proud,1.0
45,Paul Krugman,"Politics determines who has the power, not who has the truth.",no,Progressive,0,politics determines power truth,1.0
46,Paul Krugman,"The media are desperately afraid of being accused of bias. And that's partly because there's a whole machine out there, an organized attempt to accuse them of bias whenever they say anything that the Right doesn't like. So rather than really try to report things objectively, they settle for being even-handed, which is not the same thing. One of my lines in a column",no,Progressive,0,media desperately afraid accused bias partly whole machine organized attempt accuse bias whenever say anything right like rather really try report things objectively settle even handed thing one lines column,1.0
47,Paul Krugman,The rich are different from you and me: they have more influence.,no,Progressive,0,rich different influence,1.0
48,Paul Krugman,"Now, it’s true that some of the protesters are oddly dressed or have silly-sounding slogans, which is inevitable given the open character of the events. But so what? I, at least, am a lot more offended by the sight of exquisitely tailored plutocrats, who owe their continued wealth to government guarantees, whining that President Obama has said mean things about them than I am by the sight of ragtag young people denouncing consumerism.",no,Progressive,0,true protesters oddly dressed silly sounding slogans inevitable given open character events least lot offended sight exquisitely tailored plutocrats owe continued wealth government guarantees whining president obama said mean things sight ragtag young people denouncing consumerism,1.0
49,Paul Krugman,Wealthy Americans who benefit hugely from a system rigged in their favor react with hysteria to anyone who points out just how rigged the system is.,no,Progressive,0,wealthy americans benefit hugely system rigged favor react hysteria anyone points rigged system,1.0
50,Paul Krugman,"The appeal to the intellectually insecure is also more important than it might seem. Because economics touches so much of life, everyone wants to have an opinion. Yet the kind of economics covered in the textbooks is a technical subject that many people find hard to follow. How reassuring, then, to be told that it is all irrelevant -- that all you really need to know are a few simple ideas! Quite a few supply-siders have created for themselves a wonderful alternative intellectual history in which John Maynard Keynes was a fraud, Paul Samuelson and even Milton Friedman are fools, and the true line of deep economic thought runs from Adam Smith through obscure turn-of-the-century Austrians straight to them.",no,Progressive,0,appeal intellectually insecure also important might seem economics touches much life everyone wants opinion yet kind economics covered textbooks technical subject many people find hard follow reassuring told irrelevant really need know simple ideas quite supply siders created wonderful alternative intellectual history john maynard keynes fraud paul samuelson even milton friedman fools true line deep economic thought runs adam smith obscure turn century austrians straight,1.0
51,Paul Krugman,"In our country, learned ignorance is on the rise.",no,Progressive,0,country learned ignorance rise,1.0
52,Paul Krugman,"And that's just the beginning. More and more, conventional wisdom says that the responsible thing is to make the unemployed suffer. And while the benefits from inflicting pain are an illusion, the pain itself will be all too real.",no,Progressive,0,beginning conventional wisdom says responsible thing make unemployed suffer benefits inflicting pain illusion pain real,1.0
53,Paul Krugman,"Political figures who talk a lot about liberty and freedom invariably turn out to mean the freedom to not pay taxes and discriminate based on race; freedom to hold different ideas and express them, not so much.",no,Progressive,0,political figures talk lot liberty freedom invariably turn mean freedom pay taxes discriminate based race freedom hold different ideas express much,1.0
54,Paul Krugman,"These are tough times for state governments. Huge deficits loom almost everywhere, from California to New York, from New Jersey to Texas.Wait",no,Progressive,0,tough times state governments huge deficits loom almost everywhere california new york new jersey texas wait,1.0
55,Paul Krugman,"For most Americans, economic growth is a spectator sport.",no,Progressive,0,americans economic growth spectator sport,1.0
56,Paul Krugman,On the political as on the economic front it's important not to fall into the not as bad as trap. High unemployment isn't O.K. just because it hasn't hit 1933 levels; ominous political trends shouldn’t be dismissed just because there’s no Hitler in sight.,no,Progressive,0,political economic front important fall bad trap high unemployment k hit number levels ominous political trends dismissed hitler sight,1.0
57,Paul Krugman,"Economics is really about two stories. One is the story of the old economist and younger economist walking down the street, and the younger economist says, ‘Look, there’s a hundred-dollar bill,’ and the older one says, ‘Nonsense, if it was there somebody would have picked it up already.’ So sometimes you do find hundred-dollar bills lying on the street, but not often",no,Progressive,0,economics really two stories one story old economist younger economist walking street younger economist says look hundred dollar bill older one says nonsense somebody would picked already sometimes find hundred dollar bills lying street often,1.0
58,Paul Krugman,"If it were profitable to have indentured servants in the modern world, I'm sure that Richard Scaife's think tanks would have no trouble finding justifications, and assorted Christian groups would explain why it's God's will.",no,Progressive,0,profitable indentured servants modern world sure richard scaife think tanks would trouble finding justifications assorted christian groups would explain god,1.0
59,Paul Krugman,Seriously bad ideas (are) bad ideas which appeal to the prejudices of serious people.,no,Progressive,0,seriously bad ideas bad ideas appeal prejudices serious people,1.0
60,Paul Krugman,"It was only with the crisis that debt soared.Yet many Europeans in key positions - especially politicians and officials in Germany, but also the leadership of the European Central Bank and opinion leaders throughout the world of finance and banking - are deeply committed to the Big Delusion, and no amount of contrary evidence will shake them. As a result, the problem of dealing with the crisis is often couched in moral terms: nations are in trouble because they have sinned, and they must redeem themselves through suffering.And that's a very bad way to approach the actual problems Europe faces.",no,Progressive,0,crisis debt soared yet many europeans key positions especially politicians officials germany also leadership european central bank opinion leaders throughout world finance banking deeply committed big delusion amount contrary evidence shake result problem dealing crisis often couched moral terms nations trouble sinned must redeem suffering bad way approach actual problems europe faces,1.0
61,Paul Krugman,"[W]hat possible purpose does this lashing-out serve? Will activists be shamed into recovering their previous enthusiasm? Will Republicans stop their vicious attacks because Obama is lashing out to his left? It was pure self-indulgence; even if he feels aggrieved, he has to judge his words by their usefulness, not by his desire to vent. This isn't about him.",no,Progressive,0,w hat possible purpose lashing serve activists shamed recovering previous enthusiasm republicans stop vicious attacks obama lashing left pure self indulgence even feels aggrieved judge words usefulness desire vent,1.0
62,Paul Krugman,"There's another element in the euro crisis, another weakness of a shared currency, that took many people, myself included, by surprise. It turns out that countries that lack their own currency are highly vulnerable to self-fulfilling panic, in which the efforts of investors to avoid losses from default end up triggering the very default they fear.",no,Progressive,0,another element euro crisis another weakness shared currency took many people included surprise turns countries lack currency highly vulnerable self fulfilling panic efforts investors avoid losses default end triggering default fear,1.0
64,Paul Krugman,One is reminded of the old joke about the centipede who was asked how he managed to coordinate his 100 legs : He started thinking about it and could never walk properly again.,no,Progressive,0,one reminded old joke centipede asked managed coordinate number legs started thinking could never walk properly,1.0
65,Paul Krugman,"As long as there are no routes back to full employment except that of somehow restoring business confidence, he pointed out, business lobbies in effect have veto power over government actions: propose doing anything they dislike, such as raising taxes or enhancing workers' bargaining power, and they can issue dire warnings that this will reduce confidence and plunge the nation into depression. But let monetary and fiscal policy be deployed to fight unemployment, and suddenly business confidence becomes less necessary, and the need to cater to capitalists' concern is much reduced.",no,Progressive,0,long routes back full employment except somehow restoring business confidence pointed business lobbies effect veto power government actions propose anything dislike raising taxes enhancing workers bargaining power issue dire warnings reduce confidence plunge nation depression let monetary fiscal policy deployed fight unemployment suddenly business confidence becomes less necessary need cater capitalists concern much reduced,1.0
66,Paul Krugman,[Conventional wisdom] very heavily tends to reflect the preferences and the interests of the elite.,no,Progressive,0,conventional wisdom heavily tends reflect preferences interests elite,1.0
68,Paul Krugman,"In the scientific world, the syndrome known as 'great man's disease' happens when a famous researcher in one field develops strong opinions about another field that he or she does not understand, such as a chemist who decides that he is an expert in medicine or a physicist who decides that he is an expert in cognitive science.They have trouble accepting that they must go back to school before they can make pronouncements in a new field.",no,Progressive,0,scientific world syndrome known great man disease happens famous researcher one field develops strong opinions another field understand chemist decides expert medicine physicist decides expert cognitive science trouble accepting must go back school make pronouncements new field,1.0
70,Paul Krugman,I’ve been thinking a lot lately about the power of doctrines,no,Progressive,0,thinking lot lately power doctrines,1.0
71,Paul Krugman,"These senior claims were supposed to be very low-risk; after all, how likely was it that a large number of people would default on their mortgages at the same time? The answer, of course, is that it was quite likely in an environment where homes were worth 30, 40, 50 percent less than the borrowers originally paid for them. So a lot of supposedly safe assets, assets that had been rated AAA by Standard & Poor's or Moody's, ended up becoming toxic waste, worth only a fraction of their face value.",no,Progressive,0,senior claims supposed low risk likely large number people would default mortgages time answer course quite likely environment homes worth number number number percent less borrowers originally paid lot supposedly safe assets assets rated aaa standard poor moody ended becoming toxic waste worth fraction face value,1.0
74,Paul Krugman,Some people want the past repeated and have an interest in making sure we don't remember it.,no,Progressive,0,people want past repeated interest making sure remember,1.0
76,Paul Krugman,"In 1953 Time magazine, declaring that the real news of the nation’s political future and its economic direction lies in people who seldom see a reporter, sent one of its contributing editors, Alvin Josephy, on a national tour. His mission was to get a sense of America. The portrait he painted bore little resemblance to the America of 1929. Where the America of the twenties had been a land of extremes, of vast wealth for a few but hard times for many, America in the fifties was all of a piece. Even in the smallest towns and most isolated areas, the Time report began, the U.S. is wearing a very prosperous, middle-class suit of clothes…. People are not growing wealthy, but more of them than ever before are getting along. And where the America of the twenties had been a land of political polarization, of sharp divides between the dominant right and the embattled left, America in the fifties was a place of political compromise: Republicans and Democrats have a surprising sameness of outlook and political thinking. Unions had become staid establishment institutions. Farmers cheerfully told the man from Time that if farm subsidies were socialism, then they were socialists.1",no,Progressive,0,number time magazine declaring real news nation political future economic direction lies people seldom see reporter sent one contributing editors alvin josephy national tour mission get sense america portrait painted bore little resemblance america number america twenties land extremes vast wealth hard times many america fifties piece even smallest towns isolated areas time report began u wearing prosperous middle class suit clothes people growing wealthy ever getting along america twenties land political polarization sharp divides dominant right embattled left america fifties place political compromise republicans democrats surprising sameness outlook political thinking unions become staid establishment institutions farmers cheerfully told man time farm subsidies socialism socialists 1,1.0
77,Paul Krugman,The habit of disguising ideology as expertise has created a deficit of legitimacy.,no,Progressive,0,habit disguising ideology expertise created deficit legitimacy,1.0
78,Paul Krugman,I joked back in the summer of 2011 that what we really need right now is a fake threat of alien invasion that leads to massive spending on anti-alien defense,no,Progressive,0,joked back summer number really need right fake threat alien invasion leads massive spending anti alien defense,1.0
79,Paul Krugman,"Moreover, the reasons for proposing such tax cuts are often verbally transformed from those of the advocates",no,Progressive,0,moreover reasons proposing tax cuts often verbally transformed advocates,1.0
80,Paul Krugman,Businesspeople are not used to thinking about closed systems;economists are.,no,Progressive,0,businesspeople used thinking closed systems economists,1.0
81,Paul Krugman,"The next time you hear businesspeople propounding their views about the economy, ask yourself. Have they taken the time to study this subject? Have they read what the experts write?If not, never mind how successful they have been in business. Ignore them, because they probably have no idea what they are talking about.",no,Progressive,0,next time hear businesspeople propounding views economy ask taken time study subject read experts write never mind successful business ignore probably idea talking,1.0
82,Paul Krugman,"Incentives aren't the only thing that matter for economic growth. Opportunity is also crucial, and extreme inequality deprives many people of the opportunity to fulfill their potential, and government programs that reduce inequality can make the nation as a whole richer by reducing that waste.",no,Progressive,0,incentives thing matter economic growth opportunity also crucial extreme inequality deprives many people opportunity fulfill potential government programs reduce inequality make nation whole richer reducing waste,1.0
84,Paul Krugman,"It seems no one is guaranteed a job anywhere anymore. These are troubled times for workers. The creeping sense that no one’s job is safe, even as the companies they work for are thriving, means the spread of fear, apprehension, and confusion. One sign of this growing unease: An American headhunting firm reported that more than half of callers making inquiries about jobs were still employed",no,Progressive,0,seems one guaranteed job anywhere anymore troubled times workers creeping sense one job safe even companies work thriving means spread fear apprehension confusion one sign growing unease american headhunting firm reported half callers making inquiries jobs still employed,1.0
87,Paul Krugman,"Still, one could argue",no,Progressive,0,still one could argue,1.0
89,Paul Krugman,"Long, long ago, my great mentor in graduate school, the late Darb, he said if you're writing for a popular audience, you do not start by saying, 'Consider a small, open economy..' You say, 'In Belgium.",no,Progressive,0,long long ago great mentor graduate school late darb said writing popular audience start saying consider small open economy say belgium,1.0
92,Paul Krugman,"Paul krugman of the new york times, on baltimore 62 words …I do worry that the centrality of race and racism to this particular story may convey the false impression that debilitating poverty and alienation from society are uniquely black experiences. In fact, much though by no means all of the horror one sees in Baltimore and many other places is really about class, about the devastating effects of extreme and rising inequality.",no,Progressive,0,paul krugman new york times baltimore number words worry centrality race racism particular story may convey false impression debilitating poverty alienation society uniquely black experiences fact much though means horror one sees baltimore many places really class devastating effects extreme rising inequality,1.0
99,Paul Krugman,"At the level of economic theory, the great fallacy in the logic of David Ricardo, the father of free-trade theory, was to view the gains and losses of trade in a static fashion, as a snapshot at a single point in time. In Ricardo’s theory, whose variants are espoused by free-market economists to this day, if nineteenth-century Britain offered better and cheaper manufactured goods, the US should buy them and export something where it could compete",no,Progressive,0,level economic theory great fallacy logic david ricardo father free trade theory view gains losses trade static fashion snapshot single point time ricardo theory whose variants espoused free market economists day nineteenth century britain offered better cheaper manufactured goods us buy export something could compete,1.0
100,Joseph E. Stiglitz,"Development is about transforming the lives of people, not just transforming economies.",no,Progressive,0,development transforming lives people transforming economies,1.0
101,Joseph E. Stiglitz,"Rather than justice for all, we are evolving into a system of justice for those who can afford it. We have banks that are not only too big to fail, but too big to be held accountable.",no,Progressive,0,rather justice evolving system justice afford banks big fail big held accountable,1.0
102,Joseph E. Stiglitz,"There are two visions of America a half century from now. One is of a society more divided between the haves and the have-nots, a country in which the rich live in gated communities, send their children to expensive schools, and have access to first-rate medical care. Meanwhile, the rest live in a world marked by insecurity, at best mediocre education, and in effect rationed health care―they hope and pray they don't get seriously sick. At the bottom are millions of young people alienated and without hope. I have seen that picture in many developing countries; economists have given it a name, a dual economy, two societies living side by side, but hardly knowing each other, hardly imagining what life is like for the other. Whether we will fall to the depths of some countries, where the gates grow higher and the societies split farther and farther apart, I do not know. It is, however, the nightmare towards which we are slowly marching.",no,Progressive,0,two visions america half century one society divided haves nots country rich live gated communities send children expensive schools access first rate medical care meanwhile rest live world marked insecurity best mediocre education effect rationed health care hope pray get seriously sick bottom millions young people alienated without hope seen picture many developing countries economists given name dual economy two societies living side side hardly knowing hardly imagining life like whether fall depths countries gates grow higher societies split farther farther apart know however nightmare towards slowly marching,1.0
103,Joseph E. Stiglitz,The only true and sustainable prosperity is shared prosperity.,no,Progressive,0,true sustainable prosperity shared prosperity,1.0
104,Joseph E. Stiglitz,"To put it baldly, there are two ways to become wealthy: to create wealth or to take wealth away from others. The former adds to society. The latter typically subtracts from it, for in the process of taking it away, wealth gets destroyed. A monopolist who overcharges for his product takes money from those whom he is overcharging and at the same time destroys value. To get his monopoly price, he has to restrict production.",no,Progressive,0,put baldly two ways become wealthy create wealth take wealth away others former adds society latter typically subtracts process taking away wealth gets destroyed monopolist overcharges product takes money overcharging time destroys value get monopoly price restrict production,1.0
105,Joseph E. Stiglitz,"The more divided a society becomes in terms of wealth, the more reluctant the wealthy are to spend money on common needs. The rich don’t need to rely on government for parks or education or medical care or personal security.",no,Progressive,0,divided society becomes terms wealth reluctant wealthy spend money common needs rich need rely government parks education medical care personal security,1.0
106,Joseph E. Stiglitz,"...decisions were often made because of ideology and politics. As a result many wrong-headed actions were taken, ones that did not solve the problem at hand but that fit with the interests or beliefs of the people in power.",no,Progressive,0,decisions often made ideology politics result many wrong headed actions taken ones solve problem hand fit interests beliefs people power,1.0
107,Joseph E. Stiglitz,The U.S. incarceration rate is the world’s highest and some nine to ten times that of many European countries. Almost 1 in 100 American adults is behind bars.61 Some U.S. states spend as much on their prisons as they do on their universities.,no,Progressive,0,u incarceration rate world highest nine ten times many european countries almost number number american adults behind bars 61 u states spend much prisons universities,1.0
108,Joseph E. Stiglitz,"Overborrowing or overlending? Lenders encourage indebtedness because it is profitable. Developing country governments are sometimes even pressured to overborrow ... Even without corruption, it is easy to be influenced by Western businessmen and financiers ... Countries that aren't sure that borrowing is worth the rist are told how important it is to establis a credit rating: borrow even if you really don't need the money.",no,Progressive,0,overborrowing overlending lenders encourage indebtedness profitable developing country governments sometimes even pressured overborrow even without corruption easy influenced western businessmen financiers countries sure borrowing worth rist told important establis credit rating borrow even really need money,1.0
109,Joseph E. Stiglitz,The facts shouldn’t get in the way of a pleasant fantasy.,no,Progressive,0,facts get way pleasant fantasy,1.0
110,Joseph E. Stiglitz,"In some circumstances, a focus on extrinsic rewards (money) can actually diminish effort. Most (or at least many) teachers enter their profession not because of the money but because of their love for children and their dedication to teaching. The best teachers could have earned far higher incomes if they had gone to banking. It is almost insulting to assume that they are not doing what they can to help their students learn, and that by paying them an extra $500 or $1,500, they would exert greater effort. Indeed, incentive pay can be corrosive: it reminds teachers of how bad their pay is, and those who are led thereby to focus on money may be induced to find a better paying job, leaving behind only those for whom teaching is the only alternative. (Of course, if teachers perceive themselves to be badly paid, that will undermine morale, and that will have adverse incentive effects)",no,Progressive,0,circumstances focus extrinsic rewards money actually diminish effort least many teachers enter profession money love children dedication teaching best teachers could earned far higher incomes gone banking almost insulting assume help students learn paying extra $ number $ number would exert greater effort indeed incentive pay corrosive reminds teachers bad pay led thereby focus money may induced find better paying job leaving behind teaching alternative course teachers perceive badly paid undermine morale adverse incentive effects,1.0
111,Joseph E. Stiglitz,"The head of Goldman Sachs, Lloyd Blankfein, made it perfectly clear: sophisticated investors don’t, or at least shouldn’t, rely on trust. Those who bought the products the banks sold were consenting adults who should have known better.",no,Progressive,0,head goldman sachs lloyd blankfein made perfectly clear sophisticated investors least rely trust bought products banks sold consenting adults known better,1.0
112,Joseph E. Stiglitz,"I became convinced that the advanced industrial countries, through international organizations like the International Monetary Fund (IMF), the World Trade Organization (WTO), and the World Bank, were not only not doing all that they could to help these [developing] countries but were sometimes making their life more difficult. IMF programs had clearly worsened the East Asian crisis, and the shock therapy they had pushed in the former Soviet Union and its satellites played an important role in the failure of the transition.",no,Progressive,0,became convinced advanced industrial countries international organizations like international monetary fund imf world trade organization wto world bank could help developing countries sometimes making life difficult imf programs clearly worsened east asian crisis shock therapy pushed former soviet union satellites played important role failure transition,1.0
