,Author,Quotes,Political Orientation
240,Ben Shapiro,"The left is expert at framing debates. They have buzzwords they use to direct the debate toward unwinnable positions for you. They are tolerant, diverse, fighters for social justice; if you oppose them, by contrast, you are intolerant, xenophobic, and in favor of injustice. Now, all these terms are – to be polite – a crock, if considered as absolute moral values. The left is wildly intolerant of religious people and conservatives; that’s why they’re interested in forcing Christian bakers to cater to same-sex weddings. They are anti-intellectual diversity, particularly in areas of American life in which they predominate; that’s why they stifle conservatism on campus and in the media. And as for social justice, if social is supposed to be opposed to individual, then social justice is by definition unjust. The left’s use of magical buzzwords places you in a corner, against supposed universal values that aren’t universal or universally held.",Right
241,Ben Shapiro,"It is the left that uses the clubs of race and class to attack those on the right; it is the left that labels religious people and traditional values people rubes and simpletons,",Right
242,Ben Shapiro,"There will be no conversation in which you call me a racist, and I explain why I’m not a racist. That’s a conversation for idiots.",Right
243,Ben Shapiro,"greatest films ever made originate largely in the 1930s, 1940s, 1950s, and early 1960s",Right
244,Ben Shapiro,The combination of parental abdication and social liberalism in our schools means that kids are easy targets for nihilism and moral subjectivism.,Right
245,Ben Shapiro,"All this was lies. It was nasty, baseless, and ridiculous",Right
246,Ben Shapiro,"Their latest label for religious people is American Taliban. The left loves it. It’s meant to denigrate Christians as potential threats to world peace (although the greatest threats of the last century, Nazism and communism, were both secular).",Right
247,Ben Shapiro,No picture should lower the moral standards of those who see it.,Right
248,Ben Shapiro,"As L. Brent Bozell pointed out at the time, just because society is in decay doesn’t mean that Hollywood should be exacerbating that decay.",Right
249,Ben Shapiro,"Black culture has contributed hugely to American society: The civil rights movement brought meaning to American notions of equality and freedom; black contributions to politics, science, music, and art have helped enrich all of us. To demean these accomplishments and contributions by listing rap among them is to demean black culture as a whole.",Right
250,Ben Shapiro,Baby boomers and their music rebelled against parents because they were parents,Right
251,Ben Shapiro,But straw men are easier to knock down than real arguments.,Right
252,Ben Shapiro,"Calling you a racist and sexist, a bigot and a homophobe, gives them a sense of satisfaction with their status in the universe, even if they never help a single individual human being. This is a bully tactic. When someone calls you a racist, sexist, bigot, homophobe because you happen to disagree with them about tax policy or same-sex marriage or abortion, that’s bullying. When someone slanders you because you happen to disagree with them about global warming or the government shutdown, that’s bullying. When someone labels you a bad human being because they disagree with you, they are bullying you. They are attacking your character without justification. That’s nasty. In fact, it makes them nasty.",Right
253,Ben Shapiro,"College students’ sense of moral righteousness doesn’t come from achievement – it comes from believing that you are a bad person. You are a racist and sexist; they are not. That makes them good, even if they don’t give charity, have never met a black person, stand for policies that impoverish minority communities across the United States, and enable America-haters around the globe. It",Right
254,Ben Shapiro,"A 1992 survey by the Center for Media and Public Affairs revealed that while 81 percent of the country as a whole felt that adultery was wrong, only 49 percent of Hollywood did. While only 4 percent of the country outside of Hollywood had no religious affiliation, 45 percent of Hollywood was areligious. While 76 percent of Americans believed that homosexual acts were wrong, only 20 percent of Hollywood did; while 59 percent of the American public was pro-choice, 97 percent of Hollywood was. As Schiffer stated, We’re talking about those who by self-selection and ambition run the institutions of popular culture",Right
256,Ben Shapiro,"This type of rhetoric is all too common among secularists on the left. They paint a false dichotomy between religion and science. They say that religious people are anti-science, because science makes God irrelevant",Right
257,Ben Shapiro,"This sort of bullying isn’t just present at the universities. It has taken over the media wholesale. For the media, all arguments are character arguments. If you disagree with the members of the media about something, you are a fundamentally bad human being. The same is eminently true in Hollywood, where moral narrative is the heart of the business.",Right
258,Ben Shapiro,"The truth is that your opponent, who labels you a racist without evidence, is the actual racist: it is he who waters down the term racism until it is meaningless by labeling any argument with which he disagrees racist.",Right
259,Ben Shapiro,The best countries,Right
480,Ben Shapiro,"The new authority figures of the porn generation are many, and nearly all are members of a coarsened pop culture",Right
482,Ben Shapiro,"Here’s what presidential candidate Mitt Romney said about Barack Obama: Barack Obama is not a very good President. He said Barack Obama doesn’t do a very good job on the economy; he said that Obama’s foreign policy has a lot of holes in it; he said Obama has done a pretty poor job across the board of working in bipartisan fashion. But, Romney added, Obama’s a good guy. He’s a good family man, a good husband, a man who believes in the basic principles espoused by the Declaration of Independence and the Constitution. He is not someone you should be afraid of in any way. Essentially, Romney’s campaign slogan was this: Obama: Good Guy, Bad President.",Right
484,Ben Shapiro,"The Hays Code stated: When right standards are consistently presented, the motion picture exercises the most powerful influences. It builds character, develops right ideals, inculcates correct principles, and all this in attractive story form. If motion pictures consistently hold up for admiration high types of characters and present stories that will affect lives for the better, they can become the most powerful force for the improvement of mankind.",Right
485,Ben Shapiro,"Real-life teens wish they could live like the teens Hollywood promotes. Everyone has sex, and relationships are deep and meaningful, even if they only last a couple episodes. There are never any consequences to any action, except for experiencing the angst of teenage life alongside the characters. When a generation becomes desensitized to the ramifications of the culture around them, it’s natural to seek out any sort of feeling, even angst.",Right
486,Ben Shapiro,the Supreme Court of the United States is supposed to be free of politics. That’s why these legalistic doofuses in silly-looking robes get a lifetime appointment and a free supply of arrogance to go with it. They’re not supposed to be susceptible to bullying,Right
487,Ben Shapiro,"At my own beloved UCLA the numbers are just as frightening. There are thirty-one English professors with registered party affiliation. Twenty-nine of them are affiliated with the Democratic party, the Green party, or another leftist political party. Out of thirteen journalism professors with registered affiliation, twelve are affiliated with leftist parties. Fifty-three out of fifty-six history professors are affiliated with leftist parties. Sixteen out of seventeen political science professors are affiliated with leftist parties. Thirty-one of thirty-three women’s studies professors are affiliated with leftist parties.",Right
488,Ben Shapiro,"According to the 2010 census, just 24 percent of the American population is under age 18, compared with 39.4 percent that is 45 and older. America is aging, and aging quickly. And what of the young? Their chief concerns these days are legalization of marijuana, state-sponsored same-sex marriage and provision of birth control. If we think the demographics and economics of the country look bad now, wait until America relies on a generation of overprivileged, underachieving Americans convinced of their own moral rectitude based on a puerile libertarianism freed of libertarianism’s consequences. Sex and drugs have replaced building for the future; abortion and the welfare state have replaced consequences.",Right
489,Ben Shapiro,"Over the latter half of the twentieth century, the forces of moral relativism, radical feminism, and generational nihilism have gradually destroyed the foundation of our own greatness. Instead of adopting stronger moral standards, our society has embraced the lure of personal fulfillment.",Right
490,Ben Shapiro,"To take another example, with regard to healthcare, the left suggests that their entire goal is to make healthcare available to everyone. But they don’t mandate that a certain percentage of the population go to medical school. That’s because in order for government to guarantee a product’s availability, the government must either hire workers or force workers to get into a given industry. The government hiring workers would require paying money for doctors – and the left argues that doctors already make too much money. And the left won’t argue openly for what they would prefer: forcing people to practice medicine for patients deemed worthy by the government. Unless you are willing to force people using the law to go to medical school, you cannot have a successful universal healthcare system. That’s what they’re finding out in Britain, Canada, and Israel – all countries in which private medicine is on the rise, legally or illegally, outside government auspices.",Right
491,Ben Shapiro,The secular bullies believe they have an exclusive patent on scientific knowledge.,Right
492,Ben Shapiro,The left’s anti-bullying stance is an enormous lie. It is a purposeful lie. It is a lie designed to disguise the fact that leftists are the greatest group of bullies in American history.,Right
493,Ben Shapiro,Lasting happiness can only be achieved through cultivation of soul and mind. And cultivating our souls and minds requires us to live with moral purpose.,Right
494,Ben Shapiro,"Evil may so shape events that Caesar will occupy a palace and Christ a cross, but that same Christ will rise up and split history into A.D. and B.C., so that even the life of Caesar must be dated by his name. Yes, ‘the arc of the moral universe is long, but it bends toward justice.",Right
495,Ben Shapiro,You have to look like you’re a nice person in order for people to believe that you are a nice person. Scientific studies show that people will judge you literally within milliseconds of seeing you. Make them see what you want them to see.,Right
496,Ben Shapiro,"We don’t live in a perfect world, but we do live in the best world that has ever existed.",Right
499,Ben Shapiro,"Happiness, then, comprises four elements: individual moral purpose, individual capacity, collective moral purpose, and collective capacity.",Right
720,Ben Shapiro,1. Why do you think today’s young people are so jaded? Do you feel that the live and let live culture has corrupted our moral system? Why do you think American society rejected traditional moral values,Right
721,Ben Shapiro,That’s the way it will go because that’s how the left wins: through intimidation and cruelty. You,Right
722,Ben Shapiro,left’s favorite three lines of attack are (1) you’re stupid; (2) you’re mean; (3) you’re corrupt. Sarah,Right
723,Ben Shapiro,But it’s because conservatives don’t think about how to win that they constantly lose.,Right
724,Ben Shapiro,"And here’s what Barack Obama and his surrogates said about Mitt Romney: Mitt Romney is the worst guy since Mussolini. Mitt Romney is the guy who straps dogs to the top of cars. Mitt Romney is the kind of guy who wants to put y’all back in chains. Mitt Romney is leading a war on women and, in fact, has compiled a binder full of women that he can then use to prosecute his war. Mitt Romney is the type of guy who would specifically fire an employee so that five years later his wife would die of cancer thanks to lack of health insurance. Mitt Romney would take his money and put it in an overseas bank account specifically to deprive the American people of money. The Obama campaign slogan: Romney: Rich, Sexist, Racist Jackass.",Right
726,Ben Shapiro,"I liked George W. Bush, but his second term was a disaster area. So was much of his first term. I don’t feel the necessity to defend his Iran policy, because it was terrible. Period. Ronald Reagan was not a god. He himself would have said that. Don’t follow people. Follow principle.",Right
728,Ben Shapiro,"The fact that no military was deployed to the hot zone during the seven-hour attack was unthinkable. Military assets were just hours away in Italy. Nordstrom testified, The ferocity and intensity of the attack was nothing that we had seen in Libya, or that I had seen in my time in the Diplomatic Security Service.87 Yet aside from that one team from Tripoli, which included Glenn Doherty, there was no show of force from outside Benghazi. A special ops whistle-blower told Fox News that the military had a team ready to scramble from Croatia. That would have taken some four to six hours. The attack lasted for seven hours.88",Right
729,Ben Shapiro,"Now, twenty years later, Candice Bergen, who played Murphy Brown, admitted Quayle was right – but at the time, Quayle was running for re-election, and so he had to be wrong.",Right
730,Ben Shapiro,"For leftists, the answer to domestic violence isn’t to deal with any of the issues that could lead boys to become abusing men. The answer, instead, is to lecture Americans about the use of the word sissy",Right
731,Ben Shapiro,"Since the legally and morally despicable decision of the Supreme Court in Roe v. Wade in 1973, American women have aborted some 56 million children. The vast majority of these children have been aborted for reasons that have nothing to do with rape, incest or the health of the mother. We have destroyed an entire generation of children purely for self-worship. Children are difficult; therefore, they can be done away with. Children are burdensome; therefore, they don’t exist in the womb.",Right
732,Ben Shapiro,"The goal: to convince young people that while they aren’t overtly racist, they hold secret racist beliefs that can only be cleansed by embracing the leftist agenda.",Right
733,Ben Shapiro,"The attempt [by the far-left] to boil down fascism to 'anything I don't like' is simply idiotic. Which is more fascist: Christina Hoff Sommers coming to speak about the lies of the feminist movement, or the people who are suggesting that they should actually be able to shut down her lecture by use of force?That seems a little more fascist to me.",Right
734,Ben Shapiro,"If Obama learned one thing from FDR, it was that every socialist needs his foot soldiers. And what better place to get them than the unions?",Right
735,Ben Shapiro,"After nearly half a century, it’s easy to forget that the Hays Code was not some outside limitation imposed by the government. It was a content standard imposed by motion picture companies voluntarily.",Right
738,Ben Shapiro,"SHAPIRO: This is astonishing. MORGAN: What’s astonishing? SHAPIRO: What’s astonishing about it is for weeks now, you have been saying that anybody who disagrees with your position is absurd, idiotic, and doesn’t care about the dead kids in Sandy Hook. And then when I say that it’s a bullying tactic, you turn around and that say I’m bullying you for saying that. It’s absurd. It’s ridiculous.",Right
739,Ben Shapiro,"When facts become secondary to emotion, truth dies. And a society that doesn’t value truth cannot survive.",Right
960,Ben Shapiro,"The Institutional Takeover The leftist bullies have taken over the major institutions of the United States. The university system has been monopolized by a group of folks who believe that it’s no longer worthwhile debating the evidence on tax rates, or whether the Laffer curve is right, or whether Keynesian policies actually promote economic growth. They don’t want to debate those issues. What they want to teach instead is that is you are personally ignorant, bigoted, corrupt, and mean if you disagree with them. Their opinions are not opinions; they are fact. This is the hallmark of being stuck inside a bubble. The people who occupy the professoriate have not had to work a real job – a job with real-world consequences -- in over 30 years. They’ve lived on a campus where everyone agrees with them, convincing them that their beliefs are universally-held. Anyone who disagrees is a flat earther. Anyone who disagrees is a monster. You are a monster.",Right
961,Ben Shapiro,"That’s how social standards work for the left: If you have the right politics, you can get away with anything. If you have the wrong ones, it’ll ignore its own hypocrisy to nail you to the wall.",Right
963,Ben Shapiro,There are almost invariably unbridgeable inconsistencies in the left’s publicly stated positions that are at war with their actual fundamental principles. Your goal is to make the left admit once and for all what they believe about policy by exposing those inconsistencies.,Right
964,Ben Shapiro,The left consistently bullies those who disagree with them by claiming they’re sexist and heteronormative.,Right
966,Ben Shapiro,Concerned about the societal fallout from sexual promiscuity? Mind your own business. Worried about the rise of single motherhood? Mind your own business. Upset about an epidemic of young people seemingly willing to trade the responsibilities of adulthood for an infantilized freedom? Mind your own business.,Right
967,Ben Shapiro,Hypocrisy as humor pushes destruction of standards.,Right
968,Ben Shapiro,"We’re damned if we do stay home and we’re damned if we don’t. We’re damned because we conservative moms drive the Left and its feminist shills mad with our mere existence, our exercise of free will, our fierce belief in protecting our families from the Nanny State, our embrace of free-market principles, and our rejection of the perpetual victim/grievance mentality.",Right
969,Ben Shapiro,"Abortion is a real moral issue with real lives at stake, and no amount of leftist badgering could back conservative Americans off their attempts to protect the unborn.",Right
970,Ben Shapiro,"The Founding Fathers were devotees of Cicero and Locke, of the Bible and Aristotle.",Right
971,Ben Shapiro,Don’t get caught in the trap of believing you have to know everything about everything,Right
972,Ben Shapiro,"Turning a blind eye to evil, however, doesn’t make it disappear. It allows it to grow. And those who allow evil to grow in order to protect their own convenience will be held accountable for the end results of the evil they facilitate.",Right
973,Ben Shapiro,"Okay guys, this is epic!",Right
974,Ben Shapiro,"The Passions of men, Hobbes writes, are commonly more potent than their Reason. Reason cannot bring happiness, nor can it be used as the goal of a philosophical life. There is no happiness. There is only striving and security and passion. Reason cannot save us from the war of all against all; only the Leviathan, the power of the state, can.21",Right
978,Ben Shapiro,"Conservatives understand that politics simply reflect underlying values. That’s why they are passionate. They don’t vote their pocketbooks. They vote their guts, and their guts tell them that leftism is immoral on the most basic level.",Right
979,Ben Shapiro,Let It Go' is the most popular song for kids in America and it has the Lady GaGa message.,Right
1200,Ben Shapiro,Rule #2: Hit First. Don’t take the punch first. Hit first. Hit hard. Hit where it counts. Mike,Right
1201,Ben Shapiro,"I would have said, Why do you have to use victims to illustrate your point? Why can’t you just convince me on the basis of the evidence that what you’re proposing is the right solution for America?",Right
1202,Ben Shapiro,"The creation story itself is designed to demonstrate how the first man, Adam, used his innate power of choice wrongly",Right
1203,Ben Shapiro,"You know what's fun? Christmas lights. They are twinkly an pretty and they make me happy, because they are twinkly and pretty.",Right
1204,Ben Shapiro,"As a society, we have robbed men of their protective missions. Men who seek to protect women and children are called anti-feminist, gender normative. Men have abandoned their responsibilities to the state. As for building things",Right
1205,Ben Shapiro,"We believe freedom is built upon the twin notions that God created every human in His image, and that human beings are capable of investigating and exploring God’s world. Those notions were born in Jerusalem and Athens, respectively.",Right
1206,Ben Shapiro,"What does this mean for human beings? What makes a man virtuous is his capacity to engage in the activities that make him a man, not an animal",Right
1207,Ben Shapiro,"Instead, morality must be boiled down to mere competition of interests, and the desire of human beings to avoid suffering and untimely death. In a state of nature, nothing can be Unjust. The notions of Right and Wrong, Justice and Injustice have there no place. Where there is no common Power, there is no Law; where no Law, no Injustice.5 If moral relativism began anywhere, it began in Hobbes.",Right
1210,Ben Shapiro,"Rule #6: Force Leftists to Answer Questions. This is really just a corollary of Rule #4. Leftists are only comfortable when they are forcing you to answer questions. If they have to answer questions, they begin to scratch their heads. The questions they prefer to ask are about your character; the questions they prefer not to answer are all of them. Instead, they like to dodge issues in favor of those character arguments. If you force a leftist to answer whether he or she would prefer to give up mom or dad in the name of political correctness – after all, all families are equal, so what difference does it make? – they will avoid. If you force a leftist to answer whether they would force churches to perform same-sex marriages, they will avoid. If you force a leftist to answer why we should all give up our nice cars while the Chinese and Russians continue to dump toxic waste into the atmosphere, they will avoid.",Right
1212,Ben Shapiro,"This is what makes leftists leftists: an unearned sense of moral superiority over you. And if they can instill that sense of moral superiority in others by making you the bad guy, they will. People on the left are taught from childhood that they are better than conservatives – it makes them feel good to hate conservatives. And that hatred is justified because, after all, conservatives are bigots.",Right
1213,Ben Shapiro,"There are truly only three situations in which debating someone on the left is worthwhile. First, you must: your grade depends on it, or your waiter threatens to spit in your food unless you tell him why same-sex marriage is a detriment to Western civilization. Second, you found an honest leftist actually willing to be convinced by solid argumentation. Congratulations! You found him. He actually wants to sit down and have an evidence-based conversation with you; you want to have an evidenced based conversation with him. Everything is just hunky dory! Then you ride off on your separate unicorns. Third, you should debate a leftist if there is an audience. The goal of the debate will not be to win over the leftist, or to convince him or her, or to be friends with him or her. That person already disagrees with you, and they’re not going to be convinced by your words of wisdom and your sparkling rhetorical flourishes. The goal will be to destroy the leftist in as public a way as is humanly possible.",Right
1215,Ben Shapiro,"The Left had to go searching for a new civil-rights struggle with which to cram conservatives back into their victimizer cubbyhole. The Left now pushes against civil rights in its ignorant search for the new struggle. There was, however, one problem: All the good civil-rights issues have been dealt with already. And so the Left, which focuses all of its efforts on social issues, was relegated to pushing crime-increasing myths about the evils of cops; the celebrities were forced to pretend that men peeing next to women was the next great Martin Luther King, Jr.–style struggle.",Right
1216,Ben Shapiro,"In preparation for the Days of Rage, the Weathermen met with representatives of North Vietnam in Cuba to train them in tactics. The North Vietnamese promptly asked them to start a war on U.S. soil. The Weathermen would be only too happy to oblige.",Right
1217,Ben Shapiro,"The Weathermen eventually became the Weathermen Underground, bombing police stations, the Pentagon, the homes of private citizens",Right
1218,Ben Shapiro,"So instead of telling the truth about Oswald, LBJ twisted it, standing on JFK’s coffin to ram through his legislative agenda.",Right
1219,Ben Shapiro,"Within a few years, the entire automobile workforce was unionized",Right
1440,Ben Shapiro,"We were willing to stay quiet if we could have our E Pluribus Unum. But it hasn’t worked. We haven’t been left in peace. For every inch we’ve given to the left, they’ve sought to bully us into handing over a mile. That must end now.",Right
1443,Ben Shapiro,There was no question about that. Bullies can’t deal with those who stand up to them.,Right
1444,Ben Shapiro,"Conservatives have allowed liberals to win the culture war because we’re generally civil people. When the left says we’re uncivil, we tend to shy away from the fight rather than, as Andrew put it, walking toward the fire.",Right
1445,Ben Shapiro,"So she called in. After first convincing several producers that she was, in fact, Soledad Ramirez, and had no intention of screaming bababooey live on air, they let",Right
1449,Ben Shapiro,"Andrew used to say you have to embrace the fight, walk toward the fire. He would explain that you are going to get hit with the slings and arrows of outrageous fortune no matter which way you turn. You can try to hide from the attacks of the left; you can run away from them, attempt to ignore them, pretend that the left has reached some sort of quasi-consensus in which they live and let live. That will last until the protesters are outside your business, the government regulators are outside your house, or the administrators are inside your child’s classroom. Then you’ll realize that while you were willing to let live, the left simply wasn’t.",Right
1452,Ben Shapiro,"There is no way to convince someone that you don’t hate him or her. You can convince him or her, however, that your opposition is a liar and a hater. When",Right
1456,Ben Shapiro,"This is why it’s so comfortable to be on the left: that unearned sense of moral superiority. Unearned,",Right
1459,Ben Shapiro,"The reason that conservatives lost the 2012 election was garishly simple: most people in America don’t follow politics that closely. What they see about the various candidates are what the candidates say about each other, and what the media say about the candidates.",Right
1680,Ben Shapiro,"So, let’s assume for a moment that you’re a typical American voter: you care more about Miley Cyrus twerking on the Video Music Awards than you do about the vagaries of Obamacare. Let’s assume all you’ve really seen about the elections is the coverage in the mainstream press and what the candidates said about each other during the debates.",Right
1681,Ben Shapiro,"Now, back to the American voter. Let’s assume you’ve been watching this messaging battle, and now you have two choices: Barack Obama, Not a Very Good President vs. Mitt Romney, The Worst Guy Ever. Who are you going to vote for? Most people would pick nice guy, bad politician over Mussolini. And they did.",Right
1682,Ben Shapiro,"Now, that’s not because Barack Obama is a warm and fuzzy guy. Even those who surround Barack Obama all day describe him as a cold fish. Obama is not someone who will bring over a bowl of chicken soup when you have the flu; he’s not even the guy who will drive you to the airport when it inconveniences him. Yet, somehow, he was considered the more empathetic of the two candidates. Why? Because Romney was perceived as so darn mean.",Right
1683,Ben Shapiro,"Rule #3: Frame Your Opponent. I have argued that the left’s entire playbook consists of a single play: characterizing the opposition. It’s incredibly effective. And the only way to get beyond character arguments is to frame your opponent – make it toxic for your opponent to slur you. Then, hopefully, you can move the debate to more substantive territory. This is the vital first step. It is the only first step. It is the reason that the right consistently loses the black and Hispanic vote – not because the right’s policies are so abhorrent to blacks and Hispanics, but because blacks and Hispanics have been told for generations that conservatives hate them.",Right
1684,Ben Shapiro,"On same-sex marriage, the question is not how same-sex marriage hurts your marriage – that’s a nonsensical and stupid question, like asking how enslavement of others hurts you personally. The question is whether a child needs a mother and a father. The question is not whether two people who love each other should be given state sanction – even the left recognizes that such a definition is too broad, given that it would include incestuous relationships. The question is why marriage should be redefined, and how same-sex marriage will strengthen the institution.",Right
1685,Ben Shapiro,"The left’s arguments are chock full of inconsistencies. Internal inconsistencies – inconsistencies that are inherent to the left’s general worldview. That’s because very few people on the left will acknowledge their actual agenda, which is quite extreme. Leftists prefer to argue half-measures in which they don’t truly believe. For example, they say they want to ban assault weapons to stop gun murders. But that argument is silly, because handguns are used to kill far more people than so-called assault weapons. And yet the left won’t argue in favor of a blanket gun ban, because they know they will lose.",Right
1686,Ben Shapiro,"You may notice when arguing with someone on the left that every time you begin to make a point, that leftist begins shouting about George W. Bush. It’s like Leftist Tourette’s Syndrome. Why did Obama blow out the budget? BUUUUUUUSHHHH!!!!!",Right
1687,Ben Shapiro,"Conservatives get trapped in this gambit routinely, because they figure that the enemy of their enemy is their friend: if the left is attacking someone, he must be worth defending. But that’s not true. I liked George W. Bush, but his second term was a disaster area. So was much of his first term. I don’t feel the necessity to defend his Iran policy, because it was terrible. Period.",Right
1688,Ben Shapiro,"According to Scientific American, people watching TV reported feeling relaxed and passive. The EEG studies similarly show less mental stimulation, as measured by alpha brain-wave production, during viewing than during reading. . . . Habit-forming drugs work in similar ways. In short, scientists conclude that TV does seem to meet the criteria for substance dependence.1",Right
1689,Ben Shapiro,"As Gelbart told me about four months before he passed away, William S. Paley said television was the best cigarette vending machine that anybody ever thought of, and that’s still pretty much what it is. I’d just like to see it grow up, and really be the best thing it can be.7",Right
1690,Ben Shapiro,from nonprofit organizations to push Obamacare,Right
1693,Ben Shapiro,"In 2009, Obama surrogate Jim Messina told Democratic Senators that they could defend Obamacare as stridently as possible – because, after all, If you get hit, Messina said, we will punch back twice as hard.",Right
1694,Ben Shapiro,"young go into the profession with dread, the old can scarcely wait for retirement, and those of the middle years yearn for sabbaticals.",Right
1695,Ben Shapiro,"And chances are that if you wanted to do well in that final, citing Ayn Rand probably wasn’t the best strategy.",Right
1696,Ben Shapiro,"Only the left sees terms like flag-waver, jingoist, and super-patriot as insults. Patriotism, in their view, is bad. They don’t believe this, because they’re globalists.",Right
1697,Ben Shapiro,It was one thing to suggest that Bush had lied America into a war for oil. It was another to speak while Obama was speaking.,Right
1698,Ben Shapiro,"Young liberals call for tolerance because they want to promulgate a lifestyle, in other words; young conservatives call for tolerance because they actually believe in tolerance, even of lifestyle choices with which they disagree. In return, young conservatives demand that their opponents mind their own business.Tolerance is a moral touchstone, then, for young Americans on both the left and the right, but for different reasons.",Right
1699,Ben Shapiro,"In reality, the Democratic vision of the world centers on the notion that work itself is a great evil to be avoided, and that any program allowing people to free themselves of work",Right
1920,Ben Shapiro,"Socialism states that you owe me something simply because I exist. Capitalism, by contrast, results in a sort of reality-forced altruism: I may not want to help you, I may dislike you, but if I don’t give you a product or service you want, I will starve.",Right
1921,Ben Shapiro,So what is the moral case for capitalism? It lies in recognition that socialism isn’t a great idea gone wrong,Right
1922,Ben Shapiro,"This is why conservatives lose. They lose because while they proclaim that Obama’s signature legislation fails on the merits, raising costs and lowering access to vital services, the left surges forth with a different message: Conservatives are rotten to the core.",Right
1923,Ben Shapiro,"Feelings matter more than action. Words matter more than harming others. That sets a radically dangerous precedent for freedom of thought and speech, particularly for those whose thought and speech we hate. Freedom of speech and thought matters especially when it is speech and thought with which we disagree. The moment the majority decides to destroy people for engaging in thought it dislikes, thoughtcrime becomes a reality.",Right
1924,Ben Shapiro,"It’s because black, Hispanic and Native-American children are disproportionately likely to live with single mothers. And children living with single mothers misbehave more often than those living with fathers. A study from Great Britain of 14,000 children showed that children were twice as likely to manifest behavioral problems by the age of 7 than those raised by their natural parents. Those numbers continue to diverge as children grow older.",Right
1925,Ben Shapiro,"those who suffer from gender dysphoria may not be suffering from societal bigotry, but from something far deeper and more dangerous, and that physical mutilation and stumping for tolerance will not solve their problems.",Right
1926,Ben Shapiro,Raising awareness is praiseworthy,Right
1927,Ben Shapiro,"The real solution to domestic abuse is twofold: punishing it to the greatest possible extent, and yes, raising young men differently. But to state that the greatest risk factor for future domestic violence is insulting other boys as throwing like girls is pure idiocy. No man has ever hit a woman because she throws like a girl. But plenty of young men have hit women because they had no moral compass and did not believe in basic concepts of virtue",Right
1932,Ben Shapiro,he did it by bringing on folks from the right and then suggesting that they were evil for disagreeing with him.,Right
1933,Ben Shapiro,Bullies: How the Left’s Culture of Fear and Intimidation Silences Americans.,Right
1934,Ben Shapiro,"I think we can have a rational, political conversation about balancing rights and risks and rewards of all of these different policies, but I don’t think that what we need to do is demonize people on the other side as being unfeeling about what happened at Sandy Hook.",Right
