,Unnamed: 0,Author,Quotes,Political Orientation,auto,texicity,rep
25,247,Ben Shapiro,No picture should lower the moral standards of those who see it.,Right,0,picture lower moral standards see,1
26,248,Ben Shapiro,"As L. Brent Bozell pointed out at the time, just because society is in decay doesn’t mean that Hollywood should be exacerbating that decay.",Right,0,l brent bozell pointed time society decay mean hollywood exacerbating decay,1
27,249,Ben Shapiro,"Black culture has contributed hugely to American society: The civil rights movement brought meaning to American notions of equality and freedom; black contributions to politics, science, music, and art have helped enrich all of us. To demean these accomplishments and contributions by listing rap among them is to demean black culture as a whole.",Right,0,black culture contributed hugely american society civil rights movement brought meaning american notions equality freedom black contributions politics science music art helped enrich us demean accomplishments contributions listing rap among demean black culture whole,1
28,250,Ben Shapiro,Baby boomers and their music rebelled against parents because they were parents,Right,0,baby boomers music rebelled parents parents,1
29,251,Ben Shapiro,But straw men are easier to knock down than real arguments.,Right,0,straw men easier knock real arguments,1
30,252,Ben Shapiro,"Calling you a racist and sexist, a bigot and a homophobe, gives them a sense of satisfaction with their status in the universe, even if they never help a single individual human being. This is a bully tactic. When someone calls you a racist, sexist, bigot, homophobe because you happen to disagree with them about tax policy or same-sex marriage or abortion, that’s bullying. When someone slanders you because you happen to disagree with them about global warming or the government shutdown, that’s bullying. When someone labels you a bad human being because they disagree with you, they are bullying you. They are attacking your character without justification. That’s nasty. In fact, it makes them nasty.",Right,0,calling racist sexist bigot homophobe gives sense satisfaction status universe even never help single individual human bully tactic someone calls racist sexist bigot homophobe happen disagree tax policy sex marriage abortion bullying someone slanders happen disagree global warming government shutdown bullying someone labels bad human disagree bullying attacking character without justification nasty fact makes nasty,1
31,253,Ben Shapiro,"College students’ sense of moral righteousness doesn’t come from achievement – it comes from believing that you are a bad person. You are a racist and sexist; they are not. That makes them good, even if they don’t give charity, have never met a black person, stand for policies that impoverish minority communities across the United States, and enable America-haters around the globe. It",Right,0,college students sense moral righteousness come achievement comes believing bad person racist sexist makes good even give charity never met black person stand policies impoverish minority communities across united states enable america haters around globe,1
32,254,Ben Shapiro,"A 1992 survey by the Center for Media and Public Affairs revealed that while 81 percent of the country as a whole felt that adultery was wrong, only 49 percent of Hollywood did. While only 4 percent of the country outside of Hollywood had no religious affiliation, 45 percent of Hollywood was areligious. While 76 percent of Americans believed that homosexual acts were wrong, only 20 percent of Hollywood did; while 59 percent of the American public was pro-choice, 97 percent of Hollywood was. As Schiffer stated, We’re talking about those who by self-selection and ambition run the institutions of popular culture",Right,0,1992 survey center media public affairs revealed 81 percent country whole felt adultery wrong 49 percent hollywood 4 percent country outside hollywood religious affiliation 45 percent hollywood areligious 76 percent americans believed homosexual acts wrong 20 percent hollywood 59 percent american public pro choice 97 percent hollywood schiffer stated talking self selection ambition run institutions popular culture,1
33,256,Ben Shapiro,"This type of rhetoric is all too common among secularists on the left. They paint a false dichotomy between religion and science. They say that religious people are anti-science, because science makes God irrelevant",Right,0,type rhetoric common among secularists left paint false dichotomy religion science say religious people anti science science makes god irrelevant,1
34,257,Ben Shapiro,"This sort of bullying isn’t just present at the universities. It has taken over the media wholesale. For the media, all arguments are character arguments. If you disagree with the members of the media about something, you are a fundamentally bad human being. The same is eminently true in Hollywood, where moral narrative is the heart of the business.",Right,0,sort bullying present universities taken media wholesale media arguments character arguments disagree members media something fundamentally bad human eminently true hollywood moral narrative heart business,1
35,258,Ben Shapiro,"The truth is that your opponent, who labels you a racist without evidence, is the actual racist: it is he who waters down the term racism until it is meaningless by labeling any argument with which he disagrees racist.",Right,0,truth opponent labels racist without evidence actual racist waters term racism meaningless labeling argument disagrees racist,1
36,259,Ben Shapiro,The best countries,Right,0,best countries,1
37,480,Ben Shapiro,"The new authority figures of the porn generation are many, and nearly all are members of a coarsened pop culture",Right,0,new authority figures porn generation many nearly members coarsened pop culture,1
38,482,Ben Shapiro,"Here’s what presidential candidate Mitt Romney said about Barack Obama: Barack Obama is not a very good President. He said Barack Obama doesn’t do a very good job on the economy; he said that Obama’s foreign policy has a lot of holes in it; he said Obama has done a pretty poor job across the board of working in bipartisan fashion. But, Romney added, Obama’s a good guy. He’s a good family man, a good husband, a man who believes in the basic principles espoused by the Declaration of Independence and the Constitution. He is not someone you should be afraid of in any way. Essentially, Romney’s campaign slogan was this: Obama: Good Guy, Bad President.",Right,0,presidential candidate mitt romney said barack obama barack obama good president said barack obama good job economy said obama foreign policy lot holes said obama done pretty poor job across board working bipartisan fashion romney added obama good guy good family man good husband man believes basic principles espoused declaration independence constitution someone afraid way essentially romney campaign slogan obama good guy bad president,1
39,484,Ben Shapiro,"The Hays Code stated: When right standards are consistently presented, the motion picture exercises the most powerful influences. It builds character, develops right ideals, inculcates correct principles, and all this in attractive story form. If motion pictures consistently hold up for admiration high types of characters and present stories that will affect lives for the better, they can become the most powerful force for the improvement of mankind.",Right,0,hays code stated right standards consistently presented motion picture exercises powerful influences builds character develops right ideals inculcates correct principles attractive story form motion pictures consistently hold admiration high types characters present stories affect lives better become powerful force improvement mankind,1
40,485,Ben Shapiro,"Real-life teens wish they could live like the teens Hollywood promotes. Everyone has sex, and relationships are deep and meaningful, even if they only last a couple episodes. There are never any consequences to any action, except for experiencing the angst of teenage life alongside the characters. When a generation becomes desensitized to the ramifications of the culture around them, it’s natural to seek out any sort of feeling, even angst.",Right,0,real life teens wish could live like teens hollywood promotes everyone sex relationships deep meaningful even last couple episodes never consequences action except experiencing angst teenage life alongside characters generation becomes desensitized ramifications culture around natural seek sort feeling even angst,1
41,486,Ben Shapiro,the Supreme Court of the United States is supposed to be free of politics. That’s why these legalistic doofuses in silly-looking robes get a lifetime appointment and a free supply of arrogance to go with it. They’re not supposed to be susceptible to bullying,Right,0,supreme court united states supposed free politics legalistic doofuses silly looking robes get lifetime appointment free supply arrogance go supposed susceptible bullying,1
42,487,Ben Shapiro,"At my own beloved UCLA the numbers are just as frightening. There are thirty-one English professors with registered party affiliation. Twenty-nine of them are affiliated with the Democratic party, the Green party, or another leftist political party. Out of thirteen journalism professors with registered affiliation, twelve are affiliated with leftist parties. Fifty-three out of fifty-six history professors are affiliated with leftist parties. Sixteen out of seventeen political science professors are affiliated with leftist parties. Thirty-one of thirty-three women’s studies professors are affiliated with leftist parties.",Right,0,beloved ucla numbers frightening thirty one english professors registered party affiliation twenty nine affiliated democratic party green party another leftist political party thirteen journalism professors registered affiliation twelve affiliated leftist parties fifty three fifty six history professors affiliated leftist parties sixteen seventeen political science professors affiliated leftist parties thirty one thirty three women studies professors affiliated leftist parties,1
43,488,Ben Shapiro,"According to the 2010 census, just 24 percent of the American population is under age 18, compared with 39.4 percent that is 45 and older. America is aging, and aging quickly. And what of the young? Their chief concerns these days are legalization of marijuana, state-sponsored same-sex marriage and provision of birth control. If we think the demographics and economics of the country look bad now, wait until America relies on a generation of overprivileged, underachieving Americans convinced of their own moral rectitude based on a puerile libertarianism freed of libertarianism’s consequences. Sex and drugs have replaced building for the future; abortion and the welfare state have replaced consequences.",Right,0,according 2010 census 24 percent american population age 18 compared 39 4 percent 45 older america aging aging quickly young chief concerns days legalization marijuana state sponsored sex marriage provision birth control think demographics economics country look bad wait america relies generation overprivileged underachieving americans convinced moral rectitude based puerile libertarianism freed libertarianism consequences sex drugs replaced building future abortion welfare state replaced consequences,1
44,489,Ben Shapiro,"Over the latter half of the twentieth century, the forces of moral relativism, radical feminism, and generational nihilism have gradually destroyed the foundation of our own greatness. Instead of adopting stronger moral standards, our society has embraced the lure of personal fulfillment.",Right,0,latter half twentieth century forces moral relativism radical feminism generational nihilism gradually destroyed foundation greatness instead adopting stronger moral standards society embraced lure personal fulfillment,1
45,490,Ben Shapiro,"To take another example, with regard to healthcare, the left suggests that their entire goal is to make healthcare available to everyone. But they don’t mandate that a certain percentage of the population go to medical school. That’s because in order for government to guarantee a product’s availability, the government must either hire workers or force workers to get into a given industry. The government hiring workers would require paying money for doctors – and the left argues that doctors already make too much money. And the left won’t argue openly for what they would prefer: forcing people to practice medicine for patients deemed worthy by the government. Unless you are willing to force people using the law to go to medical school, you cannot have a successful universal healthcare system. That’s what they’re finding out in Britain, Canada, and Israel – all countries in which private medicine is on the rise, legally or illegally, outside government auspices.",Right,0,take another example regard healthcare left suggests entire goal make healthcare available everyone mandate certain percentage population go medical school order government guarantee product availability government must either hire workers force workers get given industry government hiring workers would require paying money doctors left argues doctors already make much money left argue openly would prefer forcing people practice medicine patients deemed worthy government unless willing force people using law go medical school cannot successful universal healthcare system finding britain canada israel countries private medicine rise legally illegally outside government auspices,1
46,491,Ben Shapiro,The secular bullies believe they have an exclusive patent on scientific knowledge.,Right,0,secular bullies believe exclusive patent scientific knowledge,1
47,492,Ben Shapiro,The left’s anti-bullying stance is an enormous lie. It is a purposeful lie. It is a lie designed to disguise the fact that leftists are the greatest group of bullies in American history.,Right,0,left anti bullying stance enormous lie purposeful lie lie designed disguise fact leftists greatest group bullies american history,1
48,493,Ben Shapiro,Lasting happiness can only be achieved through cultivation of soul and mind. And cultivating our souls and minds requires us to live with moral purpose.,Right,0,lasting happiness achieved cultivation soul mind cultivating souls minds requires us live moral purpose,1
49,494,Ben Shapiro,"Evil may so shape events that Caesar will occupy a palace and Christ a cross, but that same Christ will rise up and split history into A.D. and B.C., so that even the life of Caesar must be dated by his name. Yes, ‘the arc of the moral universe is long, but it bends toward justice.",Right,0,evil may shape events caesar occupy palace christ cross christ rise split history b c even life caesar must dated name yes arc moral universe long bends toward justice,1
50,495,Ben Shapiro,You have to look like you’re a nice person in order for people to believe that you are a nice person. Scientific studies show that people will judge you literally within milliseconds of seeing you. Make them see what you want them to see.,Right,0,look like nice person order people believe nice person scientific studies show people judge literally within milliseconds seeing make see want see,1
51,496,Ben Shapiro,"We don’t live in a perfect world, but we do live in the best world that has ever existed.",Right,0,live perfect world live best world ever existed,1
52,499,Ben Shapiro,"Happiness, then, comprises four elements: individual moral purpose, individual capacity, collective moral purpose, and collective capacity.",Right,0,happiness comprises four elements individual moral purpose individual capacity collective moral purpose collective capacity,1
53,720,Ben Shapiro,1. Why do you think today’s young people are so jaded? Do you feel that the live and let live culture has corrupted our moral system? Why do you think American society rejected traditional moral values,Right,0,1 think today young people jaded feel live let live culture corrupted moral system think american society rejected traditional moral values,1
54,721,Ben Shapiro,That’s the way it will go because that’s how the left wins: through intimidation and cruelty. You,Right,0,way go left wins intimidation cruelty,2
55,722,Ben Shapiro,left’s favorite three lines of attack are (1) you’re stupid; (2) you’re mean; (3) you’re corrupt. Sarah,Right,0,left favorite three lines attack 1 stupid 2 mean 3 corrupt sarah,1
56,723,Ben Shapiro,But it’s because conservatives don’t think about how to win that they constantly lose.,Right,0,conservatives think win constantly lose,1
57,724,Ben Shapiro,"And here’s what Barack Obama and his surrogates said about Mitt Romney: Mitt Romney is the worst guy since Mussolini. Mitt Romney is the guy who straps dogs to the top of cars. Mitt Romney is the kind of guy who wants to put y’all back in chains. Mitt Romney is leading a war on women and, in fact, has compiled a binder full of women that he can then use to prosecute his war. Mitt Romney is the type of guy who would specifically fire an employee so that five years later his wife would die of cancer thanks to lack of health insurance. Mitt Romney would take his money and put it in an overseas bank account specifically to deprive the American people of money. The Obama campaign slogan: Romney: Rich, Sexist, Racist Jackass.",Right,0,barack obama surrogates said mitt romney mitt romney worst guy since mussolini mitt romney guy straps dogs top cars mitt romney kind guy wants put back chains mitt romney leading war women fact compiled binder full women use prosecute war mitt romney type guy would specifically fire employee five years later wife would die cancer thanks lack health insurance mitt romney would take money put overseas bank account specifically deprive american people money obama campaign slogan romney rich sexist racist jackass,1
59,728,Ben Shapiro,"The fact that no military was deployed to the hot zone during the seven-hour attack was unthinkable. Military assets were just hours away in Italy. Nordstrom testified, The ferocity and intensity of the attack was nothing that we had seen in Libya, or that I had seen in my time in the Diplomatic Security Service.87 Yet aside from that one team from Tripoli, which included Glenn Doherty, there was no show of force from outside Benghazi. A special ops whistle-blower told Fox News that the military had a team ready to scramble from Croatia. That would have taken some four to six hours. The attack lasted for seven hours.88",Right,0,fact military deployed hot zone seven hour attack unthinkable military assets hours away italy nordstrom testified ferocity intensity attack nothing seen libya seen time diplomatic security service 87 yet aside one team tripoli included glenn doherty show force outside benghazi special ops whistle blower told fox news military team ready scramble croatia would taken four six hours attack lasted seven hours 88,1
60,729,Ben Shapiro,"Now, twenty years later, Candice Bergen, who played Murphy Brown, admitted Quayle was right – but at the time, Quayle was running for re-election, and so he had to be wrong.",Right,0,twenty years later candice bergen played murphy brown admitted quayle right time quayle running election wrong,1
61,730,Ben Shapiro,"For leftists, the answer to domestic violence isn’t to deal with any of the issues that could lead boys to become abusing men. The answer, instead, is to lecture Americans about the use of the word sissy",Right,0,leftists answer domestic violence deal issues could lead boys become abusing men answer instead lecture americans use word sissy,1
62,731,Ben Shapiro,"Since the legally and morally despicable decision of the Supreme Court in Roe v. Wade in 1973, American women have aborted some 56 million children. The vast majority of these children have been aborted for reasons that have nothing to do with rape, incest or the health of the mother. We have destroyed an entire generation of children purely for self-worship. Children are difficult; therefore, they can be done away with. Children are burdensome; therefore, they don’t exist in the womb.",Right,0,since legally morally despicable decision supreme court roe v wade 1973 american women aborted 56 million children vast majority children aborted reasons nothing rape incest health mother destroyed entire generation children purely self worship children difficult therefore done away children burdensome therefore exist womb,1
63,732,Ben Shapiro,"The goal: to convince young people that while they aren’t overtly racist, they hold secret racist beliefs that can only be cleansed by embracing the leftist agenda.",Right,0,goal convince young people overtly racist hold secret racist beliefs cleansed embracing leftist agenda,1
64,733,Ben Shapiro,"The attempt [by the far-left] to boil down fascism to 'anything I don't like' is simply idiotic. Which is more fascist: Christina Hoff Sommers coming to speak about the lies of the feminist movement, or the people who are suggesting that they should actually be able to shut down her lecture by use of force?That seems a little more fascist to me.",Right,0,attempt far left boil fascism anything like simply idiotic fascist christina hoff sommers coming speak lies feminist movement people suggesting actually able shut lecture use force seems little fascist,1
65,734,Ben Shapiro,"If Obama learned one thing from FDR, it was that every socialist needs his foot soldiers. And what better place to get them than the unions?",Right,0,obama learned one thing fdr every socialist needs foot soldiers better place get unions,1
66,735,Ben Shapiro,"After nearly half a century, it’s easy to forget that the Hays Code was not some outside limitation imposed by the government. It was a content standard imposed by motion picture companies voluntarily.",Right,0,nearly half century easy forget hays code outside limitation imposed government content standard imposed motion picture companies voluntarily,1
67,738,Ben Shapiro,"SHAPIRO: This is astonishing. MORGAN: What’s astonishing? SHAPIRO: What’s astonishing about it is for weeks now, you have been saying that anybody who disagrees with your position is absurd, idiotic, and doesn’t care about the dead kids in Sandy Hook. And then when I say that it’s a bullying tactic, you turn around and that say I’m bullying you for saying that. It’s absurd. It’s ridiculous.",Right,0,shapiro astonishing morgan astonishing shapiro astonishing weeks saying anybody disagrees position absurd idiotic care dead kids sandy hook say bullying tactic turn around say bullying saying absurd ridiculous,1
68,739,Ben Shapiro,"When facts become secondary to emotion, truth dies. And a society that doesn’t value truth cannot survive.",Right,0,facts become secondary emotion truth dies society value truth cannot survive,1
69,960,Ben Shapiro,"The Institutional Takeover The leftist bullies have taken over the major institutions of the United States. The university system has been monopolized by a group of folks who believe that it’s no longer worthwhile debating the evidence on tax rates, or whether the Laffer curve is right, or whether Keynesian policies actually promote economic growth. They don’t want to debate those issues. What they want to teach instead is that is you are personally ignorant, bigoted, corrupt, and mean if you disagree with them. Their opinions are not opinions; they are fact. This is the hallmark of being stuck inside a bubble. The people who occupy the professoriate have not had to work a real job – a job with real-world consequences -- in over 30 years. They’ve lived on a campus where everyone agrees with them, convincing them that their beliefs are universally-held. Anyone who disagrees is a flat earther. Anyone who disagrees is a monster. You are a monster.",Right,0,institutional takeover leftist bullies taken major institutions united states university system monopolized group folks believe longer worthwhile debating evidence tax rates whether laffer curve right whether keynesian policies actually promote economic growth want debate issues want teach instead personally ignorant bigoted corrupt mean disagree opinions opinions fact hallmark stuck inside bubble people occupy professoriate work real job job real world consequences 30 years lived campus everyone agrees convincing beliefs universally held anyone disagrees flat earther anyone disagrees monster monster,1
70,961,Ben Shapiro,"That’s how social standards work for the left: If you have the right politics, you can get away with anything. If you have the wrong ones, it’ll ignore its own hypocrisy to nail you to the wall.",Right,0,social standards work left right politics get away anything wrong ones ignore hypocrisy nail wall,1
71,963,Ben Shapiro,There are almost invariably unbridgeable inconsistencies in the left’s publicly stated positions that are at war with their actual fundamental principles. Your goal is to make the left admit once and for all what they believe about policy by exposing those inconsistencies.,Right,0,almost invariably unbridgeable inconsistencies left publicly stated positions war actual fundamental principles goal make left admit believe policy exposing inconsistencies,1
72,964,Ben Shapiro,The left consistently bullies those who disagree with them by claiming they’re sexist and heteronormative.,Right,0,left consistently bullies disagree claiming sexist heteronormative,1
73,966,Ben Shapiro,Concerned about the societal fallout from sexual promiscuity? Mind your own business. Worried about the rise of single motherhood? Mind your own business. Upset about an epidemic of young people seemingly willing to trade the responsibilities of adulthood for an infantilized freedom? Mind your own business.,Right,0,concerned societal fallout sexual promiscuity mind business worried rise single motherhood mind business upset epidemic young people seemingly willing trade responsibilities adulthood infantilized freedom mind business,1
74,967,Ben Shapiro,Hypocrisy as humor pushes destruction of standards.,Right,0,hypocrisy humor pushes destruction standards,1
75,968,Ben Shapiro,"We’re damned if we do stay home and we’re damned if we don’t. We’re damned because we conservative moms drive the Left and its feminist shills mad with our mere existence, our exercise of free will, our fierce belief in protecting our families from the Nanny State, our embrace of free-market principles, and our rejection of the perpetual victim/grievance mentality.",Right,0,damned stay home damned damned conservative moms drive left feminist shills mad mere existence exercise free fierce belief protecting families nanny state embrace free market principles rejection perpetual victim grievance mentality,1
76,969,Ben Shapiro,"Abortion is a real moral issue with real lives at stake, and no amount of leftist badgering could back conservative Americans off their attempts to protect the unborn.",Right,0,abortion real moral issue real lives stake amount leftist badgering could back conservative americans attempts protect unborn,1
77,970,Ben Shapiro,"The Founding Fathers were devotees of Cicero and Locke, of the Bible and Aristotle.",Right,0,founding fathers devotees cicero locke bible aristotle,1
78,971,Ben Shapiro,Don’t get caught in the trap of believing you have to know everything about everything,Right,0,get caught trap believing know everything everything,1
79,972,Ben Shapiro,"Turning a blind eye to evil, however, doesn’t make it disappear. It allows it to grow. And those who allow evil to grow in order to protect their own convenience will be held accountable for the end results of the evil they facilitate.",Right,0,turning blind eye evil however make disappear allows grow allow evil grow order protect convenience held accountable end results evil facilitate,1
80,973,Ben Shapiro,"Okay guys, this is epic!",Right,0,okay guys epic,1
81,974,Ben Shapiro,"The Passions of men, Hobbes writes, are commonly more potent than their Reason. Reason cannot bring happiness, nor can it be used as the goal of a philosophical life. There is no happiness. There is only striving and security and passion. Reason cannot save us from the war of all against all; only the Leviathan, the power of the state, can.21",Right,0,passions men hobbes writes commonly potent reason reason cannot bring happiness used goal philosophical life happiness striving security passion reason cannot save us war leviathan power state 21,1
82,978,Ben Shapiro,"Conservatives understand that politics simply reflect underlying values. That’s why they are passionate. They don’t vote their pocketbooks. They vote their guts, and their guts tell them that leftism is immoral on the most basic level.",Right,0,conservatives understand politics simply reflect underlying values passionate vote pocketbooks vote guts guts tell leftism immoral basic level,1
83,979,Ben Shapiro,Let It Go' is the most popular song for kids in America and it has the Lady GaGa message.,Right,0,let go popular song kids america lady gaga message,1
84,1200,Ben Shapiro,Rule #2: Hit First. Don’t take the punch first. Hit first. Hit hard. Hit where it counts. Mike,Right,0,rule 2 hit first take punch first hit first hit hard hit counts mike,1
85,1201,Ben Shapiro,"I would have said, Why do you have to use victims to illustrate your point? Why can’t you just convince me on the basis of the evidence that what you’re proposing is the right solution for America?",Right,0,would said use victims illustrate point convince basis evidence proposing right solution america,1
86,1202,Ben Shapiro,"The creation story itself is designed to demonstrate how the first man, Adam, used his innate power of choice wrongly",Right,0,creation story designed demonstrate first man adam used innate power choice wrongly,1
87,1203,Ben Shapiro,"You know what's fun? Christmas lights. They are twinkly an pretty and they make me happy, because they are twinkly and pretty.",Right,0,know fun christmas lights twinkly pretty make happy twinkly pretty,1
88,1204,Ben Shapiro,"As a society, we have robbed men of their protective missions. Men who seek to protect women and children are called anti-feminist, gender normative. Men have abandoned their responsibilities to the state. As for building things",Right,0,society robbed men protective missions men seek protect women children called anti feminist gender normative men abandoned responsibilities state building things,1
89,1205,Ben Shapiro,"We believe freedom is built upon the twin notions that God created every human in His image, and that human beings are capable of investigating and exploring God’s world. Those notions were born in Jerusalem and Athens, respectively.",Right,0,believe freedom built upon twin notions god created every human image human beings capable investigating exploring god world notions born jerusalem athens respectively,1
90,1206,Ben Shapiro,"What does this mean for human beings? What makes a man virtuous is his capacity to engage in the activities that make him a man, not an animal",Right,0,mean human beings makes man virtuous capacity engage activities make man animal,1
91,1207,Ben Shapiro,"Instead, morality must be boiled down to mere competition of interests, and the desire of human beings to avoid suffering and untimely death. In a state of nature, nothing can be Unjust. The notions of Right and Wrong, Justice and Injustice have there no place. Where there is no common Power, there is no Law; where no Law, no Injustice.5 If moral relativism began anywhere, it began in Hobbes.",Right,0,instead morality must boiled mere competition interests desire human beings avoid suffering untimely death state nature nothing unjust notions right wrong justice injustice place common power law law injustice 5 moral relativism began anywhere began hobbes,1
