created_at,handle,mined_at,retweet_count,text,tweet_id
Sat Apr 06 11:35:17 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147833,20,"The Hypocrisy of #SamHarris, Hitchens and Lewis -by #NoamChomsky https://t.co/FzVG49zvnV",1114491763807354880
Sat Apr 06 11:33:20 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147836,18,#NoamChomsky on #DonaldTrump - #video https://t.co/XDz35Upghc,1114491275015856128
Sat Apr 06 11:29:30 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147840,7,#NoamChomsky: #Internationalism or #Extinction - #video https://t.co/5zDl1gwWA6,1114490310015557638
Sat Apr 06 11:27:09 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147844,7,#NoamChomsky - #Activist_Art and #Music - #video https://t.co/AYbxFnsF9n,1114489716349591552
Sat Apr 06 11:25:12 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147848,23,"A 1998 study was done in Hebrew by an Israeli scholar, Yosef Grodzinsky, and the English translation of the title i… https://t.co/HFuG2bvMHr",1114489226463272961
Sat Apr 06 11:24:25 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147851,20,"There is a principle of human affairs that goes back millennia, which is that you don't look in the mirror. You can… https://t.co/BlmdyNOpsI",1114489031327387648
Sat Apr 06 11:23:52 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147855,12,"I have trouble reading modern Hebrew. In the 1950s, I could read anything. I don't know how much experience you've… https://t.co/W8Ii6GeiFc",1114488892177244160
Sat Apr 06 11:20:39 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147859,42,#NoamChomsky Quotes About #Capitalism https://t.co/TCIjdVAZzL,1114488082408116225
Sat Apr 06 11:16:30 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147862,127,#NoamChomsky on the major threats to the human race https://t.co/j16VYsE5mt,1114487036470276097
Sat Apr 06 11:00:57 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147872,27,#NoamChomsky talks about the major threats to the human race and other important issues of today. https://t.co/GH3f0g5wKi,1114483124547805186
Fri Apr 05 15:23:27 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147876,60,Obey is a video essay based on the book “Death of the Liberal Class” by author and journalist Chris Hedges. The fil… https://t.co/FrfTRU9u9G,1114186796051648512
Fri Apr 05 15:21:54 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147880,13,The dubious friends of Donald trump P°2 : King of Diamonds https://t.co/nFyaYxgVr5,1114186407571017728
Fri Apr 05 15:20:45 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147883,21,"#NoamChomsky - New Atheists, Islamophobia and the War on Terror https://t.co/dpm2wkWCsv",1114186114829561856
Fri Apr 05 15:19:17 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147886,22,#NoamChomsky - Should #Neo_Nazis Be Allowed Free Speech https://t.co/W17HNoBb2B,1114185749069467651
Fri Apr 05 15:17:40 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147891,10,The Ascent of Money - Human Bondage (Episode 2)-Documentary Film https://t.co/wftQQTCTG4,1114185341848698881
Fri Apr 05 13:19:32 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147894,77,"In only the third public conversation between these two progressive icons, Ralph talks to Professor #NoamChomsky ab… https://t.co/3zfoXFipp1",1114155610914918400
Fri Apr 05 13:00:51 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147903,55,"""These days it's just annoying when a person is referred to as an ""intellectual."" Most are pseudo-smarties with pre… https://t.co/FHAXNBUkN8",1114150908588449792
Fri Apr 05 12:27:36 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147907,15,"In only the third public conversation between these two progressive icons, #Ralph talks to Professor #NoamChomsky a… https://t.co/NDZfSn44CR",1114142540310224907
Thu Apr 04 17:53:08 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147910,142,Money is a new form of slavery and is only distinguishable from the old slavery simply by the fact that it is imper… https://t.co/DuRz9wCDrb,1113862079352537089
Thu Apr 04 17:51:08 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147914,28,#NoamChomsky Destroys #Neoliberalism In 30Seconds https://t.co/034KE45leS,1113861575968985089
Thu Apr 04 17:50:09 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147917,46,"#NOAMCHOMSKY - The 5 Filters of the Mass Media Machine 
According to American linguist and political activist, Noam… https://t.co/1dcqtgAemQ",1113861326978408448
Thu Apr 04 17:49:10 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147921,79,Those who manipulate the unseen mechanism of society constitute an invisible government which is the true ruling po… https://t.co/qQrSRv5w2G,1113861078952435712
Thu Apr 04 17:47:08 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147931,20,The Collapse of The #AmericanDream Explained in Animation https://t.co/nAjEFzhLBj,1113860566618181632
Wed Apr 03 19:34:08 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147935,40,#NoamChomsky - Why #Marijuana is #Illegal and #Tobacco is #Legal https://t.co/1rd9ZJxHgH,1113525105420840960
Wed Apr 03 19:33:08 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147939,12,#NoamChomsky : #Trump Is A #Clown https://t.co/jTLrPkGMzH,1113524855180279808
Wed Apr 03 19:32:07 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147943,132,Money is a new form of slavery and is only distinguishable from the old slavery simply by the fact that it is imper… https://t.co/0eUVZEkEjY,1113524601588523008
Wed Apr 03 18:19:13 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147947,17,"#Social_media networks purport the ability to interact with culture—talking directly to artists, celebrities, movie… https://t.co/hZKWQ1dMfw",1113506253010026497
Wed Apr 03 18:17:45 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147950,16,"The dubious friends of #DonaldTrump- the Russians 
a Dutch TV #documentary alleges that President Donald Trump has… https://t.co/qjm6b8ZTWH",1113505882988527616
Wed Apr 03 18:15:38 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147954,18,"I organized tax resistance in 1965, with a friend. I kept at it for about ten years. I don't see it as a principle,… https://t.co/qloy55UKMe",1113505351121477633
Wed Apr 03 18:14:40 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147957,7,"The most extreme types, like Murray Rothbard, are at least honest. They'd like to eliminate highway taxes because t… https://t.co/nwnOhbSSu1",1113505108418076674
Wed Apr 03 18:13:40 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147961,10,"In the #United_States, the day when you pay your taxes is a day of mourning because this alien force - the governme… https://t.co/nPTfCHql4q",1113504855098822656
Wed Apr 03 18:12:09 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147964,210,"Advertising is tax deductible, so we all pay for the privilege of being #manipulated and controlled.

#NoamChomsky",1113504473635348481
Wed Apr 03 18:11:32 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147968,58,"Women taking care of children . . . it makes sense to pay them for that work . . . they should be paid for it, but… https://t.co/b6LeLIjvsP",1113504321910509569
Tue Apr 02 18:40:10 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147971,30,#Chomsky How to Fight #Terrorism and Islamic State (#ISIS) https://t.co/diN6Xry51a,1113149137191620608
Tue Apr 02 18:39:09 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147975,33,#Noamchomsky why im not liberal ?! https://t.co/myf75h7VqK,1113148881662095360
Tue Apr 02 18:37:19 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147985,56,"For millions of people, the global economic collapse has generated curiosity about how money systems actually work,… https://t.co/d4ExdEeQOl",1113148419823087617
Tue Apr 02 18:35:09 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147989,17,All Watched Over By Machines Of Loving Grace is a series of films about how this culture itself has been colonised… https://t.co/ZdENSrDAYt,1113147877675741184
Tue Apr 02 16:31:37 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147993,245,Money is a new form of slavery and is only distinguishable from the old slavery simply by the fact that it is imper… https://t.co/2AZn6tWAfb,1113116788752093184
Tue Apr 02 16:21:49 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.147997,14,"Silicon Valley, after all, feeds off the existence of computers, the internet, the IT systems, satellites, the whol… https://t.co/shl33BSM3r",1113114320194469890
Tue Apr 02 16:20:44 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148000,22,The person who wins the #Nobel_Prize is not the person who read the most journal articles and took the most notes o… https://t.co/fcaiQDX6aD,1113114047996624901
Tue Apr 02 16:18:47 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148004,8,"On the other hand, you have to balance that against expanding our nuclear forces, add to our so-called depleted mil… https://t.co/kRyOA07bDq",1113113559800647680
Tue Apr 02 16:18:13 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148007,8,Jamie Kilstein and Allison Kilkenny have created an important political radio show that balances humor and unreport… https://t.co/22u0tUYU6h,1113113413302054912
Tue Apr 02 16:17:26 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148011,11,On abortion: We are talking about ambiguous issues of a complicated kind where you have to balance conflicting inte… https://t.co/1wikFr15Yf,1113113217528745991
Mon Apr 01 13:50:55 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148014,196,Money is a new form of slavery and is only distinguishable from the old slavery simply by the fact that it is imper… https://t.co/rsYJy1G87U,1112713956664193027
Mon Apr 01 13:49:05 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148017,71,#Noamchomsky :The Republican Party is more dangerous than ISIS https://t.co/tbRfikOdLc,1112713494724571140
Mon Apr 01 13:47:53 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148021,27,#NoamChomsky on stupid people https://t.co/71Gn6aRkrL,1112713193196007424
Mon Apr 01 13:46:50 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148025,103,In this video Hillary Clinton admits that the US government created and funded Al-Qaeda in order to fight the sovie… https://t.co/1qP0VaKMFZ,1112712930582237184
Mon Apr 01 13:45:05 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148028,13,#NoamChomsky - If Donald Trump Becomes President ! https://t.co/1sLhRW8GxT,1112712488666177537
Mon Apr 01 12:21:13 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148038,48,"[Health-care system] is largely privatized and unregulated. So of course it's highly inefficient and costly.
#NoamChomsky",1112691386418167811
Mon Apr 01 12:19:12 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148042,12,"Some of the younger #people afford hope for the future. I am not opposed to reform initiatives. For example, if you… https://t.co/8Ci64qBLZG",1112690876193611776
Mon Apr 01 12:18:05 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148045,15,"I get terrific health care.
Noam Chomsky",1112690595129159680
Mon Apr 01 12:16:14 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148051,8,"Maybe [the Republicans] 'll find ways around it, but the financial system of the world depends very heavily on the… https://t.co/Pz1W8uDgU2",1112690129037131776
Mon Apr 01 12:12:07 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148054,281,The US health-care system is a complete scandal. It's got twice the costs of comparable countries and some of the w… https://t.co/xU5uL50AwW,1112689094717521920
Mon Apr 01 12:08:37 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148058,61,"Our health care is rationed by wealth.
Noam #Chomsky",1112688214769307648
Sun Mar 31 18:18:40 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148061,99,#Chomsky- US drone campaign is world's biggest terrorist action https://t.co/V5AaKX1qBY,1112418952737710088
Sun Mar 31 18:17:40 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148065,43,"Noam #Chomsky- If Nuclear War Doesn't Get Us, Climate Change Will https://t.co/bvLfEvqJD2",1112418701893160960
Sun Mar 31 18:16:52 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148068,27,"Noam Chomsky- Nuclear war could happen, accidentally (EXCLUSIVE)
https://t.co/Y5Ok9sComE https://t.co/Y5Ok9sComE",1112418497617952769
Sun Mar 31 18:14:55 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148072,36,Noam #Chomsky- Today's America is the Soviet Union 2.0 https://t.co/Kw9Q2lx1nX,1112418007127592960
Sun Mar 31 18:13:13 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148075,20,#NoamChomsky - The U.S. Economy https://t.co/CN8hdd83Bs,1112417580852174848
Sun Mar 31 17:00:48 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148079,442,"#noamchomsky
#chomsky https://t.co/lzjMLW1uI7",1112399357888860162
Sun Mar 31 16:52:03 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148082,95,"Trump keeps the spotlight on himself with one act after another, assuming correctly that yesterday's antics will be… https://t.co/o4EhGZ680K",1112397153723387905
Sun Mar 31 16:51:33 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148092,29,One measure for promoting both stability and fairness across financial market segments is a small sales tax on all… https://t.co/a2n45KwiAL,1112397028791894017
Sun Mar 31 16:50:53 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148096,15,An effective regulatory system today would be one guided by a few basic premises that can be applied flexibly but a… https://t.co/yWSgwil8cQ,1112396858440196097
Sun Mar 31 16:49:16 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148099,29,"""Through much of its history, the US did not have high inequality as compared with Europe. Less so, in fact. That b… https://t.co/ZCyPUDlt0l",1112396454788771840
Wed Mar 27 16:36:42 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148103,64,The US Believes It Has an Inalienable Right to Exploit Developing Nations https://t.co/6YwSIrmAx1,1110943737704861697
Wed Mar 27 16:33:53 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148106,208,"The whole educational and professional training system is a very elaborate filter, which just weeds out people who… https://t.co/B3DF3qW0jh",1110943030566105088
Tue Mar 26 16:26:44 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148110,44,The crime of liberation theology was that it takes the Gospels seriously. That's unacceptable. The Gospels are radi… https://t.co/YxGxeRxSKk,1110578843939684359
Sat Mar 23 12:43:38 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148115,807,"To live a life of honesty and integrity is a responsibility of every decent person.
Noam Chomsky",1109435537025392646
Thu Mar 21 00:43:06 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148118,161,Television - Weapon of Mass Persuasion - #Mind_Control - https://t.co/J9fObw7aIc,1108529432615153664
Wed Mar 20 20:25:41 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148121,80,#NoamChomsky – The Untold History of U.S. Hegemony &amp; Intervention in Europe https://t.co/IaaKrCuCt8,1108464651728232449
Wed Mar 20 17:51:39 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148125,105,Reel Bad Arabs: How Hollywood Vilifies a People analyses how the storytelling of the West has crafted and perpetuat… https://t.co/zbgcqUwnlP,1108425885835776006
Wed Mar 20 17:48:49 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148128,21,#NoamChomsky - #Anti_Arab Sentiment and #Terrorism https://t.co/p3PoqwvX40,1108425175178100736
Sun Mar 17 18:24:50 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148132,168,"But, that’s the whole point of corporatization - to try to remove the public from making decisions over their own f… https://t.co/JkkRrcnuHQ",1107347072972455937
Sun Mar 17 18:16:53 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148135,414,"The general public are not even aware of major decisions that will determine their fate, hence are in no position t… https://t.co/QCru48IWbD",1107345072885035009
Fri Mar 15 20:40:27 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148144,55,"It's been a real success - one of the great business successes in the United States - to break down organization, t… https://t.co/XtrTunIKUi",1106656428650045440
Fri Mar 15 17:45:33 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148149,227,"On behalf of DiEM25, our solidarity to the victims of islamophobia in Christchurch; to all New Zealanders feeling v… https://t.co/2dOyRWusFI",1106612410926784512
Thu Mar 14 23:46:43 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148152,47,"If there had been a charismatic figure in the United States who could mobilize fears, anger, racism, a sense of los… https://t.co/BDQJYNGr2g",1106340914111352833
Tue Mar 12 02:15:45 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148156,217,Listen to #NoamChomsky dismantle the 'unimaginable' Western #propaganda on #Venezuela | The Canary https://t.co/09jIOJPF5Q,1105291257897734144
Sun Mar 10 13:44:46 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148159,1459,"A nation will not survive morally or economically when so few have so much and so many have so little.
Bernie Sanders",1104739877105610752
Thu Mar 07 12:21:23 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148163,23,Join #NoamChomsky's #followers around #theworld #► https://t.co/vWHsxy5UYI https://t.co/JTXLPdASTw,1103631731578597379
Wed Mar 06 23:42:53 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148167,55,#NoamChomsky has endorsed the #EdwardSaid Public Library as a project which merits strong support from everyone con… https://t.co/jQn57UhCWj,1103440847557791744
Wed Mar 06 23:40:10 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148170,22,"#NoamChomsky, Angela Davis Condemn Modi Govt's Clampdown On Activists https://t.co/fk3t1q5MKn",1103440163777200128
Wed Mar 06 23:35:54 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148173,14,#NoamChomsky - Thought and #Creativity https://t.co/aIl1dufrMN,1103439090266054662
Wed Mar 06 23:35:05 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148177,5,"#noamChomsky Activist #Art and ""#Music https://t.co/OaMcsVueDc",1103438885349220353
Wed Mar 06 23:33:13 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148180,16,#NoamChomsky on #Technology and #Military #Research https://t.co/3DsOX220ac,1103438412340781057
Wed Mar 06 02:53:58 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148186,16,#NoamChomsky on #EdwardSaid book ( #ORIENTALISM ) https://t.co/kbWdtLA0xc,1103126545034551298
Wed Mar 06 02:32:59 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148189,223,https://t.co/P25j1Y5cMH,1103121267257954305
Wed Mar 06 00:47:07 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148199,55,#NoamChomsky - When is Military Intervention Justified? https://t.co/Gnr42FzKzG,1103094622824382470
Wed Mar 06 00:46:11 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148203,19,#NoamChomsky - An Instinct for #Freedom https://t.co/DVn043mjFi,1103094390426386432
Wed Mar 06 00:45:22 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148206,7,#NoamChomsky - Which Questions Influenced You the Most? https://t.co/ux6wje2S4d,1103094183517138944
Thu Feb 28 03:01:36 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148210,46,"Put yourself in the position of a person, sort of an ordinary American, ""I'm a hard-working, god-fearing Christian.… https://t.co/UIofrnHbac",1100954139910172672
Thu Feb 28 02:58:32 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148213,70,"If you look at history, even recent #history, you see that there is indeed progress. . . . Over time, the cycle is… https://t.co/ASjflIaOUn",1100953370200891392
Fri Feb 22 03:14:10 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148217,552,https://t.co/2VbAoWGbbW,1098782975465062400
Fri Feb 22 03:12:07 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148220,160,https://t.co/bEcPa2IpUS,1098782458072436736
Fri Feb 15 17:32:08 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148224,122,"For 500 years, since European explorers came, Latin American countries had been separated from one another. They ha… https://t.co/jQ6IL0yKbz",1096462176137695232
Fri Feb 15 17:30:52 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148227,179,"It's not radical Islam that worries the US -- it's independence
#NoamChomsky",1096461857148284929
Fri Feb 15 17:27:27 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148230,173,"Latin America, for the first time in 500 years, is moving towards a degree of independence.
#NoamChomsky",1096460995466272769
Sun Feb 03 13:39:10 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148234,28,#Noamchomsky Thought and Creativity https://t.co/D0q4ONS6HW,1092054893488164864
Wed Jan 30 14:58:43 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148237,12,#NoamChomsky - Which Questions Influenced You the Most? https://t.co/ux6wje2S4d,1090625362806083585
Wed Jan 30 14:57:36 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148241,16,#NoamChomsky - An Instinct for Freedom https://t.co/DVn043mjFi,1090625079103377408
Wed Jan 30 14:55:14 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148250,46,#NoamChomsky - When is #Military Intervention Justified? https://t.co/Gnr42FzKzG,1090624486091735041
Wed Jan 30 14:52:47 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148254,7,#NoamChomsky on #Technology and #Military #Research https://t.co/3DsOX220ac,1090623869021507584
Wed Jan 30 13:58:27 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148258,8,#noamChomsky #Activist #Art and #Music https://t.co/OaMcsVueDc,1090610194248273920
Wed Jan 30 13:42:00 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148261,23,#NoamChomsky - Thought and Creativity https://t.co/aIl1dufrMN,1090606052578639872
Tue Jan 29 13:18:25 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148265,164,"An interview with Noam Chomsky on the 30th anniversary of ‘Manufacturing Consent’ about journalism, propaganda and… https://t.co/fdJKIiz22L",1090237730154561536
Tue Jan 29 13:00:00 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148270,44,Why #NoamChomsky's Manufacturing Consent is still relevant https://t.co/XpwmLQ4mXl,1090233095436013568
Tue Jan 29 12:54:18 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148274,652,"If we don't believe in free expression for people we despise, we don't believe in it at all.
#NoamChomsky",1090231663085449217
Sat Jan 12 17:09:23 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148277,37,#NoamChomsky - How to Fight #Terrorism https://t.co/LA1vjYISt7,1084135263889182721
Sat Jan 12 17:08:36 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148281,12,#NoamChomsky - #Intellectuals II https://t.co/AqaEpbjH1r,1084135067411189761
Sat Jan 12 17:07:48 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148284,10,#NoamChomsky - Intellectuals I https://t.co/AckUEsbouy,1084134862565593088
Sat Jan 12 17:06:52 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148287,8,#NoamChomsky - Is There an Alternative https://t.co/xFvp0lGpJb,1084134629236445186
Sat Jan 12 17:06:20 +0000 2019,Noam Chomsky,2019-05-04 22:38:32.148291,6,#NoamChomsky - What Should I Do ? https://t.co/4KnKwf5gS3,1084134494205034498
