Quotes,Author,Political Orientation
"[The masses] … must turn their hopes toward a miracle.  In the depths of their despair reason cannot be believed, truth must be false, and lies must be truth. ""Higher bread prices,"" ""lower bread prices,"" ""unchanged bread prices"" have all failed. The only hope lies in a kind of bread price which is none of these, which nobody has ever seen before, and which belies the evidence of one's reason.",Peter Drucker,Moderate
"In addition, profits are so completely subordinated in Germany and Italy to requirements of a militarily conceived national interest and of full employment that the maintenance of the profit principle is purely theoretical. Profits have lost their autonomy as an independent, not to say the supreme, goal of economic activity.",Peter Drucker,Moderate
There is a definite trend in Italy and Germany to eliminate profit participation and the ownership rights of nonmanaging partners and shareholders.,Peter Drucker,Moderate
"The regimentation of agriculture was in both fascist countries the first, and for a considerable time the most drastic, intervention in the free play of economic forces. In either country, and especially in Germany, the threat of the industrial revolution in agriculture had reached a point at which government intervention in the social structure of farming was entirely unavoidable.",Peter Drucker,Moderate
"Those German businessmen and industrialists, who, lured by the denunciation of fascism as antisocialist, concluded that it must be procapitalist, have since learned the better. But whereas originally the Right in France and England favored resistance to fascism, the slogan of the inevitable Russo-German war has made a large section favor the fascist advance, so that ‘both monsters devour each other.’",Peter Drucker,Moderate
"Actually, the specter of the Russo-German alliance is already the nightmare of every European government, however much they protest their belief in the inevitability of a Russo-German war. And what is only a nightmare today may be reality tomorrow. The two regimes will have to come together because they are similar ideologically and socially. That the European Left has not dared to admit this is understandable. By conceding that Soviet Russia is as fascist a state as Germany, they would have conceded that socialism must fail and would have abandoned themselves.",Peter Drucker,Moderate
"[T]he enemy of totalitarian Nazism is not in the East. It is not Russian communism. The complete collapse of the belief in the attainability of freedom and equality through Marxist socialism has forced Russia to travel the same road toward a totalitarian, purely negative, noneconomic society of unfreedom and inequality which Germany has been following… During the last few years Russia has therefore been forced to adopt one purely totalitarian and fascist principle after the other; not, it must be emphasized, because of a ‘Stalinist conspiracy,” but because there was no other possibility.",Peter Drucker,Moderate
Fascism is the stage reached after communism has proved an illusion. And it has been proven as much of an illusion in Stalinist Russia as it proven an illusion in pre-Hitler Germany. Communism in anything but name was abandoned in Russia when the Five-Year Plan was substituted for the  New Economic Policy  (NEP) after Lenin’s death.,Peter Drucker,Moderate
"No society can function as a society, unless it gives the individual member social status and function, and unless the decisive social power is legitimate.",Peter Drucker,Moderate
"In the modern corporation the decisive power, that of the managers, is derived from no one but the managers themselves controlled by nobody and  nothing and responsible to no one. It is in the most literal sense unfounded, unjustified, uncontrolled and irresponsible power.",Peter Drucker,Moderate
"Unless the power of the corporation can be organized on an accepted principle of legitimacy, it will... be taken over by a Central government...",Peter Drucker,Moderate
We have only one alternative: either to build a functioning industrial society or see freedom itself disappear in anarchy and tyranny.,Peter Drucker,Moderate
"Unless we realize that the essence of Nazism is also an attempt to solve a universal problem of Western civilization - that of the industrial society - and that the basic principles on which the Nazis base this attempt are also in no way confined to Germany, we do not know what we fight for or what we fight against... The war is being fought for the structure of industrial society--its basic principles, its purposes, and its institutions.",Peter Drucker,Moderate
"Political freedom is neither easy nor automatic, neither pleasant nor secure. It is the responsibility of the individual for the decisions of society as if they were his own decisions--as in moral truth and accountability they are.",Peter Drucker,Moderate
"For if this country... were to make its defense program a function of its domestic employment situation, it would become impossible to conduct a constructive and well-thought out foreign policy or to develop any lasting collaboration.",Peter Drucker,Moderate
"That the government's power under the Taft-Hartley Act to stop a strike by injunction so clearly strengthens the hand of the employer--even though it is used only when a strike threatens the national health, welfare, or safety--is a grave blemish and explains much of union resistance to the Act.",Peter Drucker,Moderate
"We still think and talk of the basic problems of an industrial society as problems that can be solved by changing the system, that is the superstructure of political organization.  Yet the real problems lie within the [industrial] enterprise. ...our representative institution... a mirror in which we look when we want to see ourselves.",Peter Drucker,Moderate
The major incentive to productivity and efficiency are social and moral rather than financial.,Peter Drucker,Moderate
"What the worker needs is to see the plant as if he were a manager.  Only thus can he see his part, from his part he can reach the whole.  This ""seeing"" is not a matter of information, training courses, conducted plant tours, or similar devices.  What is needed is the actual experience of the whole in and through the individual's work.",Peter Drucker,Moderate
There is only one valid definition of a business purpose: to create a customer.,Peter Drucker,Moderate
Free enterprise cannot be justified as being good for business. It can be justified only as being good for society.,Peter Drucker,Moderate
The days of the 'intuitive' manager are numbered.,Peter Drucker,Moderate
A man should never be appointed into a managerial position if his vision focuses on people's weaknesses rather than on their strengths.,Peter Drucker,Moderate
"The better a man is, the more mistakes will he make - for the more new things he will try.  I would never promote a man into a top level job who had not made mistakes, and big ones at that.  Otherwise he is sure to be mediocre.",Peter Drucker,Moderate
"It does not follow from the separation of planning and doing in the analysis of work that the planner and the doer should be two different people.  It does not follow that the industrial world should be divided into two classes of people: a few who decide what is to be done, design the job, set the pace, rhythm and motions, and order others about; and the many who do what and as they are told.",Peter Drucker,Moderate
"It does not matter whether the worker wants responsibility or not, ...The enterprise must demand it of him.",Peter Drucker,Moderate
"The fundamental reality for every worker, from sweeper to executive vice-president, is the eight hours or so that he spends on the job. In our society of organizations, it is the job through which the great majority has access to achievement, to fulfillment, and to community.",Peter Drucker,Moderate
"- A manager sets objectives - A manager organizes - A manager motivates and communicates - A manager, by establishing yardsticks, measures - A manager develops people.",Peter Drucker,Moderate
"The company is not and must never claim to be home, family, religion, life or fate for the individual. It must never interfere in his private life or his citizenship.  He is tied to the company through a voluntary and cancellable employment contract, not through some mystical or indissoluble bond.",Peter Drucker,Moderate
"Capitalism is being attacked not because it is inefficient or misgoverned but because it is cynical.  And indeed a society based on the assertion that private vices become public benefits cannot endure, no matter how impeccable its logic, no matter how great its benefits.",Peter Drucker,Moderate
"We no longer even understand the question whether change is by itself good or bad, ...We start out with the axiom that it is the norm.  We do not see change as altering the order... We see change as being order itself--indeed the only order we can comprehend today is a dynamic, a moving, a changing one.",Peter Drucker,Moderate
"An organization belongs on a sick list when promotion becomes more important to its people than accomplishment of their job they are in. It is sick when it is more concerned with avoiding mistakes than with taking risks, with counteracting the weaknesses of its members than with building on their strength. But it is sick also when ""good human relations"" become more important than performance and achievement.",Peter Drucker,Moderate
"The moment people talk of ""implementing"" instead of ""doing,"" and of ""finalizing"" instead of ""finishing,"" the organization is already running a fever.",Peter Drucker,Moderate
"The individual needs the return to spiritual values, for he can survive in the present human situation only by reaffirming that man is not just a biological and psychological being but also a spiritual being, that is creature, and existing for the purposes of his Creator and subject to Him.",Peter Drucker,Moderate
"In the political, the social, the economic, even the cultural sphere, the revolutions of our time have been revolutions ""against"" rather than revolutions ""for""… On the whole throughout this period the man--or party--that stood for doing the positive has usually cut a pathetic figure; well meaning but ineffectual, civilized but unrealistic, he was suspect alike to [by both] the ultras of destruction and the ultras of preservation and restoration.",Peter Drucker,Moderate
"[T]hroughout the ages to be educated meant to be unproductive.... our word ""school"" - and its equivalent in all European languages - derives from a Greek word meaning ""leisure.""",Peter Drucker,Moderate
"Tomorrow everybody - or practically everybody - will have had the education of the upper class of yesterday, and will expect equivalent opportunities. That is why we face the problem of making every kind of job meaningful and capable of satisfying every educated man.",Peter Drucker,Moderate
"The arts alone give direct access to experience. To eliminate them from education - or worse, to tolerate them as cultural ornaments - is antieducational obscurantism. It is foisted on us by the pedants and snobs of Hellenistic Greece who considered artistic performance fit only for slaves...",Peter Drucker,Moderate
"In book subjects a student can only do a student's work. All that can be measured is how well he learns, rather than how well he performs. All he can show is promise.",Peter Drucker,Moderate
"No matter how deeply wedded one may be to the free enterprise system (and I, for one, am wedded for life), one has to accept the need for positive government; one has to consider government action on a sizable scale as desirable rather than as a necessary evil.",Peter Drucker,Moderate
Communism is evil. Its driving forces are the deadly sins of envy and hatred.,Peter Drucker,Moderate
"Through systematic terror, through indoctrination, through systematic manipulation of stimulus, reward, and punishment, we can today break man and convert him into brute animal... The first step toward survival is therefore to make government legitimate again by attempting to deprive it of these powers... by international action to ban such powers.",Peter Drucker,Moderate
"Morale in an organization does not mean that ""people get along together""; the test is performance not conformance.",Peter Drucker,Moderate
"Large organizations cannot be versatile.  A large organization is effective through its mass rather than through its agility.  Fleas can jump many times their own height, but not an elephant.",Peter Drucker,Moderate
"The world economy is not yet a community--not even an economic community...Yet the existence of the ""global shopping center"" is a fact that cannot be undone.  The vision of an economy for all will not be forgotten again.",Peter Drucker,Moderate
"If ""socialism"" is defined as ""ownership of the means of production""--and this is both the orthodox and the only rigorous definition--then the United States is the first truly Socialist country.",Peter Drucker,Moderate
"Whenever anything is being accomplished, it is being done, I have learned, by a monomaniac with a mission.",Peter Drucker,Moderate
"Few companies that installed computers to reduce the employment of clerks have realized their expectations; most computer users have found that they now need more, and more expensive clerks, even though they call them ""operators"" or ""programmers.",Peter Drucker,Moderate
"All economic activity is by definition ""high risk.""  And defending yesterday--that is, not innovating--is far more risky than making tomorrow.",Peter Drucker,Moderate
"Ideas are somewhat like babies--they are born small, immature, and shapeless.  They are promise rather than fulfillment.  In the innovative company executives do not say, ""This is a damn-fool idea.""  Instead they ask, ""What would be needed to make this embryonic, half-baked, foolish idea into something that makes sense, that is an opportunity for us?""",Peter Drucker,Moderate
"The citizen of today in every developed country is typically an employee. He works for one of the institutions. He looks to them for his livelihood. He looks to them for his opportunities. He looks to them for access to status and function in society, as well as for personal fulfillment and achievement.",Peter Drucker,Moderate
p. 4,Peter Drucker,Moderate
Without institution there is no management. But without management there is no institution.,Peter Drucker,Moderate
We will have to learn to lead people rather then to contain them.,Peter Drucker,Moderate
A primary task of management in the developed countries in the decades ahead will be to make knowledge productive.,Peter Drucker,Moderate
A management decision is irresponsible if it risks disaster this year for the sake of a grandiose future.,Peter Drucker,Moderate
The only thing we know about the future is that it is going to be different.,Peter Drucker,Moderate
"The prevailing economic theory of business enterprise and behavior, the maximization of profit—which is simply a complicated way of phrasing the old saw of buying cheap and selling dear—may adequately explain how Richard Sears operated. But it cannot explain how Sears, Roebuck or any other business enterprise operates, nor how it should operate. The concept of profit maximization is, in fact, meaningless.",Peter Drucker,Moderate
Profit is not a cause but a result-,Peter Drucker,Moderate
Success always obsoletes the very behavior that achieved it.,Peter Drucker,Moderate
The basic definition of the business and of its purpose and mission have to be translated into objectives.,Peter Drucker,Moderate
It is better to pick the wrong priority than none at all.,Peter Drucker,Moderate
Decisions exist only in the present.,Peter Drucker,Moderate
The fault is in the system and not in the men.,Peter Drucker,Moderate
"A success that has outlived its usefulness may, in the end, be more damaging than failure.",Peter Drucker,Moderate
One cannot hire a hand; the whole man always comes with it.,Peter Drucker,Moderate
"Frederick W. Taylor was the first man in recorded history who deemed work deserving of systematic observation and study. On Taylor's 'scientific management' rests, above all, the tremendous surge of affluence in the last seventy-five years which has lifted the working masses in the developed countries well above any level recorded before, even for the well-to-do. Taylor, though the Isaac Newton (or perhaps the Archimedes) of the science of work, laid only first foundations, however. Not much has been added to them since – even though he has been dead all of sixty years.",Peter Drucker,Moderate
"As with every phenomenon of the objective universe, the first step toward understanding work is to analyze it.",Peter Drucker,Moderate
"""Loafing"" is easy, but ""leisure"" is difficult.",Peter Drucker,Moderate
The first step toward making the worker achieving is to make work productive.,Peter Drucker,Moderate
"When Henry Ford said, ""The customer can have a car in any color as long as it's black,"" he was not joking.",Peter Drucker,Moderate
"A tool is not necessarily better because it is bigger. A tool is best if it does the job required with a minimum of effort, with a minimum of complexity, and with a minimum of power.",Peter Drucker,Moderate
"An employer has no business with a man's personality. Employment is a specific contract calling for a specific performance... Any attempt to go beyond that is usurpation.  It is immoral as well as an illegal intrusion of privacy.  It is abuse of power.  An employee owes no ""loyalty,"" he owes no ""love"" and no ""attitudes""--he owes performance and nothing else. .... The task is not to change personality, but to enable a person to achieve and to perform.",Peter Drucker,Moderate
The society of ]]organizations\\ is new-only seventy years ago employees were a small minority in every society.,Peter Drucker,Moderate
[[Management] has authority only as long as it performs.,Peter Drucker,Moderate
"It has been said, and only half in jest, that a tough, professionally led union is a great force for improving management performance. It forces the manager to think about what he is doing and to be able to explain his actions and behavior.",Peter Drucker,Moderate
"And no matter how serious an environmental problem the automobile poses in today's big city, the horse was dirtier, smelled worse, killed and maimed more people, and congested the streets just as much.",Peter Drucker,Moderate
"Wherever an impact can be eliminated by dropping the activity that causes it, this is therefore the best-indeed the only truly good-solution.",Peter Drucker,Moderate
The manager is a servant. His master is the institution he manages and his first responsibility must therefore be to it.,Peter Drucker,Moderate
We do not need more laws. No country suffers from a shortage of laws. We need a new model.,Peter Drucker,Moderate
The worker's effectiveness is determined largely by the way he is being managed.,Peter Drucker,Moderate
"To be a manager requires more than a title, a big office, and other outward symbols of rank. It requires competence and performance of a high order.",Peter Drucker,Moderate
A superior who works on his own development sets an almost irresistible example.,Peter Drucker,Moderate
The purpose of an organization is to enable common men to do uncommon things.,Peter Drucker,Moderate
"Executives do many things in addition to making decisions. But only executives make decisions. The first managerial skill is, therefore, the making of effective decisions.",Peter Drucker,Moderate
One has to make a decision when a condition is likely to degenerate if nothing is done.,Peter Drucker,Moderate
"Communication is always ""propaganda."" The emitter always wants ""to get something across.""",Peter Drucker,Moderate
"The tool user, provided the tool is made well, need not, and indeed should not, know anything about the tool.",Peter Drucker,Moderate
The first organization structure in the modern West was laid down in the canon law of the Catholic Church eight hundred years ago.,Peter Drucker,Moderate
"One reason for the tremendous increase in health-care costs in the U.S. is managerial neglect of the ""hotel services"" by the people who dominate the hospital, such as doctors and nurses.",Peter Drucker,Moderate
The rule should be to minimize the need for people to get together to accomplish anything.,Peter Drucker,Moderate
"Top management as a function and as a structure was first developed by Georg von Siemens (1839-1901) in Germany between 1870 and 1880, when he designed and built the Deutsche Bank and made it, within a very few years, into continental Europe's leading and most dynamic financial institution.",Peter Drucker,Moderate
There is a point at which a transformation has to take place.,Peter Drucker,Moderate
"""Value added"" is a meaningless concept for a retail business , for a bank, for a life insurance company, and for any other business which is not primarily engaged in manufacturing.",Peter Drucker,Moderate
"Absolute size by itself is no indicator of success and achievement, let alone of managerial competence. Being the right size is.",Peter Drucker,Moderate
"Engineers speak half–jokingly about Murphy's Law: "" If anything can go wrong, it will."" But complexity stands under a second law as well. Let me call it Drucker's law: ""If one thing goes wrong, everything else will, and at the same time.""",Peter Drucker,Moderate
There is a point of complexity beyond which a business is no longer manageable.,Peter Drucker,Moderate
"Financial ""synergy""  is a will-o'-the-wisp.It looks good on paper, but it fails to work out in practice.",Peter Drucker,Moderate
"The world political system is till based on the concept of the national sovereign state. For the first time therefore, in three hundred years economy and sovereignty are becoming divorced from each other.",Peter Drucker,Moderate
Organizationally what is required - and evolving - is systems management.,Peter Drucker,Moderate
"Growth as a goal, to repeat, is delusion. William James, the American philosopher, talked of the ""bitch goddess success."" A philosopher of business today might well talk of the ""bitch goddess growth.""",Peter Drucker,Moderate
"There is every indication that the period ahead will be an innovative one, one of rapid change in technology, society, economy, and institutions.",Peter Drucker,Moderate
"One of the great movements in my lifetime among educated people is the need to commit themselves to action. Most people are not satisfied with giving money; we also feel we need to work. That is why there is an enormous surge in the number of unpaid staff, volunteers. The needs are not going to go away. Business is not going to take up the slack, and government cannot.",Peter Drucker,Moderate
"Sören Kierkegaard has another answer: human existence is possible as existence not in despair, as existence not in tragedy; it is possible as existence in faith... Faith is the belief that in God the impossible is possible, that in Him time and eternity are one, that both life and death are meaningful.",Peter Drucker,Moderate
"For the social ecologist language is not ""communication.""  It is not just ""message.""  It is substance.  It is the cement that holds humanity together.  It creates community and communication. ...Social ecologists need not be ""great"" writers; but they have to be respectful writers, caring writers.",Peter Drucker,Moderate
"That people even in well paid jobs choose ever earlier retirement is a severe indictment of our organizations -- not just business, but government service, the universities. These people don't find their jobs interesting.",Peter Drucker,Moderate
"...what's absolutely unforgivable is the financial benefit top management people get for laying off people.  There is no excuse for it.  No justification.  This is morally and socially unforgivable, and we will pay a heavy price for it.",Peter Drucker,Moderate
"Thirty years from now the big university campuses will be relics. Universities won't survive. It's as large a change as when we first got the printed book.  Do you realize that the cost of higher education has risen as fast as the cost of health care? And for the middle-class family, college education for their children is as much of a necessity as is medical care—without it the kids have no future.  Such totally uncontrollable expenditures, without any visible improvement in either the content or the quality of education, means that the system is rapidly becoming untenable. Higher education is in deep crisis.",Peter Drucker,Moderate
"Universities won't survive. The future is outside the traditional campus, outside the traditional classroom. Distance learning is coming on fast.",Peter Drucker,Moderate
"...human beings need community. If there are no communities available for constructive ends, there will be destructive, murderous communities... Only the social sector, that is, the nongovernmental, nonprofit organization, can create what we now need, communities for citizens... What the dawning 21st century needs above all is equally explosive growth of the nonprofit social sector in building communities in the newly dominant social environment, the city.",Peter Drucker,Moderate
"...all earlier pluralist societies destroyed themselves because no one took care of the common good. They abounded in communities but could not sustain community, let alone create it.",Peter Drucker,Moderate
"Knowing Yourself ...We also seldom know what gifts we are not endowed with. We will have to learn where we belong, what we have to learn to get the full benefit from our strengths, where our weaknesses lie, what our values are. We also have to know ourselves temperamentally: ""Do I work well with people, or am I a loner? What am I committed to? And what is my contribution?""",Peter Drucker,Moderate
"...the information revolution. Almost everybody is sure ...that it is proceeding with unprecedented speed; and ...that its effects will be more radical than anything that has gone before. Wrong, and wrong again. Both in its speed and its impact, the information revolution uncannily resembles its two predecessors ...The first industrial revolution, triggered by James Watt's improved steam engine in the mid-1770s...did not produce many social and economic changes until the invention of the railroad in 1829 ...Similarly, the invention of the computer in the mid-1940s, ...it was not until 40 years later, with the spread of the Internet in the 1990s, that the information revolution began to bring about big economic and social changes. ...the same emergence of the “super-rich” of their day, characterized both the first and the second industrial revolutions. ...These parallels are close and striking enough to make it almost certain that, as in the earlier industrial revolutions, the main effects of the information revolution on the next society still lie ahead.",Peter Drucker,Moderate
"This new knowledge economy will rely heavily on knowledge workers. ...the most striking growth will be in “knowledge technologists:” computer technicians, software designers, analysts in clinical labs, manufacturing technologists, paralegals. ...They are not, as a rule, much better paid than traditional skilled workers, but they see themselves as “professionals.” Just as unskilled manual workers in manufacturing were the dominant social and political force in the 20th century, knowledge technologists are likely to become the dominant social—-and perhaps also political—-force over the next decades.",Peter Drucker,Moderate
"Once a year ask the boss, ""What do I or my people do that helps you to do your job?"" and ""What do I or my people do that hampers you?""",Peter Drucker,Moderate
"The subordinate's job is not to reform or reeducate the boss, not to make him conform to what the business schools or the management book say bosses should be like.  It is to enable a particular boss to perform as a unique individual.",Peter Drucker,Moderate
A manager's task is to make the strengths of people effective and their weakness irrelevant - and that applies fully as much to the manager's boss as it applies to the manager's subordinates,Peter Drucker,Moderate
"Keep the boss aware. Bosses, after all, are held responsible by their own bosses for the performance of their subordinates. They must be able to say: ""I know what Anne [or John] is trying to do.""",Peter Drucker,Moderate
Never underrate the boss! The boss may look illiterate. He may look stupid. But there is no risk at all in overrating a boss. If you underrate him he will bitterly resent it or impute to you the deficiency in brains and knowledge you imputed to him.,Peter Drucker,Moderate
"The postwar [WWII] GI Bill of Rights - and the enthusiastic response to  it on the part of America's veterans - signaled the shift to the knowledge society. Future historians may consider it the most important event of the twentieth century.We are clearly in the midst of this transformation; indeed, if history is any guide, it will not be completed until 2010 or 2020. But already it has changed the political, economic and moral landscape of the world.",Peter Drucker,Moderate
"That knowledge has become the resource, rather than a resource, is what makes our society ""post-capitalist.",Peter Drucker,Moderate
"In the 1950s, industrial workers had become the largest single group in every developed country, and unionized industrial workers in mass-production industry (which was then dominant everywhere) had attained upper-middle-class income levels. They had extensive job security, pensions, long paid vacations, and comprehensive unemployment insurance or ""lifetime employment."" Above all, they had achieved political power... Thirty-five years later, in 1990, industrial workers and their unions were in retreat. They had become marginal in numbers. Whereas industrial workers who make or move things had accounted for two fifths of the American work force in the 1950s, they accounted for less than one fifth in the early 1990s--that is, for no more than they had accounted for in 1900, when their meteoric rise began...  By the year 2000 or 2010, in every developed free-market country, industrial workers will account for no more than an eighth of the work force. Union power has been declining just as fast... By the year 2000 or 2010, in every developed free-market country, industrial workers will account for no more than an eighth of the work force. Union power has been declining just as fast.",Peter Drucker,Moderate
"The newly emerging dominant group is ""knowledge workers."" The very term was unknown forty years ago. (I coined it in a 1959 book, Landmarks of Tomorrow.) By the end of this century knowledge workers will make up a third or more of the work force in the United States--as large a proportion as manufacturing workers ever made up, except in wartime. The majority of them will be paid at least as well as, or better than, manufacturing workers ever were. And the new jobs offer much greater opportunities.",Peter Drucker,Moderate
"Increasingly, politics is not about ""who gets what, when, how"" but about values, each of them considered to be absolute. Politics is about ""the right to life""...It is about the environment.  It is about gaining equality for groups alleged to be oppressed...None of these issues is economic.  All are fundamentally moral.",Peter Drucker,Moderate
"This society in which knowledge workers dominate is in danger of a new ""class conflict"" between the large minority of knowledge workers and the majority of workers who will make their livings through traditional ways, either by manual work... or by service work. The productivity of knowledge work - still abysmally low - will predictably become the economic challenge of the knowledge society.  On it will depend the ability of the knowledge society to give decent incomes, and with them dignity and status, to non knowledge people.",Peter Drucker,Moderate
I think the growth industry of the future in this country and the world will soon be the continuing education of adults. ...I think the educated person of the future is somebody who realizes the need to continue to learn.  That is the new definition and it is going to change the world we live in and work in.,Peter Drucker,Moderate
"I would hope that American managers - indeed, managers worldwide - continue to appreciate what I have been saying almost from day one: that management is so much more than exercising rank and privilege, that it is much more than ""making deals."" Management affects people and their lives.",Peter Drucker,Moderate
